criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
condemn,vt. 谴责；判刑，定罪；声讨
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
uneasy,adj. 不舒服的；心神不安的；不稳定的
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
commence,v. 开始；着手；<英>获得学位
unhindered,adj. 不受妨碍的，不受阻碍的
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
meaningless,adj. 无意义的；无目的的
fabricate,vt. 制造；伪造；装配
illusion,n. 幻觉，错觉；错误的观念或信仰
deficiency,n. 缺陷，缺点；缺乏；不足的数额
bask,"vt. 使…晒太阳；使暖和而舒适
vi. 晒太阳；取暖；愉快或舒适"
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
unchangeable,adj. 不变的；不能改变的；安定的
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
miserable,adj. 悲惨的；痛苦的；卑鄙的
construct,"n. 构想，概念
vt. 建造，构造；创立"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
attachment,n. 附件；依恋；连接物；扣押财产
sensation,n. 感觉；轰动；感动
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
mutual,adj. 共同的；相互的，彼此的
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
intently,adv. 专心地；一心一意地；心无旁骛地
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
boundary,n. 边界；范围；分界线
miracle,n. 奇迹，奇迹般的人或物；惊人的事例
