compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
fulfil,vt. 履行；完成；实践；满足
fashionable,adj. 流行的；时髦的；上流社会的
philosophy,n. 哲学；哲理；人生观
attitude,n. 态度；看法；意见；姿势
majority,n. 多数；成年
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
enrol,"vi. 注册；参军
vt. 登记；卷起；入学；使入会"
inconvenient,adj. 不便的；打扰的
programmable,adj.  可编程的；可设计的
instruction,n. 指令，命令；指示；教导；用法说明
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
viable,adj. 可行的；能养活的；能生育的
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
act as,"na. 做(向导)
 充当；担任；担当"
investigate,v. 调查；研究
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
output,"n. 输出，输出量；产量；出产
vt. 输出"
whereas,conj. 然而；鉴于；反之
circuitry,n. 电路；电路系统；电路学；一环路
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
aside from,"na. 暂置不论；加之；除…外
 除...外；除…之外；除了"
drawback,n. 缺点，不利条件；退税
filament,n. 灯丝；细丝；细线；单纤维
transistor,n. 晶体管（收音机）
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
semiconductor,n.  半导体
germanium,n.  锗（32号元素，符号Ge）
silicon,n.  硅；硅元素
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
concept,n. 观念，概念
compiler,n. 编译器； 编译程序；编辑者，汇编者
fledged,adj. 成熟的；快会飞的；羽毛丰满的
magnetic,adj. 地磁的；有磁性的；有吸引力的
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
innovation,n. 创新，革新；新方法
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
summarize,"vt. 总结；概述
vi. 作总结；作概括"
formulate,vt. 规划；用公式表示；明确地表达
confound,vt. 使混淆；挫败；讨厌；使混乱
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
consist of,"v. 由…合成
 由……组成；由…构成；包括"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
ceramic,"n. 陶瓷；陶瓷制品
adj. 陶瓷的；陶器的；制陶艺术的"
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
execute,vt. 实行；执行；处死
spreadsheet,n. 电子制表软件；电子数据表；试算表
intertwined,"adj. 缠绕的；错综复杂的
v. 使缠结，缠绕（intertwine的过去式）"
