triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
crucial,adj. 重要的；决定性的；定局的；决断的
inevitable,adj. 必然的，不可避免的
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
introduce,vt. 介绍；引进；提出；采用
glowing,"adj. 灼热的；热情洋溢的；鲜艳的
v. 发光；容光焕发（glow的ing形式）；发热"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
conceal,vt. 隐藏；隐瞒
diverge,"vt. 使偏离；使分叉
vi. 分歧；偏离；分叉；离题"
correspond,vi. 符合，一致；相应；通信
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
sensation,n. 感觉；轰动；感动
rectify,vt. 改正；精馏；整流
anonymous,adj. 匿名的，无名的；无个性特征的
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
ratio,n. 比率，比例
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
casualty,n. 意外事故；伤亡人员；急诊室
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
apprehensive,adj. 忧虑的；不安的；敏悟的；知晓的
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
analogy,n. 类比；类推；类似
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
chronic,adj. 慢性的；长期的；习惯性的
estate,n. 房地产；财产；身份
underlie,vt. 成为……的基础；位于……之下
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
distinct,adj. 明显的；独特的；清楚的；有区别的
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
terrify,vt. 恐吓；使恐怖；使害怕
partial,adj. 局部的；偏爱的；不公平的
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
enhance,vt. 提高；加强；增加
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
morality,n. 道德；品行，美德
monotonous,adj. 单调的，无抑扬顿挫的；无变化的
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
occur,vi. 发生；出现；存在
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
