compatible,adj. 兼容的；能共处的；可并立的
hopeful,"n. 有希望成功的人
adj. 有希望的；有前途的"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
vowel,"n. 元音；母音
adj. 元音的"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
confident,adj. 自信的；确信的
nominate,vt. 推荐；提名；任命；指定
wisdom,n. 智慧，才智；明智；学识；至理名言
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
suppress,vt. 抑制；镇压；废止
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
cohesive,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的
arise,vi. 出现；上升；起立
comply,vi. 遵守；顺从，遵从；答应
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
assumption,n. 假定；设想；担任；采取
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
governor,n. 主管人员；统治者，管理者； 调节器；地方长官
hut,"n. 小屋；临时营房
vt. 使住在小屋中；驻扎
vi. 住在小屋中；驻扎"
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
airline,"n. 航空公司；航线
adj. 航线的"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
bonus,n. 奖金；红利；额外津贴
genetic,adj. 遗传的；基因的；起源的
assess,vt. 评定；估价；对…征税
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
magnitude,n. 大小；量级； 震级；重要；光度
pendulum,n. 钟摆；摇锤；摇摆不定的事态
financial,adj. 金融的；财政的，财务的
abound,vi. 富于；充满
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
stereo,"n. 立体声；立体声系统；铅版；立体照片
adj. 立体的；立体声的；立体感觉的"
inner,"n. 内部
adj. 内部的；内心的；精神的"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
ability,n. 能力，能耐；才能
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
tan,"vi. 晒成棕褐色
adj. 黄褐色的；鞣皮的
n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团
vt. 鞣（革）；晒成褐色"
automobile,"n. 汽车
vt. 驾驶汽车
"
unify,vt. 统一；使相同，使一致
cue,"n. 提示，暗示；线索
vt. 给…暗示"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
flexible,adj. 灵活的；柔韧的；易弯曲的
alongside,"prep. 在……旁边
adv. 在旁边"
humiliate,vt. 羞辱；使…丢脸；耻辱
appliance,n. 器具；器械；装置
clause,n. 条款； 子句
conspicuous,adj. 显著的；显而易见的
princess,n. 公主；王妃；女巨头
tragedy,n. 悲剧；灾难；惨案
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
negligible,adj. 微不足道的，可以忽略的
mostly,adv. 主要地；通常；多半地
dine,"vi. 进餐，用餐
vt. 宴请"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
arrow,"n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
latter,adj. 后者的；近来的；后面的；较后的
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
transmission,n. 传动装置， 变速器；传递；传送；播送
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
radioactive,adj.  放射性的；有辐射的
horrible,adj. 可怕的；极讨厌的
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
nonetheless,adv. 尽管如此，但是
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
installation,n. 安装，装置；就职
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
ore,n. 矿；矿石
cooperative,"n. 合作社
adj. 合作的；合作社的"
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
standpoint,n. 立场；观点
passion,n. 激情；热情；酷爱；盛怒
flatter,vt. 奉承；谄媚；使高兴
credentials,"n.  证书；文凭；信任状（credential的复数）
v. 得到信用；授…以证书（credential的三单形式）"
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
hardware,n. 计算机硬件；五金器具
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
porch,n. 门廊；走廊
conscience,n. 道德心，良心
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
investigate,v. 调查；研究
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
pad,"n. 衬垫；护具；便笺簿；填补
vi. 步行；放轻脚步走
vt. 填补；走"
bin,"n. 箱子，容器；二进制
vt. 把…放入箱中"
sue,"vt. 控告；请求
vi. 控告；提出请求"
status,n. 地位；状态；情形；重要身份
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
element,n. 元素；要素；原理；成分；自然环境
nursery,n. 苗圃；托儿所；温床
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
peninsula,n. 半岛
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
bandage,"n. 绷带
vt. 用绷带包扎"
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
agenda,n. 议程；日常工作事项；日程表
bacon,n. 咸肉；腌肉；熏猪肉
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
excessive,adj. 过多的，极度的；过分的
salary,"n. 薪水
vt. 给...加薪；给...薪水"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
physiology,n. 生理学；生理机能
convenience,n. 便利；厕所；便利的事物
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
industrialize,"vt. 使工业化
vi. 实现工业化"
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
palm,"n. 手掌；棕榈树；掌状物
vt. 将…藏于掌中"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
pint,n. 品脱；一品脱的量；一品脱牛奶或啤酒
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
delete,vt. 删除
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
acrobat,n. 杂技演员，特技演员；随机应变者；翻云覆雨者，善变者
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
pea,n. 豌豆
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
inhibit,vt. 抑制；禁止
tidy,"n. 椅子的背罩
adj. 整齐的；相当大的
vi. 整理；收拾
vt. 整理；收拾；弄整齐"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
sociable,"n. 联谊会
adj. 社交的；好交际的；友善的"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
formula,n.  公式，准则；配方；婴儿食品
liner,n. 班轮，班机；衬垫；画线者
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
married,"adj. 已婚的，有配偶的；婚姻的，夫妇的；密切结合的
n. 已婚者
v. 结婚，与…结婚（marry的过去式）"
meadow,n. 草地；牧场
kneel,vi. 跪下，跪
fabricate,vt. 制造；伪造；装配
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
doctrine,n. 主义；学说；教义；信条
complicated,adj. 难懂的，复杂的
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
tolerate,vt. 忍受；默许；宽恕
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
unlikely,"adj. 不太可能的；没希望的
adv. 未必"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
disc,"n. 圆盘， 唱片（等于disk）
vt. 灌唱片"
disk,n.  磁盘，磁碟片；圆盘，盘状物；唱片
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
elsewhere,adv. 在别处；到别处
recreation,n. 娱乐；消遣；休养
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
outing,"n. 远足；短途旅游；体育比赛
adj. 远足适用的
v. 出来；暴露（out的ing形式）"
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
momentum,n. 势头； 动量；动力；冲力
considerable,adj. 相当大的；重要的，值得考虑的
eminent,adj. 杰出的；有名的；明显的
confront,vt. 面对；遭遇；比较
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
coupon,n. 息票；赠券；联票； 配给券
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
naive,"adj. 天真的,幼稚的"
atom,n. 原子
simplicity,n. 朴素；简易；天真；愚蠢
virtue,n. 美德；优点；贞操；功效
imagination,n.  想象力；空想；幻想物
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
rotten,"adj. 腐烂的；堕落的；恶臭的；虚弱的；极坏的
adv. 非常"
application,n. 应用；申请；应用程序；敷用
ignorance,n. 无知，愚昧；不知，不懂
jug,"n.  水壶；监牢
vt. 关押；放入壶中
vi. 模仿夜莺叫"
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
champagne,n. 香槟酒；香槟酒色
idiom,n. 成语，习语；土话
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
assure,vt. 保证；担保；使确信；弄清楚
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
distribute,vt. 分配；散布；分开；把…分类
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
masterpiece,n. 杰作；绝无仅有的人
conspiracy,n. 阴谋；共谋；阴谋集团
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
slit,"n. 裂缝；投币口
vt. 撕裂；使有狭缝
vi. 纵裂"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
horizontal,"n. 水平线，水平面；水平位置
adj. 水平的；地平线的；同一阶层的"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
obsession,n. 痴迷；困扰； 强迫观念
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
exceedingly,adv. 非常；极其；极度地；极端
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
analog,"n.  模拟；类似物
adj.  模拟的；有长短针的"
analogue,"n. 类似物；类似情况；对等的人
adj. 类似的；相似物的；模拟计算机的"
committee,n. 委员会
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
tub,"n. 浴盆；桶
vt. 把…装入桶；为…洗盆浴
vi. 洗盆浴；（衣服等）被放在桶里洗"
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
vapor,"n. 蒸汽；烟雾
vt. 使……蒸发；使……汽化
vi. 蒸发；吹牛；沮丧"
