solve,"vt. 解决；解答；溶解
vi. 作解答"
density,n. 密度
organic,adj.  有机的；组织的；器官的；根本的
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
department,n. 部；部门；系；科；局
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
fellowship,n. 团体；友谊；奖学金；研究员职位
sober,"adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒"
appall,vt. 使胆寒；使惊骇
standpoint,n. 立场；观点
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
undermine,vt. 破坏，渐渐破坏；挖掘地基
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
acrobat,n. 杂技演员，特技演员；随机应变者；翻云覆雨者，善变者
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
habitat,n.  栖息地，产地
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
