ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
cooperative,"n. 合作社
adj. 合作的；合作社的"
committed,"v. 承诺；委托；干坏事；付诸（commit的过去分词）
adj. 坚定的；效忠的；承担义务的"
genuinely,adv. 真诚地；诚实地
duty,n. 责任； 关税；职务
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
supervisor,n. 监督人， 管理人；检查员
employment,n. 使用；职业；雇用
truly,adv. 真实地，不假；真诚地
appear,vi. 出现；显得；似乎；出庭；登场
distract,vt. 转移；分心
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
co-worker,n. 同事；合作者
overemphasize,"vt. 过分强调
vi. 过分强调
如何强调也不为过"
workplace,n. 工作场所；车间
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
thoughtful,adj. 深思的；体贴的；关切的
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
suggestion,n. 建议；示意；微量，细微的迹象
demonstrate,"vt. 证明；展示；论证
vi. 示威"
appropriately,adv. 适当地；合适地；相称地
teamwork,n. 团队合作；协力
warehouse,n. 仓库；货栈；大商店
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
dedicate,vt. 致力；献身；题献
get involved in,"un. 患病；参加
 卷入；参与；涉及"
prepare oneself for, 准备；为……作准备；准备做某事
stand out,"na. 突出；显著；不参加战争；抵抗到底
 显眼；引人注目；站出来"
care about,"v. 在意
 关心；在乎；担心"
ahead of schedule,"na. 比预定时间早
 提前；提前完成计划；进度提前"
become aware of,"na. 发觉
 注意到；开始意识到；知道"
pitch in,"na. 热情参加
 努力投入；投身于；作出贡献"
point out,"na. 指出
 指明；说明；指示"
related,"v. 叙述（relate过去式）
adj. 有关系的，有关联的；讲述的，叙述的"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
literacy,n. 读写能力；精通文学
authoritative,adj. 有权威的；命令式的；当局的
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
nonprofit,adj. 非盈利的；不以盈利为目的的
agency,n. 代理，中介；代理处，经销处
detect,vt. 察觉；发现；探测
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
analyze,vt. 对…进行分析，分解（等于analyse）
time-consuming,adj. 耗时的；旷日持久的
candidate,n. 候选人，候补者；应试者
minimal,adj. 最低的；最小限度的
productivity,n. 生产力；生产率；生产能力
software,n. 软件
proficiency,n. 精通，熟练
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
spreadsheet,n. 电子制表软件；电子数据表；试算表
résumé,
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
mail,"n. 邮件；邮政，邮递；盔甲
vt. 邮寄；给…穿盔甲
vi. 邮寄；寄出"
fluency,"n. （语言、文章）流利；（技能）娴熟
n. 流畅度（写作演讲等）"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
interpret,"vi. 解释；翻译
vt. 说明；口译"
lowercase,"n. 小写字母；小写字体
adj. 小写字体的
vt. 用小写字体书写"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
networking,"n. 计算机网络的设计；一种互助性的网络体系
v. 交流（network的ing形式）；联络"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
appealing,"v. 恳求（appeal的ing形式）；将…上诉
adj. 吸引人的；动人的；引起兴趣的；恳求似的"
prospective,"n. 预期；展望
adj. 未来的；预期的"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
unwanted,adj. 不需要的；有害的；讨厌的；空闲的
predator,n.  捕食者； 食肉动物；掠夺者
cyberbullying, 网上欺凌
identity,n. 身份；同一性，一致；特性；恒等式
theft,n. 盗窃；偷；赃物
upkeep,n. 维持；维修费；保养
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
virus,n.  病毒；恶毒；毒害
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
printer,n.  打印机；印刷工；印花工
cartridge,弹药筒，打印机的（墨盒）； 暗盒；笔芯；一卷软片
brush up on,"na. 重新学习；刷光；把…打扮整洁；提高(技巧等)
 复习；重温；温习"
get a leg up,占据优势
in turn,"na. 挨次
 依次；轮流；反过来"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
 还清；偿还；报复"
in person,"na. 亲自；身体上；外貌上
 本人；当面；亲自上阵"
apply for,"v. 寻求；申请
 提出申请；申请…职位；请求"
minivan,n. 小型货车
automatically,"adj. 不经思索的
adv. 自动地；机械地；无意识地"
partially,adv. 部分地；偏袒地
gasoline,n. 汽油
gallon,n. 加仑（容量单位）
transportation,n. 运输；运输系统；运输工具；流放
indulgence,n. 嗜好；放纵；纵容；沉溺
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
opt,vi. 选择
