overcome,"vt. 克服；胜过
vi. 克服；得胜"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
weakness,n. 弱点；软弱；嗜好
definite,adj. 一定的；确切的
hence,adv. 因此；今后
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
pop,abbr. 卖点广告（Point of Purchase）
gum,"n. 口香糖；树胶；橡皮
vt. 用胶粘，涂以树胶；使…有粘性"
frozen,"v. 结冰（freeze的过去分词）；凝固；变得刻板
adj. 冻结的；冷酷的"
calorie,n. 卡路里（热量单位）
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
gang,"n. 群；一伙；一组
vt. 使成群结队；结伙伤害或恐吓某人
vi. 成群结队"
munch,"vt. 用力咀嚼；大声咀嚼
vi. 用力咀嚼；大声咀嚼
n. 用力的咀嚼"
celery,n.  芹菜
preplan,v. 预先计划
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
committed,"v. 承诺；委托；干坏事；付诸（commit的过去分词）
adj. 坚定的；效忠的；承担义务的"
pamper,vt. 纵容；使…过量；给…吃得过多
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
bubble bath,"n. 泡沫浴液
 泡泡浴；气泡浴；珠光泡泡液"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
bedtime,"n. 就寝时间
adj. 适于睡前的"
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
consistent,adj. 始终如一的，一致的；坚持的
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
dynamite,"n. 炸药；具有潜在危险的人（或物）
vt. 炸毁
adj. 极好的"
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
best-seller,n. 畅销书；畅销唱片
casino,n. 俱乐部，赌场；娱乐场
temptation,n. 引诱；诱惑物
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
slip-up,n. 错误；失误；疏忽
element,n. 元素；要素；原理；成分；自然环境
addiction,n. 上瘾，沉溺；癖嗜
alcoholism,n. 酗酒； 酒精中毒
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
nicotine,n.  尼古丁； 烟碱
assistance,n. 援助，帮助；辅助设备
decide on,"na. 决心
 决定；选定；决定某事"
stock up on, 囤积；备货；储备
take priority,应优先考虑
fall off the wagon, 旧瘾复发；戒烟戒酒的人又捡起来；毒瘾复发
take control of, 控制；掌管；取得对……的控制
keep going,"na. 继续(运转,谈话)；维持
 继续前进；一直走；继续走"
