abdicate,"vt. 退位；放弃
vi. 退位；放弃"
abnormal,adj. 反常的，不规则的；变态的
abolish,vt. 废除，废止；取消，革除
absenteeism,n. 旷工；旷课；有计划的怠工；经常无故缺席
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
abundant,adj. 丰富的；充裕的；盛产
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accessible,adj. 易接近的；可进入的；可理解的
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accompaniment,n. 伴奏；伴随物
accomplish,vt. 完成；实现；达到
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
accordingly,adv. 因此，于是；相应地；照著
accountant,n. 会计师；会计人员
accounting,"n. 会计，会计学；账单
v. 解释（account的ing形式）；叙述"
accretion,n. 添加；增加物；连生；冲积层
accrue,"vt. 获得；积累
vi. 产生；自然增长或利益增加"
accumulate,"vt. 积攒
vi. 累积；积聚"
accuracy,n.  精确度，准确性
accurate,adj. 精确的
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
acidity,n. 酸度；酸性；酸过多；胃酸过多
acknowledge,vt. 承认；答谢；报偿；告知已收到
acoustic,"n. 原声乐器；不用电传音的乐器
adj. 声学的；音响的；听觉的"
acoustical,adj.  声学的；听觉的；音响的
acquiesce,vi. 默许；勉强同意
acquire,vt. 获得；取得；学到；捕获
acquisition,n. 获得物，获得；收购
acreage,n. 面积，英亩数
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
activism,n. 行动主义；激进主义
activist,n. 积极分子；激进主义分子
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
adapt,"vi. 适应
vt. 使适应；改编"
adaptation,n. 适应；改编；改编本，改写本
adapter,n. 适配器；改编者；接合器；适应者
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
addictive,adj. 使人上瘾的
addition,n. 添加； 加法；增加物
additive,"n. 添加剂，添加物
adj. 附加的； 加法的"
adept,"n. 内行；能手
adj. 熟练的；擅长…的"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
adherence,n. 坚持；依附；忠诚
adjacent,adj. 邻近的，毗连的
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
adoption,n. 采用；收养；接受
advent,n. 到来；出现；基督降临；基督降临节
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
advertising,"n. 广告；广告业；登广告
adj. 广告的；广告业的
v. 公告；为…做广告（advertise的ing形式）"
advocacy,n. 主张；拥护；辩护
