abandon,"n. 放任；狂热
vt. 遗弃；放弃"
abbreviate,"vt. 缩写，使省略；使简短
vi. 使用缩写词"
abnormal,adj. 反常的，不规则的；变态的
abolition,n. 废除；废止
abort,"n. 中止计划
vt. 使流产；使中止
vi. 流产；堕胎；夭折；发育不全"
abound,vi. 富于；充满
abrasion,n. 磨损；磨耗；擦伤
abreast,"adj. 并排的；肩并肩的
adv. 并肩地；并列"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
absence,n. 没有；缺乏；缺席；不注意
absolutely,adv. 绝对地；完全地
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
abundant,adj. 丰富的；充裕的；盛产
academy,n. 学院；研究院；学会；专科院校
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accessible,adj. 易接近的；可进入的；可理解的
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
accomplish,vt. 完成；实现；达到
accomplished,adj. 完成的；熟练的，有技巧的；有修养的；有学问的
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accumulate,"vt. 积攒
vi. 累积；积聚"
accuracy,n.  精确度，准确性
accurate,adj. 精确的
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
accustom,vt. 使习惯于
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
acknowledge,vt. 承认；答谢；报偿；告知已收到
acoustic,"n. 原声乐器；不用电传音的乐器
adj. 声学的；音响的；听觉的"
acquaint,vt. 使熟悉；使认识
acquire,vt. 获得；取得；学到；捕获
acting,"n. 演技；演戏；假装
adj. 代理的；装腔作势的"
action,n. 行动；活动；功能；战斗；情节
activity,n. 活动；行动；活跃
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
adapt,"vi. 适应
vt. 使适应；改编"
additional,adj. 附加的，额外的
additive,"n. 添加剂，添加物
adj. 附加的； 加法的"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
adequate,adj. 充足的；适当的；胜任的
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
adhesive,"n. 粘合剂；胶黏剂
adj. 粘着的；带粘性的"
adjacent,adj. 邻近的，毗连的
adjunct,"n. 附属物；助手；修饰语
adj. 附属的"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
admission,n. 承认；入场费；进入许可；坦白；录用
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
adobe,n. 土砖，砖坯
adolescence,n. 青春期
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
adorn,vt. 装饰；使生色
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
advent,n. 到来；出现；基督降临；基督降临节
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
aerobic,adj. 需氧的；增氧健身法的
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
affection,n. 喜爱，感情；影响；感染
affirm,"vt. 肯定；断言
vi. 确认；断言"
afflict,vt. 折磨；使痛苦；使苦恼
afford,vt. 给予，提供；买得起
agency,n. 代理，中介；代理处，经销处
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
airborne,adj.  空运的；空气传播的；风媒的
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
alchemist,n. 炼金术士
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
alga,n. 水藻
algebra,n. 代数学
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
alkali,"n. 碱；可溶性无机盐
adj. 碱性的"
allay,vt. 减轻；使缓和；使平静
allegory,n. 寓言
allergy,n. 过敏症；反感；厌恶
alleviate,vt. 减轻，缓和
allocation,n. 分配，配置；安置
alloy,"n. 合金
vt. 使成合金；使减低成色
vi. 易于铸成合金"
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
alter,"vt. 改变，更改
vi. 改变；修改"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
aluminum,n. 铝
alumnus,n. 男校友；男毕业生
amass,vt. 积聚，积累
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
amid,prep. 在其中，在其间
amino,"n.  氨基
adj. 氨基的"
ammonia,n.  氨，阿摩尼亚
amnesia,n. 健忘症， 记忆缺失
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
ample,adj. 丰富的；足够的；宽敞的
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
amuse,vt. 娱乐；消遣；使发笑；使愉快
amusement,n. 消遣，娱乐；乐趣
analogy,n. 类比；类推；类似
analysis,n. 分析；分解；验定
analyze,vt. 对…进行分析，分解（等于analyse）
anatomy,n. 解剖；解剖学；剖析；骨骼
ancestor,n. 始祖，祖先；被继承人
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
animation,n. 活泼，生气；激励；卡通片绘制
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
annoyed,"v. 使烦恼；打扰（annoy的过去分词）
adj. 恼怒的；烦闷的"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
anthropology,"n. 人类学
人类学家"
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
anticipate,vt. 预期，期望；占先，抢先；提前使用
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
apartment,n. 公寓；房间
apparent,adj. 显然的；表面上的
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
appetite,n. 食欲；嗜好
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
applicable,adj. 可适用的；可应用的；合适的
applicant,n. 申请人，申请者；请求者
appointment,n. 任命；约定；任命的职位
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
apprentice,"n. 学徒；生手
vt. 使…当学徒
vi. 当学徒"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
aquarium,n. 水族馆；养鱼池；玻璃缸
aquatic,"n. 水上运动；水生植物或动物
adj. 水生的；水栖的；在水中或水面进行的"
arbitrary,adj.  任意的；武断的；专制的
archaeology,"n. 考古学
考古学的"
architect,"n. 建筑师
缔造者"
arid,adj. 干旱的；不毛的， 荒芜的
arithmetic,n. 算术，算法
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
artifact,n. 人工制品；手工艺品
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
artisan,n. 工匠，技工
artistic,adj. 艺术的；风雅的；有美感的
ascending,"adj. 上升的
v. 上升；获得（ascend的ing形式）；追溯"
ascribe,vt. 归因于；归咎于
aspect,n. 方面；方向；形势；外貌
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
assert,vt. 维护，坚持；断言；主张；声称
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
assure,vt. 保证；担保；使确信；弄清楚
asteroid,"n.  小行星； 海盘车；小游星
adj. 星状的"
astronomy,n. 天文学
asymmetrical,adj.  非对称的（等于asymmetric）；不均匀的；不匀称的
athlete,n. 运动员，体育家；身强力壮的人
atmosphere,n. 气氛；大气；空气
atomic,adj. 原子的，原子能的；微粒子的
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
attendance,n. 出席；到场；出席人数；考勤
attorney,n. 律师；代理人；检查官
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
attractive,adj. 吸引人的；有魅力的；引人注目的
attribute,"n. 属性；特质
vt. 归属；把…归于"
auction,"n. 拍卖
vt. 拍卖；竞卖"
audience,n. 观众；听众；读者；接见；正式会见；拜会
