leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
nation,n. 国家；民族；国民
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
paddle,"n. 划桨；明轮翼
vt. 拌；搅；用桨划
vi. 划桨；戏水；涉水"
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
stump,"vt. 砍伐；使为难；在…作巡回政治演说
n. 树桩；残余部分；假肢
vi. 笨重地行走；发表竞选演说"
temperature,n. 温度；体温；气温；发烧
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
volcano,n. 火山
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
prehistoric,adj. 史前的；陈旧的
thick,"n. 最拥挤部分；活动最多部分；事物的粗大浓密部分
adj. 厚的；浓的；粗大的
adv. 密集地；浓浓地，厚厚地"
utensils,n. 餐具； 器具；炊具（utensil的复数）
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
uneven,adj. 不均匀的；不平坦的； 奇数的
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
flaky,adj. 薄片的；薄而易剥落的；古里古怪的
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
sprinkle,"n. 撒，洒；少量
vt. 洒；微雨；散置
vi. 洒，撒；下稀疏小雨；喷撒"
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
property,n. 性质，性能；财产；所有权
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
rusty,adj. 生锈的，腐蚀的；铁锈色的，锈色的；迟钝的
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
stormy,adj. 暴风雨的；猛烈的；暴躁的
batteries,n.  电池（battery的复数形式）
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
cranky,adj. 暴躁的；古怪的；动摇的
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
injured,adj. 受伤的；受损害的
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
misty,adj. 模糊的；有雾的
tropical,adj. 热带的；热情的；酷热的
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
lively,adj. 活泼的；生动的；真实的；生气勃勃的
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
bashful,adj. 害羞的，腼腆的
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
action,n. 行动；活动；功能；战斗；情节
entire,adj. 全部的，整个的；全体的
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平"
funnel,"n. 漏斗；烟囱
vt. 通过漏斗或烟囱等；使成漏斗形
vi. 通过漏斗等；成漏斗形"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的"
filthy,adj. 肮脏的；污秽的；猥亵的
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
entrance,"n. 入口；进入
vt. 使出神，使入迷"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
brakes,"n.  刹车（brake的复数）； 制动；刹车系统
v.  刹车（brake的第三人称单数）；打碎"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
headlight,n. 汽车等的前灯；船上的桅灯；矿工和医生用的帽灯
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
gleaming,"adj. 闪闪发光的
n. 微弱的闪光，瞬息的一现
v. 闪烁， 隐约地闪现（gleam的ing形式）"
eager,adj. 渴望的；热切的；热心的
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
tearful,adj. 含泪的；令人伤心的
whole,"n. 整体；全部
adj. 完整的；纯粹的"
astronaut,n. 宇航员，航天员；太空旅行者
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
construct,"n. 构想，概念
vt. 建造，构造；创立"
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
length,n. 长度，长；时间的长短；（语）音长
receive,"vt. 收到；接待；接纳
vi. 接收"
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
damaged,"v. 损害（damage的过去式和过去分词）
adj. 被损坏的"
meadow,n. 草地；牧场
atmosphere,n. 气氛；大气；空气
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
clever,"adj. 聪明的；机灵的；熟练的
"
month,n. 月，一个月的时间
mural,"adj. 墙壁的
n. 壁画；（美）壁饰"
imitate,vt. 模仿，仿效；仿造，仿制
applause,n. 欢呼，喝采；鼓掌欢迎
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
memory,n. 记忆，记忆力；内存， 存储器；回忆
artistic,adj. 艺术的；风雅的；有美感的
