bewail,v. 悲悼；痛哭；哀叹
destitute,"n. 赤贫者
adj. 穷困的；无的；缺乏的
vt. 使穷困；夺去"
detract,"vi. 贬低；减去
vt. 转移，使分心"
emancipate,vt. 解放；释放
extol,vt. 颂扬；赞美；赞颂
flamboyant,"adj. 艳丽的；火焰似的；炫耀的
n. 凤凰木"
impetus,n. 动力；促进；冲力
insuperable,adj. 不能克服的；无敌的
intermittent,adj. 间歇的；断断续续的；间歇性
maxim,
obligatory,adj. 义务的；必须的；义不容辞的
plumb,"n. 垂直；铅锤
adj. 垂直的
vt. 使垂直；探测，探索
adv. 恰恰，正；垂直地
vi. 当管子工"
vagabond,"n. 流浪者；浪子；流氓；懒汉
adj. 流浪的；流浪者的；浪荡的；漂泊的
vi. 到处流浪"
visage,n. 面貌，容貌；外表
wheedle,"vt. 以甜言蜜语诱惑；用甜言蜜语欺骗
vi. 用甜言蜜语哄骗"
alacrity,n. 敏捷；轻快；乐意
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
deduce,vt. 推论，推断；演绎出
encumber,vt. 阻塞；妨害；拖累
fraught,adj. 担心的，忧虑的；充满…的
haphazard,"n. 偶然；偶然事件
adj. 偶然的；随便的；无计划的
adv. 偶然地；随意地"
incontrovertible,adj. 无可争议的；无疑的；明白的
inexplicable,adj. 费解的；无法说明的；不能解释的
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
laggard,"adj. 落后的；迟钝的；迟缓的
n. 落后者；迟钝者"
sustenance,n. 食物；生计；支持
torrid,adj. 晒热的；热情的
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
ubiquitous,adj. 普遍存在的；无所不在的
zenith,"n. 顶峰；顶点；最高点
n. 真力时（瑞士名表）"
allude,vi. 暗指，转弯抹角地说到；略为提及，顺便提到
consecrate,"adj. 神圣的；被献给神的
vt. 奉献；使神圣；供神用；献身于"
disseminate,"vt. 宣传，传播；散布
vi. 散布；广为传播"
dote,"vt. 溺爱
vi. 溺爱；昏聩"
exhort,"vt. 忠告；劝诫
vi. 劝告"
feckless,adj. 无效的；软弱的；没精神的；不负责任的；无气力的
implicate,vt. 使卷入；涉及；暗指；影响
lament,"n. 挽歌；恸哭；悲痛之情
vi. 哀悼；悲叹；悔恨
vt. 哀悼；痛惜"
monetary,adj. 货币的；财政的
pensive,adj. 沉思的，忧郁的；悲伤的，哀愁的
pomp,n. 盛况；浮华；壮丽；夸耀
stilted,"adj. 不自然的；呆板的；僵硬的
v. 使踩高跷（stilt的过去分词）"
subjugate,vt. 征服；使服从；克制
trauma,n.  创伤（由心理创伤造成精神上的异常）；外伤
