consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
hundred,"num. 百；百个
n. 一百；许多
adj. 一百的；许多的"
whether,"conj. 是否；不论
pron. 两个中的哪一个"
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
worth,"n. 价值；财产
adj. 值…的"
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
populate,vt. 居住于；构成人口；移民于；殖民于
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
because,conj. 因为
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演"
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
part-time,"adj. 兼职的；部分时间的
adv. 兼职地；用部分时间地"
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
consequently,adv. 因此；结果；所以
able,adj. 能； 有能力的；能干的
