morning tea,"n. 早茶
 上午茶；喝早茶；饮早茶"
soup,"n. 汤，羹；马力
vt. 加速；增加马力"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
the Potala Palace, 布达拉宫；中国西藏布达拉宫
the Summer Palace,
the Terracotta Army,
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
map,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置"
north,
south,"n. 南方，南边；南部
adj. 南的，南方的
adv. 在南方，向南方"
east,"n. 东方；东风；东方国家
adj. 东方的；向东的；从东方来的
adv. 向东方，在东方"
west,"n. 西；西方；西部
adj. 西方的；朝西的
adv. 在西方；向西方；自西方"
famous,adj. 著名的；极好的，非常令人满意的
temple,n. 庙宇；寺院；神殿；太阳穴
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
the Yangtze River,
foggy,adj. 有雾的；模糊的，朦胧的
spicy,adj. 辛辣的；香的，多香料的；下流的
silk,"n. 丝绸；蚕丝；丝织物
adj. 丝的；丝绸的；丝制的
vi. （玉米）处于长须的阶段中"
forest,"n. 森林
vt. 植树于，使成为森林"
stone,"n. 石头；结石； 宝石
adj. 石的，石制的
vt. 向扔石块；用石头铺"
London,n. 伦敦
Toronto,
Sydney,
Washington D.C., 华盛顿；华盛顿哥伦比亚特区；华盛顿特区
the British Museum,
the CN Tower,
kangaroo,n. 袋鼠
the Opera House,
the White House,"na. 白宫
 美国白宫；白房子；白色的房子"
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演"
French,"n. 法国人；法语
adj. 法国的；法语的；法国人的"
Tower Bridge,"n. 塔桥；伦敦塔桥
 伦敦桥；英国伦敦塔桥；伦敦铁桥"
the London Eye,
hiking,n. 徒步旅行
sunrise,n. 日出；黎明
president,n. 总统；董事长；校长；主席
reptile,"n. 爬行动物；卑鄙的人
adj. 爬虫类的；卑鄙的"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
mammal,n.  哺乳动物
insect,n. 昆虫；卑鄙的人
penguin,n. 企鹅；空军地勤人员
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
metre,n. 米；公尺；韵律
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
peanut,n. 花生
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
