Auckland,n. 奥克兰（新西兰港市）
Maori,"adj. 毛利人的；毛利语的
n. 毛利人；毛利语"
kiwi,n. 猕猴桃；几维（一种新西兰产的无翼鸟）；新西兰人
Stewart Island,斯图尔特岛(新西兰岛屿)
tectonic,adj.  构造的；建筑的；地壳构造上的
geological,adj. 地质的，地质学的
geology,n. 地质学；地质情况
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
Alps,n. 阿尔卑斯山脉
backbone,n. 支柱；主干网；决心，毅力；脊椎
graze,"n. 放牧；轻擦
vi. 吃草；擦伤
vt. 放牧；擦伤"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
Christchurch,n. 克赖斯特彻奇（新西兰城市）
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
paddle,"n. 划桨；明轮翼
vt. 拌；搅；用桨划
vi. 划桨；戏水；涉水"
uninhabited,adj. 无人居住的，杳无人迹的
extinction,n. 灭绝；消失；消灭；废止
fern,n.  蕨； 蕨类植物
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
warlike,adj. 战争的；好战的；有战争危险的
tribe,n. 部落；族；宗族；一伙
wipe out,"na. 擦去；遮蔽；遮蔽地域；封闭
 消灭；彻底摧毁；消灭，毁灭"
take over,"na. 接管；继承
 接收；接任；接替"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
immunity,n. 免疫力；豁免权；免除
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
Christianity,n. 基督教；基督教精神，基督教教义
treaty,n. 条约，协议；谈判
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
ownership,n. 所有权；物主身份
unrest,n. 不安；动荡的局面；不安的状态
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
bungee jumping,"n. 蹦极跳
 高空弹跳；笨猪跳；爱情蹦极跳"
bungy jumping, 高空弹跳；蹦极；笨猪跳
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
suspension,n. 悬浮；暂停；停职
appetite,n. 食欲；嗜好
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
pasta,n. 意大利面食；面团
porter,n. 门房；服务员；行李搬运工；守门人
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
brunch,n. 早午餐
Napier,"纳皮尔 , grass 紫狼尾草,象草"
Burma,n. 缅甸（东南亚国家）
Lake Taupo,
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的"
statistics,n. 统计；统计学； 统计资料
eco-friendly,adj. 对生态环境友好的，不妨害生态环境的；不损坏生态环境的
subtropical,adj.  亚热带的
fiord,n. 峡湾；海湾
not to mention,"na. …不用说
 更不用说；更不必说；更别提"
recreation,n. 娱乐；消遣；休养
raft,"n. 筏；救生艇；（美）大量
vt. 筏运；制成筏
vi. 乘筏"
abseil,n. 沿绳滑下法
get around,"na. 回避(事实)；往来；避开(法律等)；智胜(某人)
 走动；规避；四处走动"
hemisphere,n. 半球
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
extensive,adj. 广泛的；大量的；广阔的
flexible,adj. 灵活的；柔韧的；易弯曲的
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
insurance,n. 保险；保险费；保险契约；赔偿金
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
theft,n. 盗窃；偷；赃物
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
consultant,n. 顾问；咨询者；会诊医生
guidance,n. 指导，引导；领导
database,n. 数据库，资料库
cater,vt. 投合，迎合；满足需要；提供饮食及服务
cater for sb.,
cater for sth.,
enquiry,n.  询问， 询盘
