physiology,n. 生理学；生理机能
artemisinin, Arteannuin
crucial,adj. 重要的；决定性的；定局的；决断的
malaria,n.  疟疾；瘴气
vital,adj. 至关重要的；生死攸关的；有活力的
committed,"v. 承诺；委托；干坏事；付诸（commit的过去分词）
adj. 坚定的；效忠的；承担义务的"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
commit oneself to,"na. 委身于
 专心致志于；使自己承担；致力于"
commit oneself to sth.,
commit oneself to doing sth.,
commit oneself to do sth.,
academy,n. 学院；研究院；学会；专科院校
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
botanical,"n. 植物性药材
adj. 植物学的"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
property,n. 性质，性能；财产；所有权
distinct,adj. 明显的；独特的；清楚的；有区别的
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
wormwood,n.  苦艾；苦恼，苦恼的原因
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
obtain,"vi. 获得；流行
vt. 获得"
acknowledge,vt. 承认；答谢；报偿；告知已收到
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
analyse,vt. 分析；分解；细察
analyze,vt. 对…进行分析，分解（等于analyse）
apparently,adv. 显然地；似乎，表面上
substance,n. 物质；实质；资产；主旨
insist,"vi. 坚持，强调
vt. 坚持，强调"
insist on,"v. 坚持；强调
 坚决要求；坚持要；坚持认为"
scientific,adj. 科学的，系统的
mostly,adv. 主要地；通常；多半地
wear and tear,"na. 磨损；衰竭；伐采
 消耗；损耗；耗损"
conclusion,n. 结论；结局；推论
penicillin,n. 盘尼西林（青霉素）
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
circumstance,n. 环境，情况；事件；境遇
novelist,n. 小说家
novel,"adj. 新奇的；异常的
n. 小说"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
flow chart,"n. 流程图
 流程表单；流程图或过程图；流程图表"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
infer,"vi. 推断；作出推论
vt. 推断；推论"
politician,n. 政治家，政客
numerous,adj. 许多的，很多的
theory,n. 理论；原理；学说；推测
relativity,n. 相对论；相关性；相对性
formula,n.  公式，准则；配方；婴儿食品
genius,n. 天才，天赋；精神
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
