invite,"n. 邀请
vt. 邀请，招待；招致"
disappointed,adj. 失望的，沮丧的；受挫折的
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
smell,"n. 气味，嗅觉；臭味
vt. 嗅，闻；察觉到；发出…的气味
vi. 嗅，闻；有…气味"
seem,vi. 似乎；像是；装作
opera,n. 歌剧；歌剧院；歌剧团
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
care for,"v. 照顾；关心；喜欢
 照料；关怀；照管"
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
lively,adj. 活泼的；生动的；真实的；生气勃勃的
cheer up,"v. 鼓舞；振作一点
 振作起来；高兴起来；使高兴起来"
almost,adv. 差不多，几乎
mainly,adv. 主要地，大体上
role,n. 角色；任务
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
painting,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于"
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
worried,adj. 担心的
in the end,"na. 终于
 最后；最终；结果到头来"
interested,"v. 使…感兴趣（interest的过去分词）
adj. 感兴趣的；有权益的；有成见的"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
exam,n. 考试；测验
strict,adj. 严格的；绝对的；精确的；详细的
be strict with, 对……严格要求；对…要求严格；对某人要求严格
shy,"n. 投掷；惊跳
adj. 害羞的；畏缩的，胆怯的
vi. 投；畏缩；惊退；厌恶
vt. 投；乱掷"
take it easy,"na. “take things easy”的变体
 别紧张；别着急；放轻松"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
someone,pron. 有人，某人
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
joke,"n. 玩笑，笑话；笑柄
vt. 开…的玩笑
vi. 开玩笑"
by the way,"na. 见 way 条
 顺便说一句；顺便问一下；顺便说一下"
yeah,"adv. 是
int. 是"
usual,adj. 通常的，惯例的；平常的
as usual,"adv. 照常；照例
 像往常一样；像平常一样；和往常一样"
either,"conj. 也（用于否定句或否定词组后）；根本
prep. 任何一个
adj. 两者之中任一的；两者之中每一的
pron. 任一，两方，随便哪一个；两者中的一个或另一个"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
lovely,"adj. 可爱的；令人愉快的；爱恋的；秀丽的，优美的
n. 美女；可爱的东西"
helpful,adj. 有帮助的；有益的
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
useless,adj. 无用的；无效的
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
elder,"n. 老人；长辈；年长者；父辈
adj. 年长的；年龄较大的；资格老的"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
sadness,n. 悲哀
anyone,pron. 任何人；任何一个
unfair,adj. 不公平的，不公正的
though,"conj. 虽然；尽管
prep. 但
adv. 可是，虽然；不过；然而"
even though,"na. “even if”的变体
 即使；尽管；虽然"
not ... any longer,
no longer,"na. 不再
 已不；再也；再也不"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
nervous,adj. 神经的；紧张不安的；强健有力的
speech,n. 演讲；讲话； 语音；演说
CD,abbr. 光盘，激光唱片（Compact Disc）；呼叫设备（Calling Device）；中央地区（Central District）；商务部（Commerce Department）
compact disc,"n. 激光唱片
 光盘；压缩光盘，又称激光唱盘；光碟"
relaxed,"v. relax的过去式和过去分词
adj. 松懈的，放松的；悠闲的，自在的；不严格的，不拘束的"
rich,"adj. 富有的；肥沃的；昂贵的
adj. 油腻的，含有很多脂肪"
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
