now that,"na. 由于
 既然；既然已；现在已经"
presently,adv. （美）目前；不久
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
emotionally,adv. 感情上；情绪上；令人激动地；情绪冲动地
emotional,adj. 情绪的；易激动的；感动人的
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
in the form of,"na. 用…的形式
 以…形式；以……的形式；以某种形式"
visa,"n. 签证
vt. 签发签证"
fill out,"na. 填写(表格等)；变胖；长胖；胖起来
 填表；填好；填充"
paperwork,n. 文书工作
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
in total,"adv. 全部；完全
 总共；总计；一共"
make friends, 交朋友；交友；结交朋友
make friends with sb.,
meet up,"v. 偶尔遇见
 偶遇；见面；约见"
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
lingo,n. 行话；术语；隐语
for once,"na. 这一次(特别要)
 就这一次；只有一次；仅此一次"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
stress out, 压力过大；经历极大压力；压力大
employment,n. 使用；职业；雇用
alongside,"prep. 在……旁边
adv. 在旁边"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
save up,"na. 同“save”；贮(蓄)
 储蓄；节省；存钱"
hostel,n. 旅社，招待所（尤指青年旅社）
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
zone,  地带、地区（德语）
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
wanderlust,n. 流浪癖；漫游癖；旅游热
run through,"na. 穿过；匆匆忙忙看一遍；不间断地排练；花光
 贯穿；浏览；跑着穿过"
expat,"n. 亡命国外者（等于expatriate）
vt. 逐出国外（等于expatriate）
vi. 移居国外（等于expatriate）"
by one's side,"un. 站在…一边；周围
 在身旁；在某人身边；在…身边"
but then,"na. 但是；但是另一方面
 不过；但另一方面；然而"
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
settle down,"na. 定居；成家；移居；平静下来
 安下心来；安定下来；安顿下来"
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
blog,n. 博客；部落格；网络日志
be obsessed, 着魔；鬼迷心窍；分数
version,n. 版本；译文；倒转术
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
kind of,"na. 有点儿；有几分
 种类；稍微；相当"
follow one's heart,"做自己想做的事情
跟着感觉走"
the other way around,"na. 从相反方向；用相反方式
 倒过来；反过来；相反地"
homesickness,n. 乡愁
feel at home,"na. 舒松；“be/feel/look at home”的变体
 感觉自在；宾至如归；感到宾至如归"
parliament,n. 议会，国会
a couple of,"det. 一对
 几个；两个；两三个"
bad-tempered,adj. 脾气不好的；易怒的
be fond of,"v. 爱好
 喜欢；喜爱；喜好"
become fond of,
ski,"n. 滑雪橇
vi. 滑雪
adj. 滑雪（用）的"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
lifty,
beat doing sth.,
sleepy,adj. 欲睡的；困乏的；不活跃的
dot,"n. 点，圆点；嫁妆
vt. 加小点于
vi. 打上点"
sneaky,adj. 鬼鬼祟祟的；暗中的，卑鄙的
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
occupation,n. 职业；占有；消遣；占有期
revolve around,"v. 旋绕
 围绕…转；旋转；环绕"
labour,n. （英国）工党
outdoors,"adv. 在户外
n. 户外
adj. 户外的（等于outdoor）"
monger,"vt. 传播，贩卖
n. 商人，贩子"
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
fryer,n. 可供油炸的食品；油炸锅；做油煎食品的人
burger,n. 汉堡包
kiwi,n. 猕猴桃；几维（一种新西兰产的无翼鸟）；新西兰人
fillet,"n. 鱼片；头带；平边；饰线
vt. 用带缚；把…切成片"
housekeeper,n. 女管家；主妇
boutique,"n. 精品店；专卖流行衣服的小商店
adj. 精品屋的；小规模专售精品的"
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
au pair,"n. “互裨”（女）生（住国外家庭，以劳动换取食宿并学习语言）
 互惠生；换工住宿的女孩；互惠留学"
guesthouse,n. 宾馆；小型家庭旅馆
remainder,"n.  余数，残余；剩余物；其余的人
adj. 剩余的；吃剩的
vt. 廉价出售；削价出售
vi. 廉价出售；削价出售"
peak season,"n. 旺季
 高峰期；超级旺季；运输旺季"
café,
vineyard,n. 葡萄园
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
serve as,"v. 用作；充当
 作为；担任；当作"
head out to,
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
vine,"n. 藤；葡萄树；藤本植物；攀缘植物
vi. 长成藤蔓；爬藤"
tedious,adj. 沉闷的；冗长乏味的
hindsight,n. 后见之明；枪的照门
meditative,adj. 冥想的，沉思的；耽于默想的
spider,n. 蜘蛛；设圈套者；三脚架
in no time,"na. 立刻
 马上；很快；立即"
hold onto,"na. 盘据
 紧紧抓住；坚持；保住"
fleeting,"adj. 飞逝的；转瞬间的
v. 迅速移动（fleet的ing形式）"
ownership,n. 所有权；物主身份
backpacker,n. 背包旅行者
mainlander,n. 本土人，大陆人
mainland,"n. 大陆；本土
adj. 大陆的；本土的"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
in need of,"adj. 需要
 急需；缺少；有…的需要"
scenery,n. 风景；景色；舞台布景
at the foot of,"prep. 在…的下部
 在……脚下；在…的脚下；在山脚下"
Maori,"adj. 毛利人的；毛利语的
n. 毛利人；毛利语"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
run down,"na. 下乡；(钟表等)停止；衰弱；赶上(人,猎物)
 撞倒；跑下；撞沉"
inadequate,adj. 不充分的，不适当的
deteriorate,"vi. 恶化，变坏
vt. 恶化"
blend ... into ...,
in the first place,"na. 首先；第一
 起初；原先；第一点"
dire,adj. 可怕的；悲惨的；极端的
friendless,adj. 没有朋友的；无依无靠的；孤单的
have in mind,"na. 记住；铭记不忘；注意
 考虑到；想到；记得"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
hourly,"adj. 每小时的，以钟点计算的；频繁的
adv. 每小时地；频繁地，随时"
cheer up,"v. 鼓舞；振作一点
 振作起来；高兴起来；使高兴起来"
confined,"v. 限制（confine的过去式和过去分词）
adj. 狭窄的；幽禁的；有限制的；在分娩中的"
hold on,"na. 拉住；继续；坚持下去；(打电话时)不挂断
 等一等；坚持住；等一下"
downbeat,"adj. 悲观的；不强烈的
n. 强拍；下降"
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
learned,adj. 博学的；有学问的；学术上的
make money,"na. 赚钱；发财
 挣钱；生财；网路赚钱"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
hop on, 跳上；责骂；快上来
in company with,"na. 和…一道
 会同；陪同；一起"
set free,"na. 释放；使游离
 放走；被释放；赦免"
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
by God,"un. 天啊
 凭上帝作证；老天在上；靠神而建"
fate,"n. 命运
vt. 注定"
in store,"na. 准备着
 贮藏着；必将发生；储藏着"
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
hang around,"na. 在附近徘徊；踌躇不前
 闲荡；闲逛；逗留"
strive for,"v. 争取；奋发图强；收下
 为…而奋斗；为…奋斗；力求"
be content with,"na. 以…为满足
 对…满意；满足于；对……满足"
keep up with,"na. 不落后
 跟上；赶上；紧跟"
derive from,"v. 来自；起源于
 衍生；由来；来源于"
cartoon strip,"n. 连环漫画
 连环画；卡通画"
poke fun at,"na. 嘲弄
 取笑；调笑；戏弄"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
episode,n. 插曲；一段情节；插话；有趣的事件
alas,int. 唉（表悲伤、遗憾、恐惧、关切等等）
core,
come into being,"na. 发生
 形成；产生；开始存在"
rotary,"n. 旋转式机器； 转缸式发动机
adj. 旋转的，转动的；轮流的"
printing press,"n. 印刷机
 印刷厂；加压的印刷机；印刷术"
open up,"na. (打)开；割开；开发(资源)；揭示
 打开；开辟；开放"
make a living, 谋生；度日；维持生计
for that matter,"na. 就此而言
 关于那一点；就那件事而论；而且"
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
assessment,n. 评定；估价
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
