explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
survival,n. 幸存，残存；幸存者，残存物
on the heels of,"na. 袜跟穿得露出脚跟的；衣衫褴褛的；穷相毕露的
 紧跟在后面；接踵而来；紧接着"
specimen,n. 样品，样本；标本
species,"n.  物种；种类
adj. 物种上的"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
from the beginning,"na. 自始
 从一开始；从头开始；从开始"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
as yet,"na. 至今还
 到目前为止；迄今；到那时为止"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
squid,n. 鱿鱼；乌贼；枪乌贼
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
observation,n. 观察；监视；观察报告
elusive,adj. 难懂的；易忘的；逃避的；难捉摸的
habitat,n.  栖息地，产地
for the first time,"na. 第一次
 首次；初次；从第一次开始"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
ingenuity,"n. 心灵手巧，独创性；精巧；精巧的装置
n. 西门子公司将其品牌宣言“Ingenuity for life” 诠释为“博大精深 同心致远”"
monumental,adj. 不朽的；纪念碑的；非常的
a drop in the bucket,"n. 沧海一粟；九牛一毛；冰山一角
 杯水车薪；此举杯水车薪；沧海一栗"
in the ocean, 在海洋里；生活在海洋；在大海中徜徉
vital,adj. 至关重要的；生死攸关的；有活力的
provide for,"v. 为…作准备
 为…提供；供养；赡养"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
planet,n. 行星
learn about,"v. 得知关于；学习关于
 了解；学习有关…知识；学得"
entirety,n. 全部；完全
in one's entirety,
vessel,n. 船，舰； 脉管，血管；容器，器皿
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
die from,"na. 因伤致死
 死于；由于…而死；因某事而死"
die of,"na. 因…而死
 死于；因……而死；因……病而死"
wash up,"na. 饭后洗碗；洗脸；将…冲上岸；(出人意料地)出现
 洗餐具；洗手洗脸；洗涤餐具"
submersible,adj. 能潜水的；能沉入水中的
ensuing,"adj. 接着发生的
v. 跟着发生（ensue的ing形式）"
frenzy,"n. 狂暴；狂怒；暴怒
vt. 使发狂；使狂怒"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
micro-ecosystem,
feed on,"na. 同“feed off ”；“live on”的变体
 以……为食；以…为食物；以…为主食"
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
crack open, 啪地一声打开；用力敲破；捶开
intricate,adj. 复杂的；错综的，缠结的
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
expertise,n. 专门知识；专门技术；专家的意见
similarity,n. 类似；相似点
disparity,n. 不同；不一致；不等
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
funding,"n. 提供资金；用发行长期债券的方法来收回短期债券
v. 提供资金；积存（fund的ing形式）"
countless,adj. 无数的；数不尽的
under the surface of,
below the surface of,
beneath the surface of,
fit together,"v. 组合
 组装在一起；装配；结合"
jigsaw,"n. 拼图玩具；线锯；镂花锯
vt. 用线锯锯"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
completion,n. 完成，结束；实现
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
fit into, （使）适合， （使）合乎…的时间，与…融为一体; 纳入
for sb.'s benefit,
for the benefit of sb.,
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
expedition,n. 远征；探险队；迅速
scale back,"na. 相应缩减
 按比例缩减；减少；缩小"
extraterrestrial,"n. 天外来客
adj. 地球外的"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
costly,adj. 昂贵的；代价高的
mega-project,"大型项目
大型计划"
arise from,"v. 从…而得的
 由…引起；起因于；由…产生"
be set on doing sth.,
drive up,"un. 抬高；加速传动；起跨；开车赶到
 哄抬；驱车来到；投机商人起哄抬高"
radiation,n. 辐射；发光；放射物
miniaturization,n. 小型化，微型化
rove,"n. 流浪；徘徊；粗纺线
vi. 流浪；飘忽不定
vt. 漫游于；漂泊于"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
fallow,"n. 休耕地；休耕
adj. 休耕的；不活跃的
vt. 使（土地）休闲；潜伏"
far from,"na. 远离；决不
 远非；完全不；远远不是"
R&D,
Research & Development,
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
bacterium,n.  细菌；杆菌属
bacterial,adj.  细菌的
fertilization,n.  施肥； 受精；肥沃
regenerate,"vt. 使再生；革新
adj. 再生的；革新的
vi. 再生；革新"
carbon dioxide,"n. 二氧化碳
 一氧化碳；二氧货碳；碳酐"
excrete,vt. 排泄；分泌
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
enthusiast,n. 狂热者，热心家
spinoff,n. 续集（电视剧的）；副产品；附带的利益
tout,"vt. 兜售；招徕；刺探赛马情报
vi. 兜售；招徕顾客；拉选票
n. 侦查者；兜售者"
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
shipyard,n. 造船厂；船坞；修船厂
champagne,n. 香槟酒；香槟酒色
tether,"n. 范围；系链；拴绳
vt. 用绳或链拴住"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
launch-pad,na. (火箭等的)发射台
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
show sb. around,"v. 带…参观
 带……参观；四处参观；领…参观"
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
at the moment,"na. “for the moment”的变体
 此刻；现在；目前"
implode,"vt. 使内爆
vi. 向内破裂；内爆；崩溃"
first hand,"un. 第一手的
 亲自；第一手地；直接的"
at first hand,"na. 直接
 第一手；直接地；第一手地"
collaborate with,"v. 私通
 勾结；通敌；与敌人合作"
offshore,"adj. 离岸的； 近海的；吹向海面的
adv. 向海面，向海"
hutong,n. 胡同
karma,n. 因果报应，因缘
pass through,"na. 穿过；经历；经验；遭受
 通过；经过；穿越"
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
be characteristic of,"na. …所独有的特征
 有……的特色；是…的特征；为…所特有"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
neighborhood,n. 附近；街坊；接近；街区
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
residence,n. 住宅，住处；居住
play a role in,"v. 起作用于
 在……中起作用；在……扮演一个角色；在……中扮演角色"
communal,adj. 公共的；公社的
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
bundle up,"na. 同“bundle”
 捆扎；赢得比赛；把…捆扎起来"
vendor,n. 卖主；小贩；供应商； 自动售货机
step up,"v. 加紧；走上前；登上；增加
 舞出我人生；提高；舞出真我"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
athleticism,n. 崇尚运动，竞技热；运动竞赛
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
pendulum,n. 钟摆；摇锤；摇摆不定的事态
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
