abnormal,adj. 反常的，不规则的；变态的
exceptional,"n. 超常的学生
adj. 异常的，例外的"
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
singular,"n. 单数
adj. 单数的；单一的；非凡的；异常的"
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
abundance,n. 充裕，丰富
chunk,n. 大块；矮胖的人或物
magnitude,n. 大小；量级； 震级；重要；光度
multitude,n. 群众；多数
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
adequate,adj. 充足的；适当的；胜任的
ample,adj. 丰富的；足够的；宽敞的
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
exceed,"vt. 超过；胜过
vi. 超过其他"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
hinge,"n. 铰链，折叶；关键，转折点；枢要，中枢
v. 用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰"
shaft,"n. 拍杆； 轴；箭杆；杆状物
vt. 利用；在……上装杆"
valve,"n. 阀； 瓣膜；真空管；活门
vt. 装阀于；以活门调节"
adapt,"vi. 适应
vt. 使适应；改编"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
obsess,vt. 迷住，缠住；使…着迷；使…困扰
glamor,"n. 魅力；魔法；迷人的美（等于glamour）
vt. 迷惑；使有魅力（等于glamour）"
glamour,"n. 魅力，魔力；迷人的美
vt. 迷惑，迷住"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
adjacent,adj. 邻近的，毗连的
advent,n. 到来；出现；基督降临；基督降临节
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
affirm,"vt. 肯定；断言
vi. 确认；断言"
certify,v. 证明；保证
confirm,vt. 确认；确定；证实；批准；使巩固
testify,"vi. 作证；证明
vt. 证明，证实；作证"
verify,vt. 核实；查证
aggravate,vt. 加重；使恶化；激怒
deteriorate,"vi. 恶化，变坏
vt. 恶化"
worsen,"vi. 恶化；变得更坏；更坏
vt. 使恶化；使变得更坏"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
competitive,adj. 竞争的；比赛的；求胜心切的
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
provocative,"n. 刺激物，挑拨物；兴奋剂
adj. 刺激的，挑拨的；气人的"
ail,"n. 病痛，苦恼
vi. 生病
vt. 使苦恼，使烦恼"
bout,n. 回合；较量；发作；一阵
chronic,adj. 慢性的；长期的；习惯性的
aisle,n. 通道，走道；侧廊
footpath,n. 人行道；小路；小径
motorway,n. 高速公路，汽车高速公路
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
lane,n. 小巷； 航线；车道；罚球区
alcohol,n. 酒精，乙醇
champagne,n. 香槟酒；香槟酒色
cocktail,"n. 鸡尾酒；开胃食品
n. 混合物
adj. 鸡尾酒的"
ale,n. 麦芽酒
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
sober,"adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒"
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
attentive,adj. 留意的，注意的
cautious,adj. 谨慎的；十分小心的
discreet,adj. 谨慎的；小心的
meticulous,adj. 一丝不苟的；小心翼翼的；拘泥小节的
watchful,adj. 注意的；警惕的；警醒的
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
deliberately,adv. 故意地；谨慎地；慎重地
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
subsidy,n. 补贴；津贴；补助金
bonus,n. 奖金；红利；额外津贴
allude,vi. 暗指，转弯抹角地说到；略为提及，顺便提到
appease,vt. 使平息；使满足；使和缓；对…让步
appendix,n. 附录；阑尾；附加物
appraise,vt. 评价，鉴定；估价
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
assert,vt. 维护，坚持；断言；主张；声称
alter,"vt. 改变，更改
vi. 改变；修改"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
ambiguous,adj. 模糊不清的；引起歧义的
rigorous,adj. 严格的，严厉的；严密的；严酷的
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
advantageous,adj. 有利的；有益的
indigenous,adj. 本土的；土著的；国产的；固有的
various,adj. 各种各样的；多方面的
analogy,n. 类比；类推；类似
analysis,n. 分析；分解；验定
analyze,vt. 对…进行分析，分解（等于analyse）
analyse,vt. 分析；分解；细察
analytical,adj. 分析的；解析的；善于分析的
analytic,adj. 分析的；解析的；善于分析的
anecdote,n. 轶事；奇闻；秘史
anonymous,adj. 匿名的，无名的；无个性特征的
annex,"n. 附加物；附属建筑物
vt. 附加；获得；并吞"
Antarctic,
arctic,"n. 北极圈；御寒防水套鞋
adj. 北极的；极寒的"
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
continental,"n. 欧洲人
adj. 大陆的；大陆性的"
equator,n. 赤道
horizon,n.  地平线；视野；眼界；范围
longitude,n.  经度；经线
latitude,n. 纬度；界限；活动范围
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
applause,n. 欢呼，喝采；鼓掌欢迎
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
arbitrary,adj.  任意的；武断的；专制的
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
indiscriminately,adv. 不加选择地；任意地
