system,n. 制度，体制；系统；方法
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度"
solve,"vt. 解决；解答；溶解
vi. 作解答"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
product,n. 产品；结果； 乘积；作品
attractive,adj. 吸引人的；有魅力的；引人注目的
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
consumer,n. 消费者；用户，顾客
economy,n. 经济；节约；理财
species,"n.  物种；种类
adj. 物种上的"
technology,n. 技术；工艺；术语
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
organization,n. 组织；机构；体制；团体
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
literature,n. 文学；文献；文艺；著作
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
society,n. 社会；交往；社团；社交界
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
violence,n. 暴力；侵犯；激烈；歪曲
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
behavior,n. 行为，举止；态度；反应
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
ability,n. 能力，能耐；才能
economic,adj. 经济的，经济上的；经济学的
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
composition,n. 作文，作曲，作品； 构成；合成物；成分
community,n. 社区； 群落；共同体；团体
environment,n. 环境，外界
responsibility,n. 责任，职责；义务
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
resource,n. 资源，财力；办法；智谋
source,n. 来源；水源；原始资料
