again,"adv. 又，此外；再一次；再说；增加
n. （英、保）阿盖恩"
office,n. 办公室；政府机关；官职；营业处
blackboard,n. 黑板
crayon,"n. 蜡笔，有色粉笔
vt. 以蜡笔作画，用颜色粉笔画"
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
washroom,n. 洗手间；盥洗室；厕所
library,n. 图书馆，藏书室；文库
gym,n. 健身房；体育；体育馆
playground,n. 运动场，操场；游乐场
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
car,n. 汽车；车厢
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
ice cream,"n. 冰淇淋
 冰激凌；雪糕；冰激淋"
juice,n. （水果）汁，液；果汁
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
lion,n. 狮子；名人；勇猛的人；社交场合的名流
queen,"n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王
vt. 使…成为女王或王后
vi. 做女王"
tea,"n. 茶叶；茶树；茶点
vt. 给…沏茶
vi. 喝茶；进茶点"
umbrella,n. 雨伞；保护伞；庇护；伞形结构
vegetable,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的"
X-ray,
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐"
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
meat,n. 肉，肉类（食用）
noodle,n. 面条；笨蛋
thirsty,adj. 口渴的，口干的；渴望的，热望的
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
soup,"n. 汤，羹；马力
vt. 加速；增加马力"
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
traffic lights,"n. 交通信号灯；红绿灯
 交通灯；交通指挥灯；交通指示灯"
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓"
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
walk,"n. 步行，走；散步
vi. 走，步行；散步
vt. 散步；走过"
tired,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的"
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验"
be careful, 小心；当心；注意
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
