boy,n. 男孩；男人
girl,"n. 女孩；姑娘，未婚女子；女职员，女演员；（男人的）女朋友
n. （捷）吉尔"
Miss,
first,"num. 第一
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
adv. 第一；首先；优先；宁愿"
September,n. 九月
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位"
third,"num. 第三；三分之一
adj. 第三的；三分之一的"
fourth,"num. 第四
n. 第四，月的第四日；四分之一
adj. 第四的，第四个的；四分之一的"
pupil,n. 学生； 瞳孔；未成年人
hi,int. 嗨！（表示问候或用以唤起注意）
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
fifth,"num. 第五
n. 第五；五分之一
adj. 第五的；五分之一的"
sixth,"n. 月的第六日，（与the连用的）第六个；六分之一
adj. （与 the 连用）第六的，第六个的；六分之一的"
seventh,"n. 第七；七分之一
adj. 第七的；七分之一的
adv. 居第七位地"
teacher,n. 教师；导师
card,"n. 卡片；纸牌；明信片
vt. 记于卡片上"
tenth,"num. 第十；十分之一
adj. 十分之一的；第十个的"
eighth,"num. 第八；八分之一
adj. 第八的；八分之一的"
ninth,"num. 第九
adj. 第九的；九分之一的
n. 九分之一"
month,n. 月，一个月的时间
October,n.  十月
eleventh,"num. 第十一；十一分之一
n. 第十一；十一分之一
adj. 第十一的；十一分之一的"
November,n. 十一月
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
twelfth,"n. 第十二；月的第十二日
adj. 第十二的，第十二个的；十二分之一的"
December,n. 十二月
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
today,"n. 今天；现今
adv. 今天；现今"
thirteenth,"n. 第十三；十三分之一
adj. 第十三的；十三分之一的"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
seventeenth,"n. 第十七日；十七分之一
num. 第十七
adj. 第十七的，第十七个的；十七分之一的"
eighteenth,"num. 第十八；十八分之一
adj. 第十八的，第十八个的；十八分之一的"
nineteenth,num. 第十九；十九分之一
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
January,n. 一月
March,
February,n. 二月
every,adj. 每一的，每个的；每隔…的
April,n. 四月
August,
born,"v. 出世（bear的过去分词）
adj. 天生的"
May,
June,n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）
fifteenth,"adj. 第十五的；十五分之一的
num. 第十五"
fourteenth,"num. 第十四
n. 第十四；月的第十四日；十四分之一
adj. 第十四的；第十四个的"
How old ...?,
July,n. 七月
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
rainy,adj. 下雨的；多雨的
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
windy,adj. 多风的，有风的；腹胀的；吹牛的
cloudy,adj. 多云的；阴天的；愁容满面的
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
snowy,adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
borrow,"vt. 借；借用
vi. 借；借用；从其他语言中引入"
marker,n. 记分员；书签；标识物；作记号的人
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
eraser,n. 橡皮；擦除器； 清除器
sixty,num. 六十；六十个
ruler,n. 尺；统治者； 划线板，划线的人
forty,"n. 四十
adj. 四十的；四十个的"
blackboard,n. 黑板
seventy,"n. 七十；七十个；七十岁；七十年代
num. 七十
adj. 七十的；七十个的；七十岁的"
eighty,"num. 八十
n. 八十；八十岁；八十年代
adj. 八十的，八十个的；八十岁的"
ninety,"n. 九十
adj. 九十的；九十岁的
num. 九十"
hundred,"num. 百；百个
n. 一百；许多
adj. 一百的；许多的"
holiday,"n. 假日；节日；休息日
vi. 外出度假"
Christmas,n. 圣诞节；圣诞节期间
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
Chinese,"n. 中文，汉语；中国人
adj. 中国的，中国人的；中国话的"
ball,"n. 球；舞会
vt. 捏成球形
vi. 成团块"
gold,"n. 金，黄金；金色；金币
adj. 金的，金制的；金色的"
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
pink,"n. 粉红色；化身，典范；石竹花；头面人物
adj. 粉红的；比较激进的；石竹科的；脸色发红的
vt. 扎，刺，戳；使…变粉红色；使…面红耳赤
vi. 变粉红色"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
bell,"n. 铃，钟；钟声，铃声；钟状物
vt. 装钟于，系铃于
vi. 鸣钟；成钟状鼓起"
together,"adj. 新潮的；情绪稳定的，做事有效率的
adv. 一起；同时；相互；连续地；总共"
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
