practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
textbook,n. 教科书，课本
TV,abbr. 电视（television）
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
chess,n. 国际象棋，西洋棋
photo,n. 照片
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
have,"aux. 已经
vt. 有；让；拿；从事；允许"
will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
would,"aux. 将，将要；愿意
v. will的过去式"
different,adj. 不同的；个别的，与众不同的
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
listen,"vi. 听，倾听；听从，听信
n. 听，倾听"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
up,"prep. 在…之上；向…的较高处
n. 上升；繁荣
adj. 涨的；起床的；向上的
adv. 起来；上涨；向上"
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
nothing,"neg. 没什么；毫不
n. 无；零；不关紧要之事
adv. 毫不；决不
pron. 无事；无物
int. 什么也没有"
earth,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴
vt. 把（电线） 接地；盖（土）；追赶入洞穴
vi. 躲进地洞"
without,"prep. 没有；超过；在…外面
n. 外部；外面
adv. 户外；在外面；没有或不显示某事物"
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
their,pron. 他们的，她们的；它们的
forest,"n. 森林
vt. 植树于，使成为森林"
make use of,"na. 使用
 利用；利用某事物；利用好时间"
wood,"n. 木材；木制品；树林
vt. 植林于；给…添加木柴
vi. 收集木材"
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
tomato,n. 番茄，西红柿
carrot,"n. 胡萝卜
诱饵"
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
nut,"n. 螺母，螺帽；坚果；难对付的人，难解的问题
vi. 采坚果"
else,"adj. 别的；其他的
adv. 其他；否则；另外"
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
son,n. 儿子；孩子（对年轻人的称呼）；男性后裔
sister,"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的"
eighteen,"n. 十八，十八个
num. 十八
adj. 十八个的，十八的"
lovely,"adj. 可爱的；令人愉快的；爱恋的；秀丽的，优美的
n. 美女；可爱的东西"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
seven,"num. 七个，七
n. 七个，七
adj. 七的；七个的"
niece,n. 外甥女，侄女
nephew,n. 侄子；外甥
daughter,"n. 女儿； 子代
adj. 女儿的；子代的"
lucky,adj. 幸运的；侥幸的
often,adv. 常常，时常
same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）"
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
should,aux. 应该；就；可能；将要
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
birthday,n. 生日，诞辰；诞生的日子
teach,"vt. 教；教授；教导
vi. 教授；讲授；当老师"
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
build,"n. 构造；体形；体格
vi. 建筑；建造
vt. 建立；建筑"
excited,"v. 激动；唤起（excite的过去分词）
adj. 兴奋的；激动的；活跃的"
hour,n. 小时；钟头；课时；…点钟
email,"n. 电子信函
vt. 给…发电子邮件"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
exciting,"adj. 令人兴奋的；使人激动的
v. 激动；刺激（excite的ing形式）；唤起"
famous,adj. 著名的；极好的，非常令人满意的
its,pron. 它的
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
sea,n. 海；海洋；许多；大量
camera,n. 照相机；摄影机
