today,"n. 今天；现今
adv. 今天；现今"
Monday,n. 星期一
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
tomorrow,"n. 明天；未来
adv. 明天；未来地（等于to-morrow）"
Tuesday,n. 星期二
every,adj. 每一的，每个的；每隔…的
Friday,n. 星期五
Saturday,n. 星期六
Sunday,n. 星期日；礼拜日
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
all,"n. 全部
adj. 全部的
adv. 全然地；越发
pron. 全部"
week,n. 周，星期
diary,n. 日志，日记；日记簿
Wednesday,n. 星期三
Thursday,n. 星期四
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
hurry,"n. 匆忙，急忙
v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理"
... o'clock,
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
early,"adj. 早期的；早熟的
adv. 提早；在初期"
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
have dinner, 吃晚饭；吃饭；吃正餐
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
always,adv. 永远，一直；总是；常常
often,adv. 常常，时常
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
morning,n. 早晨；黎明；初期
afternoon,n. 午后，下午
never,adv. 从未；决不
sometimes,adv. 有时，间或
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
get up,"na. 起床；起身；站起来；叫…起床
 起立；打扮；安排"
have lunch, 吃午饭；吃午餐；吃中饭
go to bed,"na. 睡；同床；付印
 上床睡觉；去睡觉；就寝"
do homework, 做作业；做家庭作业；做功课
let's,让我们（let us的简写）
go to a movie, 去看电影；会去看电影；看场电影
start,"n. 开始；起点
vt. 开始；启动
vi. 出发"
enough,"n. 很多；充足
adj. 充足的
adv. 足够地，充足地
int. 够了！"
shall,aux. 应；会；将；必须
amusement park,"n. 游乐场；娱乐园
 游乐园；娱乐公园；公共游乐场"
museum,n. 博物馆
dinosaur,n. 恐龙；过时、落伍的人或事物
idea,n. 想法；主意；概念
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
by bus,"na. 乘公共汽车
 巴士；乘公交车；乘坐公共汽车"
go to the library,
play sports, 做运动；进行体育运动；进行体育活动
play games, 做游戏；玩游戏；捣鬼
by bike, 骑自行车；骑车；骑单车
by car,"na. 乘电车；乘汽车
 坐小汽车；乘小汽车；开车"
by taxi, 乘出租车；坐出租车；打的
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
weather report,"na. 气象通报；天气预报
 天气报告；气象报告；气象报告乐团"
cloudy,adj. 多云的；阴天的；愁容满面的
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
stay at home,"na. 长时间内不在
 呆在家里；待在家里；留在家里"
rainy,adj. 下雨的；多雨的
snowy,adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的
windy,adj. 多风的，有风的；腹胀的；吹牛的
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
sky,"n. 天空；顶点
vt. 把…投向空中；把…挂得过高
vi. 踢或击高空球；把桨叶翘得过高；飞涨"
