spaceship,n.  宇宙飞船
moon,"n. 月亮；月球；月光；卫星
vi. 闲荡；出神
vt. 虚度"
astronaut,n. 宇航员，航天员；太空旅行者
have,"aux. 已经
vt. 有；让；拿；从事；允许"
has,v. 有，吃，得到，从事，允许，雇用，享有（have的第三人称单数）；（亲属关系中）接受；拿；买到
had,"v. 有；吃；得到（动词have的过去式和过去分词）
aux. 已经（用于过去完成时和过去完成进行时）"
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
last night,"na. 昨晚；最后一夜
 昨夜；昨天晚上；一夜迷情"
am,
is,"v. 是（be的三单形式）
n. 存在"
was,be的第一和第三人称单数过去式
are,"v. 是（be的第二人称单复数现在式）
n. 公亩"
were,v. 是，在（are的过去式）
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
Earth,
yesterday,"n. 昨天；往昔
adv. 昨天"
swimming pool,"n. 游泳池；游泳场；游泳馆
 泳池情杀案；酒店泳池；泳池谋杀案"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
cleaned,"v. 打扫（clean的过去式）；把…弄干净
adj. 净化的"
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
visited,v. 拜访，访问（visit的过去式）
go,"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌
"
went,v. 去，过去（go的过去式）
slowly,adv. 缓慢地，慢慢地
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
wanted,"v. 缺少( want的过去式和过去分词 )；应该；打算；需要…在场
adj. 受通缉的；被征求的"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
passed,"v. 通过；传递（pass的过去分词）；超过
adj. 已经通过的；已经过去的；已被传递的"
eat,"vt. 吃，喝；腐蚀；烦扰
vi. 进食；腐蚀，侵蚀"
ate,v. 吃（eat的过去式）
quickly,adv. 迅速地；很快地
