survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
experimental,adj. 实验的；根据实验的；试验性的
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
prove,"vi. 证明是
vt. 证明；检验；显示"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
analysis,n. 分析；分解；验定
analyze,vt. 对…进行分析，分解（等于analyse）
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
exploration,n. 探测；探究；踏勘
explorer,n. 探险家；勘探者；探测器；探针
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
investigate,v. 调查；研究
confirm,vt. 确认；确定；证实；批准；使巩固
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
inquiry,n. 探究；调查；质询
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
calculation,n. 计算；估计；计算的结果；深思熟虑
data,n. 数据（datum的复数）；资料
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
trillion,"num.  万亿
n.  万亿
adj. 万亿的"
statistic,"n. 统计数值
adj. 统计的，统计学的"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
numerous,adj. 许多的，很多的
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
quantity,n. 量，数量；大量；总量
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
approximately,adv. 大约，近似地；近于
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
argument,n. 论证；论据；争吵；内容提要
arguably,"adv. 可论证地；可争辩地；正如可提出证据加以证明的那样地
可能，大概"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
introduce,vt. 介绍；引进；提出；采用
introduction,n. 介绍；引进；采用；入门；传入
discuss,vt. 讨论；论述，辩论
discussion,n. 讨论，议论
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
negotiation,n. 谈判；转让；顺利的通过
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
feedback,n. 反馈；成果，资料；回复
convey,vt. 传达；运输；让与
forum,n. 论坛，讨论会；法庭；公开讨论的广场
excuse,"n. 借口；理由
vt. 原谅；为…申辩；给…免去
vi. 作为借口；请求宽恕；表示宽恕"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
fill,"n. 满足；填满的量；装填物
vt. 装满，使充满；满足；堵塞；任职
vi. 被充满，膨胀"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
roll,"n. 卷，卷形物；名单；摇晃
vt. 卷；滚动，转动；辗
vi. 卷；滚动；转动；起伏，摇晃"
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
dig,"n. 戳，刺；挖苦
vi. 挖掘
vt. 挖，掘；探究"
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
solution,n. 解决方案；溶液；溶解；解答
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
cope,"n. 长袍
vi. 处理；对付；竞争"
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
