drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
drove,"n. 畜群；牛群、羊群等；移动的人群或大批的东西
v. 驾驶（drive的过去式）；赶(牲畜)；(牲畜贩子)买卖(牲畜)"
player,n. 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器
office,n. 办公室；政府机关；官职；营业处
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
sausage,n. 香肠；腊肠；装香肠的碎肉
sandwich,"n. 三明治；夹心面包
vt. 夹入；挤进；把...做成三明治"
fish and chips,"n. 炸鱼加土豆条；炸鱼薯条
 炸鱼和薯条；炸鱼与薯条；炸鱼和土豆片"
traditional,adj. 传统的；惯例的
dish,"n. 盘；餐具；一盘食物；外貌有吸引力的人
vt. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
vi. 成碟状；闲谈"
delicious,adj. 美味的；可口的
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
DVD,
librarian,n. 图书馆员；图书管理员
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
borrow,"vt. 借；借用
vi. 借；借用；从其他语言中引入"
sent,v. 送，寄出（send的过去分词）
American,"n. 美国人，美洲人；美国英语
adj. 美国的，美洲的；地道美国式的"
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
interesting,adj. 有趣的；引起兴趣的，令人关注的
season,"n. 时期；季节；赛季
vt. 给…调味；使适应
vi. 变得成熟；变干燥"
snow,"n. 雪，积雪；下雪
vt. 使纷纷落下；使变白
vi. 降雪"
How much ...?,
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
sales assistant, 销售助理；业务助理；售货员
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
pound,"n. 英镑；重击，重击声；兽栏；拘留所
vt. 捣烂；敲打；监禁，拘留
vi. 连续重击，猛击"
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
build,"n. 构造；体形；体格
vi. 建筑；建造
vt. 建立；建筑"
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
thousand,"n. 一千；一千个；许许多多
adj. 成千的；无数的"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
hope,"n. 希望；期望；信心
vi. 希望；期待；信赖
vt. 希望；期望"
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
hour,n. 小时；钟头；课时；…点钟
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
actor,n. 男演员；行动者；作用物
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于"
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
