how long,"conj. 多长时间
 多久；多长时间了；问时间"
near,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于"
along,"prep. 沿着；顺着
adv. 一起；向前；来到"
more than,"na. …以上；比…更
 多于；超过；不止"
kilometre,n.  公里； 千米
metre,n. 米；公尺；韵律
office building,"n. 办公楼
 写字楼；办公大楼；办公建筑"
Chinatown,n. 唐人街，中国城
town,n. 城镇，市镇；市内商业区
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
everywhere,"n. 每个地方
adv. 到处"
spoke,"n. （车轮的）辐条；轮辐；破坏某人的计划；阻挠某人的行动；刹车；扶梯棍
v. 说话（speak的过去式）；为…装轮辐；说；演说；从某种观点来说"
lion dance,"n. 舞狮；表演者装扮成狮子的样子；每逢节日庆典都会舞狮助兴
 狮子舞；舞狮子；狮舞"
tomb,"n. 坟墓；死亡
vt. 埋葬"
wrote,v. 写（write的过去式）
when,"conj. 考虑到；既然；当…时；在…时；如果
n. 时间，时候；日期；场合
adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时
pron. 那时；什么时侯"
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
hobby,n. 嗜好；业余爱好
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
coconut,n. 椰子；椰子肉
Thanksgiving,
nearly,adv. 差不多，几乎；密切地
the Spring Festival,
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确"
December,n. 十二月
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
pleased,"adj. 高兴的；喜欢的；乐意做某事
v. 满意；愿意（please的过去分词形式）"
pretty,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇"
French,"n. 法国人；法语
adj. 法国的；法语的；法国人的"
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
world,n. 世界；领域；世俗；全人类；物质生活
difficult,adj. 困难的；不随和的；执拗的
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
Miss,
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
gave,v. 给予（give的过去式）
its,pron. 它的
almost,adv. 差不多，几乎
deaf,adj. 聋的
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
sh,int. 嘘；安静
roar,"n. 咆哮；吼；轰鸣
vi. 咆哮；吼叫；喧闹
vt. 咆哮；呼喊；使……轰鸣"
fox,"n. 狐狸；狡猾的人
vt. 欺骗；使变酸
vi. 假装；耍狡猾手段"
at night,"na. 在黄昏时候；晚上
 在晚上；在夜里；在夜间"
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
ever,adv. 永远；曾经；究竟
tidy,"n. 椅子的背罩
adj. 整齐的；相当大的
vi. 整理；收拾
vt. 整理；收拾；弄整齐"
messy,adj. 凌乱的，散乱的；肮脏的，污秽的；麻烦的
never,adv. 从未；决不
blackboard,n. 黑板
peace,n. 和平；平静；和睦；秩序
make peace,"abbr. (=peacemaker)
 讲和；和平；媾和"
member state,"n. 会员国
 成员国；给成员国；主机成员状态"
famous,adj. 著名的；极好的，非常令人满意的
aunt,n. 阿姨；姑妈；伯母；舅妈
forgot,v. 忘记；轻忽；遗漏（forget的过去式）
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
