machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
welcome,"n. 欢迎
vt. 欢迎
adj. 受欢迎的
int. 欢迎"
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
sir,n. 先生；（用于姓名前）爵士；阁下；（中小学生对男教师的称呼）先生；老师
potato,n.  土豆， 马铃薯
dangerous,"adj. 危险的
危险地"
put,"n. 掷；笨蛋；投击；怪人
adj. 固定不动的
vi. 出发；击；航行；发芽
vt. 放；表达；移动；安置；赋予"
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓"
each,"adj. 每；各自的
pron. 每个；各自
adv. 每个；各自"
cheap,"adj. 便宜的；小气的；不值钱的
adv. 便宜地"
expensive,adj. 昂贵的；花钱的
send,"n. 上升运动
vi. 派人；寄信
vt. 发送，寄；派遣；使进入；发射"
email,"n. 电子信函
vt. 给…发电子邮件"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
hundred,"num. 百；百个
n. 一百；许多
adj. 一百的；许多的"
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
wolf,"n. 狼；色狼；残忍贪婪之人
vt. 大吃；狼吞虎咽地吃"
sheep,n. 羊，绵羊；胆小鬼
ran,v. 跑（run的过去式）
once upon a time,"na. 从前；很久很久以前；古时候
 童话镇；曾经；童话小镇"
look after,"na. 照看；照顾；看管；对…负责
 照料；照管；目送"
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
village,n. 村庄；村民；（动物的）群落
everyone,"n. 每个人
pron. 每个人；人人"
laugh,"n. 笑；引人发笑的事或人
vi. 笑
vt. 以笑表示；使…笑得"
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
learnt,v. 学习（learn的过去式和过去分词）
lesson,"n. 教训；课
vt. 教训；上课"
wouldn't,（等于would not）
into,prep. 到…里；深入…之中；成为…状况；进入到…之内
month,n. 月，一个月的时间
cheese,"n.  奶酪；干酪；要人
adj. 叛变的；胆小的
vt. 停止"
scared,"v. 使害怕（scare的过去分词）
adj. 害怕的"
run away,"na. 私奔；逃；弄不好
 逃跑；逃走；跑开"
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
violin,n. 小提琴；小提琴手
guitar,"n. 吉他，六弦琴
vi. 弹吉他"
nervous,adj. 神经的；紧张不安的；强健有力的
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
proud,adj. 自豪的；得意的；自负的
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
Father's Day,"na. 父亲节(每年六月的第三个星期日)
 第三个星期日父亲节；异趣父亲节；父亲忌日"
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
east,"n. 东方；东风；东方国家
adj. 东方的；向东的；从东方来的
adv. 向东方，在东方"
west,"n. 西；西方；西部
adj. 西方的；朝西的
adv. 在西方；向西方；自西方"
o'clock,abbr. …点钟（等于of the clock）
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
much,"adv. 非常，很
adj. 大量的
n. 许多，大量
pron. 许多，大量"
am,
pm,
best,"n. 最好的人，最好的事物；最佳状态
adj. 最好的
vt. 打败，胜过
adv. 最好地"
north,
south,"n. 南方，南边；南部
adj. 南的，南方的
adv. 在南方，向南方"
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
have a rest,"v. 休息一下
 休息一会儿；休憩；好好休息"
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
maybe,"adv. 也许；可能；大概
n. 可能性；不确定性"
map,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置"
because,conj. 因为
language,n. 语言；语言文字；表达能力
Australian,"adj. 澳大利亚的，澳大利亚人的
n. 澳大利亚人"
kangaroo,n. 袋鼠
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
postcard,n. 明信片
plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
museum,n. 博物馆
restaurant,n. 餐馆； 饭店
