hi,int. 嗨！（表示问候或用以唤起注意）
I,"n. 碘元素；英语字母I
pron. 我"
be,vt. 是； 有，存在； 做，成为； 发生
am,
is,"v. 是（be的三单形式）
n. 存在"
are,"v. 是（be的第二人称单复数现在式）
n. 公亩"
what,"pron. 什么；多么；多少
adv. 到什么程度，在哪一方面
adj. 什么；多么；何等
int. 什么；多么"
your,pron. 你的，你们的
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
hello,"n. 表示问候， 惊奇或唤起注意时的用语
int. 喂；哈罗"
my,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷"
goodbye,"int. 再见
放弃
告别"
have,"aux. 已经
vt. 有；让；拿；从事；允许"
a,"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. 安（ampere）"
an,art. 一（在元音音素前）
nice,adj. 精密的；美好的；细微的；和蔼的
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
good,"n. 好处；善行；慷慨的行为
adj. 好的；优良的；愉快的；虔诚的
adv. 好"
morning,n. 早晨；黎明；初期
Ms,
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
stand up,"na. 站起来；持久；露头角；背约
 起立；我挺你；站得住脚"
sit,"vi. 坐；位于
vt. 使就座"
sit down,"na. 坐下；住定；占有；(坐下来)开始工作(谈判等)
 扎营；雪堂请侬坐；坐吧"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
listen,"vi. 听，倾听；听从，听信
n. 听，倾听"
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述"
let's,让我们（let us的简写）
let us, 让我们；让我们自己；让我们一起
friend,n. 朋友；助手；赞助者
to,"prep. 到；向；（表示时间、方向）朝…方向
adv. 向前；（门等）关上"
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
you,pron. 你；你们
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
happy,adj. 幸福的；高兴的；巧妙的
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
do,"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情"
they,pron. 他们；它们；她们
welcome,"n. 欢迎
vt. 欢迎
adj. 受欢迎的
int. 欢迎"
everyone,"n. 每个人
pron. 每个人；人人"
nine,"n. 九，九个
num. 九；九个
adj. 九的，九个的"
she,"n. 女人；雌性动物
pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）"
too,adv. 太；也；很；还；非常；过度
we,pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
from,prep. 来自，从；由于；今后
the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
he,"n. 男孩，男人；它（雄性动物）
pron. 他"
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
and,conj. 和，与；就；而且；但是；然后
oh,int. 哦；哎呀（表示惊讶或恐惧等）
no,"adv. 不
adj. 没有；不是
n. 不；否决票
abbr. 数字（number）；元素锘（nobelium）的符号"
help,"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待"
here,"n. 这里
adv. 在这里；此时
int. 嘿！；喂！"
here you are,
thank,"n. 感谢
vt. 感谢
int. 谢谢"
