acknowledge,vt. 承认；答谢；报偿；告知已收到
comforts,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
possession,n. 拥有；财产；领地；自制；着迷
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
in possession of,"prep. 占有
 拥有；拥有某物；占有某物"
be in want of, 缺乏
heroine,n. 女主角；女英雄；女杰出人物
eventual,adj. 最后的，结果的；可能的；终于的
assure,vt. 保证；担保；使确信；弄清楚
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
make a remark, 评论；议论
unsociable,adj. 不爱交际的；不与人亲近的；不和气的
resemble,vt. 类似，像
to one's astonishment,"na. 令…惊讶的是
 使人吃惊的是；使某人惊奇的是；令某人惊讶的是"
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
go mad,"na. 发狂
 发疯；疯了；变疯"
intensely,adv. 强烈地；紧张地；热情地
head over heels,"na. 倒栽葱；完全
 头朝下的生活；神魂颠倒；从头到脚"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
rightly,adv. 正确地；恰当地；公正地；合适地
disclose,vt. 公开；揭露
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
resentfully,adv. 充满愤恨地
hypocritical,adj. 虚伪的；伪善的
deign,"vt. 赐予
vi. 屈尊"
compassion,n. 同情；怜悯
discretion,n. 自由裁量权；谨慎；判断力；判定；考虑周到
fretfully,adv. 焦急地；焦躁地
teasing,n. 戏弄
circumspection,n. 慎重；细心
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
emphatic,adj. 着重的；加强语气的；显著的
exclamation,n. 感叹；惊叫；惊叹词
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
surpass,vt. 超越；胜过，优于；非…所能办到或理解
tumult,n. 骚动；骚乱；吵闹；激动
