colonist,"n. 殖民者；殖民地居民；移民
adj. 殖民主义者的；奉行殖民主义的"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
populated,"adj. 粒子数增加的
v. 居住于…中；构成…的人口（populate的过去分词）"
mistaken,"adj. 错误的；弄错的；被误解的
v. 弄错（mistake的过去分词）"
meekly,adv. 温顺地；逆来顺受地；忠厚地
rebellion,n. 叛乱；反抗；谋反；不服从
ultimately,adv. 最后；根本；基本上
make one's way towards,
wharf,"n. 码头；停泊处
vt. 使靠码头；为…建码头；把货卸在码头上
vi. 靠码头"
take command of,"na. 担任指挥
 担任……的指挥；控制；开始控制"
for the purpose of,"na. 为…
 为了…目的；为……目的；为了……的目的"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
do damage to,"na. 损害
 对…造成损坏；对…造成损害；对…产生损害"
chest,n. 胸，胸部；衣柜；箱子；金库
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
on contact with,prep.一经与...接触
large quantities of, 大量的；大批；快速搜索大量
inevitable,adj. 必然的，不可避免的
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
dissatisfied,"v. 使不满（dissatisfy的过去式和过去分词）
adj. 不满意的；不高兴的；流露不满的"
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
representation,n. 代表；表现；表示法；陈述
make up for,"v. 偿还；赔偿
 弥补；补偿；补偿，弥补"
be prepared to,"na. 准备着
 已经做好准备去做；准备做……事；准备好要"
give in to,"v. 交上；同意；接受
 屈服于；向…让步；投降"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
intolerable,adj. 无法忍受的；难耐的
signatory,"n. 签约国；签名人
adj. 签署的；签约的"
abstain,vi. 自制；放弃；避免
silversmith,n. 银器匠
patriot,n. 爱国者
patriotism,n. 爱国主义；爱国心，爱国精神
craftsman,n. 工匠；手艺人；技工
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
sentry,"n. 哨兵；岗哨
vi. 放哨
vt. 设岗哨"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
take liberties with,"na. 跟…无礼；调戏(妇女)；损害；歪曲
 随意对待；对采取随意自由的态度；随便地改动某物"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
give an account of,"na. 叙述；说明
 报告；汇报；讲述"
unanimous,adj. 全体一致的；意见一致的；无异议的
endow,vt. 赋予；捐赠；天生具有
unalienable,adj. 不可剥夺的（等于inalienable）
usurpation,n. 篡夺；夺取
tyranny,n. 暴政；专横；严酷；残暴的行为（需用复数）
solemnly,adv. 庄严地；严肃地
tyrant,n. 暴君
grievance,n. 不满，不平；委屈；冤情
abolition,n. 废除；废止
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
applicable,adj. 可适用的；可应用的；合适的
sensitivity,n. 敏感；敏感性；过敏
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
ruling,"n. 统治，支配；裁定
adj. 统治的；主要的；支配的；流行的，普遍的"
enrol,"vi. 注册；参军
vt. 登记；卷起；入学；使入会"
precise,adj. 精确的；明确的；严格的
mob,"n. 暴民，暴徒；民众；乌合之众
vt. 大举包围，围攻；蜂拥进入
vi. 聚众生事，聚众滋事"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
integration,n. 集成；综合
on the run,"na. 跑着
 我很忙；亡命鸳鸯；逃亡"
imprisonment,n. 监禁，关押；坐牢；下狱
apartheid,n. 种族隔离
legislation,n. 立法；法律
restrict,vt. 限制；约束；限定
outlaw,"n. 歹徒；罪犯；亡命之徒；被剥夺法律保护者
vt. 宣布…为不合法；将…放逐；剥夺…的法律保护"
pave,vt. 铺设；安排；作铺设之用
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
defiance,n. 蔑视；挑战；反抗
segregation,n. 隔离，分离；种族隔离
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
seamstress,n. 女裁缝师；做针线活的妇女
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
immeasurable,adj. 无限的； 不可计量的；不能测量的
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
inherently,adv. 内在地；固有地；天性地
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
infliction,n. 施加；处罚，刑罚
inhumanity,n. 不人道，无人性；残暴
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
instrumental,"n. 器乐曲；工具字，工具格
adj. 乐器的；有帮助的；仪器的，器械的"
rectify,vt. 改正；精馏；整流
unspeakable,adj. 无法形容的；不能以言语表达的；坏透了的
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
creed,n. 信条，教义
expose,vt. 揭露，揭发；使曝光；显示
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
blow up,"v. 炸掉；爆炸；充气；放大
 炸毁；发脾气；爆发"
unwilling,adj. 不愿意的；不情愿的；勉强的
watercress,n.  豆瓣菜；西洋菜
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
peppery,adj. 辛辣的；胡椒味的；暴躁的
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
kneel,vi. 跪下，跪
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
ledge,n. 壁架；突出之部份；暗礁；矿层
smock,"n. 工作服；罩衫
vt. 给…穿上罩衫"
carbine,n. 卡宾枪
sling,"n.  吊索；投石器；抛掷
vt. 用投石器投掷；吊起"
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
get to one's feet,un. 觉得胆小；站起来
