maple,n. 枫树；淡棕色
pudding,n. 布丁
black pudding,"n. 黑香肠（用猪血、乳脂以及谷粒制成）
 黑布丁；血肠；血腊肠"
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
cuisine,n. 烹饪，烹调法
spicy,adj. 辛辣的；香的，多香料的；下流的
hot pot,"na. 马铃薯炖牛肉
 火锅；火锅类；煲仔类"
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
marriage,n. 结婚；婚姻生活；密切结合，合并
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
butcher,"n. 屠夫
vt. 屠杀"
super,"n. 特级品，特大号；临时雇员
adj. 特级的；极好的"
bacon,n. 咸肉；腌肉；熏猪肉
sausage,n. 香肠；腊肠；装香肠的碎肉
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
typical,adj. 典型的；特有的；象征性的
roast,"n. 烤肉；烘烤
adj. 烘烤的；烤过的
vt. 烤，焙；烘，烘烤；暴露于某种热力下以得温暖
vi. 烤；烘"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
stinky,"adj. 发恶臭的
n. 全景雷达；环视雷达站"
tofu,n. 豆腐
horrible,adj. 可怕的；极讨厌的
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
cheese,"n.  奶酪；干酪；要人
adj. 叛变的；胆小的
vt. 停止"
someday,adv. 有一天，有朝一日
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
oolong,n. 乌龙茶（中国名茶之一）
china,
symbol,n. 象征；符号；标志
opinion,n. 意见；主张
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
download,vt.  下载
related,"v. 叙述（relate过去式）
adj. 有关系的，有关联的；讲述的，叙述的"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
manners,n. 礼貌（manner的复数形式）
in case,"na. 以防万一；作为准备；如果；免得
 假使；假如；以防免得"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
BBQ,
