module,n.  模块；组件；模数
greeting,"n. 问候，招呼；祝贺
v. 致敬，欢迎（greet的现在分词）"
good,"n. 好处；善行；慷慨的行为
adj. 好的；优良的；愉快的；虔诚的
adv. 好"
morning,n. 早晨；黎明；初期
Ms,
hello,"n. 表示问候， 惊奇或唤起注意时的用语
int. 喂；哈罗"
hi,int. 嗨！（表示问候或用以唤起注意）
goodbye,"int. 再见
放弃
告别"
bye,"n. 轮空；次要的东西
int. 再见
adj. 次要的"
mum,"adj. 沉默的
n. 妈妈（口语）；沉默；菊花
vi. 演哑剧
int. 别说话"
afternoon,n. 午后，下午
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
Mr,abbr. 先生（Mister）
Miss,
dad,n. 爸爸；爹爹
are,"v. 是（be的第二人称单复数现在式）
n. 公亩"
you,pron. 你；你们
How are you?, 你身体好吗？
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
grandpa,n. 爷爷；外公
grandma,n. 奶奶；外婆
introduction,n. 介绍；引进；采用；入门；传入
I,"n. 碘元素；英语字母I
pron. 我"
am,
I'm,abbr. 我是（缩写）
I am, 我是；这就是我；唯我是问
what,"pron. 什么；多么；多少
adv. 到什么程度，在哪一方面
adj. 什么；多么；何等
int. 什么；多么"
is,"v. 是（be的三单形式）
n. 存在"
what's,…是什么（等于what is）；…有什么（等于what has）
what is,
your,pron. 你的，你们的
my,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷"
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
let,"vt. 允许，让；出租；假设；妨碍
vi. 出租；被承包
n. 障碍；出租屋"
us,pron. 我们
let's,让我们（let us的简写）
let us, 让我们；让我们自己；让我们一起
be,vt. 是； 有，存在； 做，成为； 发生
friend,n. 朋友；助手；赞助者
Let's be friends.,
this,"adj. 这；本；这个；今
pron. 这；这个；这里
adv. 这样地；这么"
teacher,n. 教师；导师
nice,adj. 精密的；美好的；细微的；和蔼的
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
Nice to meet you.,
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
too,adv. 太；也；很；还；非常；过度
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
wash,"n. 洗涤；洗的衣服；化妆水；冲积物
vt. 洗涤；洗刷；冲走；拍打
vi. 洗澡；被冲蚀"
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
oh,int. 哦；哎呀（表示惊讶或恐惧等）
don't,"n. 禁忌（等于do not）
aux. 表示否定（等于do not）"
do not,
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
and,conj. 和，与；就；而且；但是；然后
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
