will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
willingly,adv. 欣然地；愿意地，乐意地
willingness,n. 乐意；心甘情愿；自动自发
unwilling,adj. 不愿意的；不情愿的；勉强的
from,prep. 来自，从；由于；今后
front,"n. 前面；正面；前线
adj. 前面的；正面的
vt. 面对；朝向；对付
vi. 朝向
adv. 在前面；向前"
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
but,"conj. 但是；而是；然而
adv. 仅仅，只
prep. 除…以外"
butcher,"n. 屠夫
vt. 屠杀"
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
not,"adv. 表示否定，不
n. “非”（计算机中逻辑运算的一种）"
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
good,"n. 好处；善行；慷慨的行为
adj. 好的；优良的；愉快的；虔诚的
adv. 好"
god,
gold,"n. 金，黄金；金色；金币
adj. 金的，金制的；金色的"
golden,adj. 金色的，黄金般的；珍贵的；金制的
goldfish,n. 金鱼
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
making,"n. 发展；制造；形成
v. 制作（make的现在分词）"
maker,n. 制造者；造物主；出期票人
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
timetable,n. 时间表；时刻表；课程表
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
saying,"n. 话；谚语；言论
v. 说（say的ing形式）"
all,"n. 全部
adj. 全部的
adv. 全然地；越发
pron. 全部"
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
allow for,"v. 考虑到
 顾及；估计到；体谅"
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
allergic,adj. 对…过敏的；对…极讨厌的
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
yearly,"n. 年刊；年鉴
adj. 每年的
adv. 每年；一年一次"
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
worker,n. 工人；劳动者；职蚁
working,"n. 工作；活动；制作；操纵
v. 工作；影响；受雇用（work的ing形式）
adj. 工作的；操作的；可行的"
workday,"n. 工作日
adj. 日常的，工作日的；平凡的"
workforce,n. 劳动力；工人总数，职工总数
workload,n. 工作量
workmate,n. 同事；工友
workplace,n. 工作场所；车间
workshop,n. 车间；研讨会；工场；讲习班
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
misuse,"vt. 滥用；误用；虐待
n. 滥用；误用；虐待"
reuse,"n. 重新使用，再用
vt. 再使用"
come round to, 改变主意；让步；接受
usage,n. 使用；用法；惯例
useful,adj. 有用的，有益的；有帮助的
useless,adj. 无用的；无效的
user,"n. 用户
n. 使用者"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
finger,"n. 手指；指针，指状物
vt. 伸出；用手指拨弄
vi. 用指触摸；拨弄"
fingerprint,"n. 指纹；手印
vt. 采指纹"
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
newly,adv. 最近；重新；以新的方式
than,"conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
prep. 比；超过"
child,n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
childish,adj. 幼稚的，孩子气的
childhood,n. 童年时期；幼年时代
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
chilly,adj. 寒冷的；怕冷的
may,aux. 可以，能够；可能，也许；祝，愿；会，能
maybe,"adv. 也许；可能；大概
n. 可能性；不确定性"
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
manly,"adj. 男子气概的；强壮的；适于男人的
adv. 雄赳赳地"
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
daylight,n. 白天；日光；黎明；公开
daydream,"n. 白日梦
vi. 做白日梦"
daydreamer,n. 空想家
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
unknown,"n. 未知数；未知的事物，默默无闻的人
adj. 未知的；陌生的，默默无闻的"
knowledge,n. 知识，学问；知道，认识；学科
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
unlikely,"adj. 不太可能的；没希望的
adv. 未必"
likelihood,n. 可能性，可能
likewise,adv. 同样地；也
think,"n. 想；想法
adj. 思想的
vi. 想；认为
vt. 想；认为；想起；想像；打算"
thinker,n. 思想家；思想者
rethink,"n. 重新考虑；反思；新想法
vt. 重新考虑；再想
vi. 重新考虑；再想"
help,"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待"
helpless,adj. 无助的；无能的；没用的
helper,n. 助手，帮手
helpful,adj. 有帮助的；有益的
life,n. 生活，生存；寿命
lifeguard,"n. 救生员；警卫
vt. 护卫，保护
vi. 当救生员"
lifestyle,"n. 生活方式
保健的"
lifetime,"n. 一生；寿命；终生；使用期
adj. 一生的；终身的"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
comedy,n. 喜剧；喜剧性；有趣的事情
comfortable,"n. 盖被
adj. 舒适的，舒服的"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
uncomfortable,adj. 不舒服的；不安的
school,"n. 学校；学院；学派；鱼群
vt. 教育"
preschooler,n. （美）学龄前儿童
schoolbag,n. 书包
schoolbook,"n. 教科书
adj. （美）教科书式的；过于简单的"
schoolboy,n. 男学生；学童
schoolgirl,n. 女学生
schoolmate,n. 同学；同窗
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
afternoon,n. 午后，下午
afterwards,adv. 后来；然后
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
needy,adj. 贫困的；贫穷的；生活艰苦的
needless,adj. 不必要的，不需要的；多余的，无用的
shall,aux. 应；会；将；必须
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
justice,n. 司法，法律制裁；正义；法官，审判员
injustice,n. 不公正；不讲道义
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
reader,n. 读者；阅读器；读物
reading,"n. 阅读，朗读；读物；读数
v. 阅读（read的ing形式）
adj. 阅读的"
reread,"n. 重读
vt. 重读；再读
vi. 重读，再读"
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
homeless,"adj. 无家可归的
无家可归的人
无家可归"
homeland,n. 祖国；故乡
homeowner,n. 私房屋主；自己拥有住房者
homesick,adj. 想家的；思乡病的
hometown,n. 家乡；故乡
homework,n. 家庭作业，课外作业
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
be spoiled for choice,
booker,n. （旅馆车票，戏票等的）登记人；寻选模特儿的人
booking,n. 预订；预约；演出契约
booklet,n. 小册子
bookcase,n.  书柜，书架
bookend,n. 书挡，书夹；压书具
bookseller,n. 书商；售书员
bookshelf,n. 书架
bookstore,n. 书店（等于bookshop）
bookshop,n. 书店
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
follower,n. 追随者；信徒；属下
each,"adj. 每；各自的
pron. 每个；各自
adv. 每个；各自"
eager,adj. 渴望的；热切的；热心的
eagle,n. 鹰；鹰状标饰
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
unevenly,adv. 不均衡地；不平坦地；不平行地
eve,n. 前夕；傍晚；重大事件关头
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
event,n. 事件，大事；项目；结果
eventually,adv. 最后，终于
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
teller,n. （美）出纳员；讲述者；讲故事者；计票员
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述"
writer,n. 作家；作者
writing,"n. 书写；作品；著作； 笔迹
v. 书写（write的ing形式）"
rewrite,"n. 重写或改写的文稿；改写的作品
vt. 改写；重写
vi. 改写；重写"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
changer,n. 转换开关装置；改变者（change的名词形式）
changeable,adj. 无常的；可改变的；易变的；不定的
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
chant,"n. 圣歌；赞美诗
vt. 唱；诵扬
vi. 唱歌；反复地唱歌"
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
longing,"n. 渴望，热望；憧憬
adj. 渴望的，极想得到的
v. 渴望（long的ing形式）"
passage,n. 一段（文章）；走廊；通路
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
famous,adj. 著名的；极好的，非常令人满意的
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
world,n. 世界；领域；世俗；全人类；物质生活
worldwide,"adj. 全世界的
adv. 在世界各地"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
lively,adj. 活泼的；生动的；真实的；生气勃勃的
livestock,n. 牲畜；家畜
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
ask for,"na. 要(价)；来找
 请求；要求；要求得到"
ask after,"na. 问安
 问候；询问；探问"
ask about,"na. 问某人…
 询问；打听；询问有关"
asleep,"adj. 睡着的；麻木的；长眠的
adv. 熟睡地；进入睡眠状态"
aspect,n. 方面；方向；形势；外貌
now,"adv. 现在；如今；立刻
adj. 现在的
n. 现在；目前
conj. 由于；既然"
nowadays,"adv. 现今；时下
n. 当今"
also,"conj. 并且；另外
adv. 也；而且；同样"
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
already,adv. 已经，早已；先前
food,n. 食物；养料
fool,"n. 傻瓜；愚人；受骗者
vt. 欺骗，愚弄
adj. 傻的
vi. 欺骗；开玩笑；戏弄"
foolish,adj. 愚蠢的；傻的
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
footnote,"n. 脚注；补充说明
vt. 给…作脚注；在脚注里评议"
footprint,n. 足迹；脚印
footstep,n. 脚步；脚步声；足迹
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
keeper,n. 监护人；饲养员；看守人；管理人
become,"vt. 适合；相称
vi. 成为；变得；变成"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
author,"n. 作者；作家；创始人
vt. 创作出版"
authority,n. 权威；权力；当局
authenticate,vt. 鉴定；证明…是真实的
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
greatly,adv. 很，大大地；非常
grease,"n. 油脂；贿赂
vt. 涂脂于；贿赂"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
friend,n. 朋友；助手；赞助者
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
friendship,n. 友谊；友爱；友善
own,"vt. 拥有；承认
vi. 承认
adj. 自己的；特有的
n. 自己的"
owner,n.  所有者；物主
ownership,n. 所有权；物主身份
down,"prep. 沿着，往下
n. 软毛，绒毛； 开阔的高地
adj. 向下的
vt. 打倒，击败
adv. 向下，下去；在下面
vi. 下降；下去"
downward,"adj. 向下的，下降的
adv. 向下"
download,vt.  下载
downsize,vt. 以较小尺寸设计；缩小尺寸；裁减人数
downstairs,"n. 楼下
adj. 楼下的
adv. 在楼下"
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
parent,n. 父亲（或母亲）；父母亲；根源
parenting,"n. 父母对子女的养育
v. 教养（parent的ing形式）；做…的父亲或母亲"
money,n. 钱；货币；财富
monetize,vt. 定为货币，使成为合法货币；铸造成货币
start,"n. 开始；起点
vt. 开始；启动
vi. 出发"
starter,n. 起动机；发令员；第一道菜；发射装置；发起者；参加比赛者，上场队员
restart,"n. 重新开始；返聘
vt.  重新启动；重新开始
vi.  重新启动；重新开始"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
calorie,n. 卡路里（热量单位）
callus,"n.  胼胝；愈合组织；老茧
vt. 使生老茧；使变硬；使结痂
vi. 变硬；结痂；生老茧"
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
talker,n. 说话的人；健谈者；空谈者
being,"n. 存在；生命；本质；品格
adj. 存在的；现有的"
problem,"n. 难题；引起麻烦的人
adj. 成问题的；难处理的"
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
player,n. 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器
replay,"n. 重赛；重播；重演
vt. 重放；重演；重新比赛"
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
jogger,n. 慢跑者； 撞纸机
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验"
tryout,n. 试验；选拔赛；预赛
though,"conj. 虽然；尽管
prep. 但
adv. 可是，虽然；不过；然而"
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
householder,n. 户主，家长；房主
housekeep,vi. 自立门户，主持家务
housewife,n. 家庭主妇
housework,n. 家务事
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
motherly,adj. 母亲的；慈母般的
city,"n. 城市，都市
adj. 城市的；都会的"
citizen,n. 公民；市民；老百姓
citizenship,n.  公民身份，公民资格；国籍；公民权
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
civilization,n. 文明；文化
civilize,"vt. 使文明；教化；使开化
vi. 变得文明"
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
buyer,n. 买主；采购员
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
lately,adv. 近来，不久前
latter,adj. 后者的；近来的；后面的；较后的
talent,n. 才能；天才；天资
latte,n. 牛奶；拿铁咖啡（coffee latte）
idea,n. 想法；主意；概念
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
ideally,adv. 理想地；观念上地
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
begin,"vi. 开始；首先
vt. 开始"
beginner,n. 初学者；新手；创始人
beg,"vi. 乞讨；请求
vt. 乞讨；恳求；回避正题"
beggar,"n. 乞丐；穷人；家伙
vt. 使贫穷；使沦为乞丐"
according,"adj. 相符的；一致的；相应的；和谐的；调和的
adv. 依照；根据；按照
v. 给予( accord的现在分词 )；使和谐一致；使符合；使适合"
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
accordingly,adv. 因此，于是；相应地；照著
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
take into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
accountant,n. 会计师；会计人员
accurate,adj. 精确的
accuracy,n.  精确度，准确性
inaccurate,adj. 错误的
