fabled,"adj. 寓言中的，虚构的
v. 虚构（fable的过去分词）"
ensconce,vt. 安置；安顿下来；使…隐藏
dainty,"n. 美味
adj. 美味的；讲究的；秀丽的；挑剔的"
scalloped,"adj. 扇形的；圆齿状的；有圆齿的
v. 使成扇形；捕捞扇贝；用扇贝壳烘烤（scallop的过去分词）"
marigold,n. 万寿菊；金盏花
spice,"n. 香料；情趣；调味品；少许
vt. 加香料于…；使…增添趣味"
bun,"n. 小圆面包
屁股
圆髻"
rock-cake,
bakery,n. 面包店
mayonnaise,n. 蛋黄酱
pickle,"n. 泡菜；盐卤；腌制食品
vt. 泡；腌制"
dill,n.  莳萝；莳萝的种子
fuzz,"n. 绒毛；模糊；细毛；警员
vt. 使模糊；起毛
vi. 作绒毛状飞散；变成绒毛状；变得模糊"
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
tin,"n. 锡；罐头，罐；马口铁
adj. 锡制的
vt. 涂锡于；给…包马口铁"
washcloth,n. 毛巾；面巾；洗碟布
dampen,"vt. 抑制；使…沮丧；使…潮湿
vi. 潮湿；丧气"
rosewater,adj. 有玫瑰香水味的
glycerine,n. 丙三醇， 甘油
umpteenth,adj. 第无数次的
avow,vt. 承认；公开宣称；坦率承认
measly,adj. 患麻疹的；极少的；低贱的
fleabag,n. 廉价旅社；睡袋
real estate,"n. 房地产；不动产；房产
 房地产业；房地产专业；房地产学"
squint,"n. 斜视；斜孔小窗；一瞥
adj. 斜视的；斜的
vt. 使斜眼；眯眼看
vi. 眯眼看；斜视；窥视；偏移"
auditorium,n. 礼堂，会堂；观众席
let out,"na. 放宽；打；放出；泄漏
 泄露；发出；放掉"
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
dilated,adj. 扩大的；膨胀的；加宽的
corolla,n.  花冠
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
travesty,"n. 歪曲；滑稽作品；拙劣的模仿作品
vt. 歪曲；滑稽地模仿"
caravan,"n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
vi. 乘拖车度假；参加旅行队旅行"
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
flair,n. 天资；天分；资质；鉴别力
cool off,"na. 变凉；使…冷静；(销量,价钱等)下降
 平静下来；冷却；冷静下来"
vanilla,"n. 香子兰，香草
adj. 香草味的"
soda fountain,"n. （压杆式）苏打水瓶；冷饮柜台；冷饮部
 冷饮处；冷饮小卖部；苏打芳亭"
corded,"adj. 用索子捆扎的；绳制的
v. 用绳、索捆扎（cord的过去分词）"
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
pinafored,"(pinafore 的过去时) n. 围巾, 围裙, 围涎"
mottled,"adj. 斑驳的，杂色的
v. 使成杂色（mottle的过去分词）"
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
indignant,adj. 愤愤不平的；义愤的
outraged,"adj. 义愤填膺的；愤慨的，气愤的
v. 使愤怒（outrage的过去式，过去分词）"
anticipate,vt. 预期，期望；占先，抢先；提前使用
copybook,"n. 字帖；习字簿
adj. 陈腐的"
stoically,adv. 坚忍地；恬淡寡欲地
dissuade,vt. 劝阻，劝止
forcibly,adv. 用力地；强制地；有说服力地
repressed,"adj. 被压抑的；被抑制的
v. 抑制；镇压；约束（repress的过去分词）"
maniacal,adj. 疯狂的，狂热的；躁狂的
mustiness,n. 陈腐；无力气；霉臭
mothball,"n. 樟脑丸，卫生球
vt. 封存
adj. 后备的；封存的"
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
kowtow,"vi. 叩头；卑躬屈膝
n. 叩头"
chant,"n. 圣歌；赞美诗
vt. 唱；诵扬
vi. 唱歌；反复地唱歌"
ideograph,n. 象形文字；表意文字（等于ideogram）
painstakingly,adv. 煞费苦心地；费力地
blotch,"n. 斑点；污点；疙瘩
vt. 弄脏"
multiplication table,"n. 乘法表
 九九乘法表；九九表；乘法口诀"
disassociate,vt. 使分离（过去式disassociated，过去分词disassociated，现在分词disassociating，第三人称单数disassociates，名词disassociation）
nagging,"adj. 唠叨的；挑剔的；使人不得安宁的
n. 唠叨；挑剔
v. 唠叨（nag的ing形式）"
outshout,vt.叫得比…响
vendor,n. 卖主；小贩；供应商； 自动售货机
raunchy,adj. 邋遢的，不修边幅的；猥亵的
lilt,"n. 轻快的动作；轻快活泼的调子
vt. 轻快地动；唱轻快的调子；用欢快节奏唱
vi. 轻快地动；唱轻快的调子；用欢快节奏唱"
refinement,n. 精制；文雅； 提纯
chaotic,adj. 混沌的；混乱的，无秩序的
frenzied,"adj. 疯狂的；狂乱的；激怒的
v. 使狂乱（frenzy的过去式）"
gibberish,n. 乱语；快速而不清楚的言语
cluck,"n. 咯咯的叫声
vt. 咯咯叫
vi. 咯咯叫"
fanatical,adj. 狂热的
pidgin,n. 洋泾滨语；混杂语言；事务
smattering,"n. 一知半解；少数；略知
adj. 肤浅的；些许的；点滴的
v. 略知；肤浅地学习；粉碎（smatter的ing形式）"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
chop suey,"n. 炒杂烩（中式菜，碎肉和蔬菜一起炒后配米饭吃）
 杂碎；炒杂碎；炒杂烩菜"
trip over,"un. 绊在障碍物上而跌跤:
 绊倒；被…绊倒；旅行"
infuriate,"vt. 激怒；使大怒
adj. 狂怒的"
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
consonant,"n. 辅音；辅音字母
adj. 辅音的；一致的；和谐的"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
taco,n. 墨西哥煎玉米卷；墨西哥人
sodden,"adj. 浸透的；浑身湿透的；浸过酒的
vt. 使浸透；使迷糊"
condemned,adj. 已被定罪的；被责难的
plank,"n.  厚木板；支架；政纲条款
vt. 在…上铺板；撂下；立刻付款"
squat,"vt. 使蹲坐，使蹲下
vi. 蹲，蹲下；蹲坐；蹲伏
n. 蹲坐，蜷伏
adj. 蹲着的；矮胖的"
drape,"n. 窗帘；褶裥
vt. 用布帘覆盖；使呈褶裥状
vi. 成褶皱状垂下"
puny,adj. 弱小的；微不足道的；微小的
wisp,"n. 小捆；小束
vt. 把…卷成一捆
vi. 卷成一捆"
warder,n. 看守；守卫；典狱官
gallows,n. 绞刑；绞刑架；承梁
stand by,"na. 袖手旁观；站在旁边；待机；等待
 支持；待命；站在一边"
bayonet,"n. 刺刀；卡销
vt. 用刺刀刺
vi. 用刺刀；劈刺"
handcuff,"n. 手铐；思想上的桎梏
vt. 给…戴上手铐；限制"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
caress,"n. 爱抚，拥抱；接吻
vt. 爱抚，抚抱"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
unresisting,"a. 不抵抗的, 不反抗的"
limply,adv. 柔软地；四肢无力地，软绵绵地
bugle,"n. 喇叭；军号；筋骨草属植物
vt. 吹号集合
vi. 吹号；吹喇叭"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
barracks,"n. 兵营，营房；简陋的房子；警察所（barrack的复数）
v. 使驻扎军营里；住在工房、棚屋里；（澳）大声鼓噪（barrack的三单形式）"
superintendent,n. 监督人；负责人；主管；指挥者
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
prod,"n. 刺针；刺棒；签子
vi. 刺；捅
vt. 刺，戳；刺激"
gravel,"n. 碎石；砂砾
vt. 用碎石铺；使船搁浅在沙滩上；使困惑"
irritably,adv. 性急地；暴躁地；过敏地
set out,"n. 开始；出发；动身；准备
 陈列；着手；陈述"
magistrate,n. 地方法官；文职官员；治安推事
scalp,"n. 头皮；战利品
vt. 剥头皮
vi. 剥头皮"
up and down,"na. 忽上忽下；各处；来来去去；升降浮沉
 上上下下；来回；来来往往"
cut ... short,"na. 打断(讲话)；使停止；缩减；从简
 中断；突然停止；缩短"
in full tide,
bowels,"n. 内脏（尤指人的肠）；同情心；勇气（bowel的复数）
v. 取出…的肠子（bowel的第三人称单数）"
toil away,吃力地走开；长期劳累
solemn,adj. 庄严的，严肃的；隆重的，郑重的
foolery,n. 愚蠢的行为；愚蠢；蠢事
foresee,vt. 预见；预知
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
servile,adj. 奴隶的；奴性的；卑屈的；卑屈的
noose,"n. 套索；束缚；绞刑
vt. 用套索捉；使落入圈套"
reiterate,vt. 重申；反复地做
on and on,"na. 不停地
 继续；不断地；继续不停地"
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
waver,"n. 动摇；踌躇；挥动者
vi. 摇曳；踌躇；摆动"
throw up,"na. 呕吐；抛上；急造；丢弃
 吐出；抛起；举起"
clank,"n. 叮当声；当啷声
vt. 使铿然作响
vi. 发叮当声；发铿锵声"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
reach out,"na. 伸(手)；伸手(拿…)；(手)伸向前；(草木向…)生长
 伸出；伸出手；伸出双手"
oscillate,"vt. 使振荡；使振动；使动摇
vi. 振荡；摆动；犹豫"
back out,"na. 打退堂鼓；食言；退出；后退
 取消；收回；扭出"
ladle,"vt. 不分对象予以赠送；以杓舀取
n. 钢水包；杓子；长柄杓"
homely,adj. 家庭的；平凡的；不好看的
jolly,"adj. 愉快的；欢乐的；宜人的
adv. 很；非常
vt. （口）用好话劝某人做…；（口）用好话使高兴
vi. （口）开玩笑"
snigger,"n. 窃笑；偷偷的笑
vi. 吃吃窃笑；暗笑"
chatter,"n. 唠叨；饶舌；（动物的）啁啾声；潺潺流水声
vt. 喋喋不休地说；使卡嗒卡嗒作声
vi. 唠叨；喋喋不休；（动物等）吱吱叫"
Eurasian,"n. 欧亚混血儿
adj. 欧亚的；欧亚人的"
classy,adj. 优等的；上等的；漂亮的
garrulously,adv. 啰嗦地；饶舌地
pass off,"na. 拿(假货)卖给 (on somebody)；混过去；结束；顺利完成
 停止；终止；消失"
wriggle,"vt. 使蠕动；蠕动到；不知不觉地潜入
vi. 蠕动；蜿蜒而行
n. 蠕动；扭动"
refractory,"n. 倔强的人；耐火物质
adj. 难治的；难熔的；不听话的"
dislodge,"vt. 逐出，驱逐；使……移动；用力移动
vi. 驱逐，逐出；离开原位"
genially,adv. 和蔼地；快活地；亲切地
do with sth.,
could do with sth.,
chuckle,"n. 轻笑，窃笑
vi. 咯咯的笑，轻声地笑
vt. 轻声笑着表示"
amicably,adv. 友善地
elm,"n.  榆树；榆木
adj. 榆树的；榆木的"
radioactivity,n. 放射性； 放射能力； 放射现象
single-minded,adj. 专心的；纯真的；真诚的；率直的
made-up,adj. 捏造的；制成的；化妆过的
exotic,adj. 异国的；外来的；异国情调的
encircle,vt. 包围；围绕；环绕
idolize,"vt. 极端崇拜；把...当偶像崇拜
vi. 崇拜偶像"
shred,"n. 碎片；少量剩余；最少量；破布
vi. 撕碎
vt. 切成条状；用碎纸机撕毁"
revolutionize,"vt. 发动革命；彻底改革；宣传革命
vi. 革命化；从事革命"
atomic,adj. 原子的，原子能的；微粒子的
pitiful,adj. 可怜的，令人同情的
tuberculosis,n. 肺结核；结核病
governess,n. 女家庭教师
wind up,结束；使紧张；卷起；（非正式）忽悠某人（wind sb up）；上紧(钟、表等的)发条
