proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
Guess what!,
bump into,"v. 偶然碰到；邂逅；遇见；(意外)撞到
 撞上；碰见；撞见"
marketing,"n. 行销，销售
v. 出售；在市场上进行交易；使…上市（market的ing形式）"
certainly,adv. 当然；行（用于回答）；必定
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
 单独；靠自己；靠自己的力量"
teach,"vt. 教；教授；教导
vi. 教授；讲授；当老师"
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
housework,n. 家务事
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
wash up,"na. 饭后洗碗；洗脸；将…冲上岸；(出人意料地)出现
 洗餐具；洗手洗脸；洗涤餐具"
surprised,"v. 使惊奇（surprise的过去分词形式）
adj. 感到惊讶的，出人意料的"
department,n. 部；部门；系；科；局
email,"n. 电子信函
vt. 给…发电子邮件"
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
front row,"un. 前排；第一排
 最前面的一横列；头排；前列"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
stretch out,"na. 伸手；开始大踏步走；同“stretch”
 伸展；伸出；充分伸展"
flight attendant,"n. 空中乘务员；机上乘务员
 空中服务员；空服员；飞机乘务员"
Would you like ...?,
Excuse me,
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
Business Class,
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
farmer,n. 农夫，农民
market,"n. 市场；行情；股票市场；市面；集市；销路；商店
vt. 在市场上出售
vi. 做买卖"
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
home country,"n. 故土
 母国；祖国；本国"
text,"n.  文本；课文；主题
vt. 发短信"
on time,"na. 按时；及时
 准时；正点；准时地"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
kettle,n. 壶； 釜；罐；鼓
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏"
have a good time,"na. 过得愉快；很愉快
 玩得高兴；玩得开心；玩得愉快"
attic,n. 阁楼；顶楼；鼓室上的隐窝
since,"conj. 因为；由于；既然；自…以来；自…以后
prep. 自…以来；自…以后
adv. 后来"
hard disk,"n. 硬盘；硬磁盘
 硬碟；硬碟机；硬盘启动"
lawnmower,n.  剪草机
Megabyte,
nothing,"neg. 没什么；毫不
n. 无；零；不关紧要之事
adv. 毫不；决不
pron. 无事；无物
int. 什么也没有"
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
circus,n. 马戏；马戏团
several,"adj. 几个的；各自的
pron. 几个；数个"
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
for ages,"na. 久远
 很久；很长时间；好久"
funfair,n. 游乐场；游艺集市
worldwide,"adj. 全世界的
adv. 在世界各地"
huge,adj. 巨大的；庞大的；无限的
variation,n. 变化； 变异，变种
bedtime,"n. 就寝时间
adj. 适于睡前的"
one way or another,"na. 以某种方式；想方设法；无论如何；(好歹)设法
 不管怎样；表示某种方法或途径；以某种形式"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
questionnaire,n. 问卷；调查表
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
during,prep. 在…的时候，在…的期间
past,"n. 过去；往事
prep. 越过；晚于
adj. 过去的；结束的
adv. 过；经过"
up to,"na. 干(着)；到；胜任；…的责任
 直到；多达；取决于"
annoyed,"v. 使烦恼；打扰（annoy的过去分词）
adj. 恼怒的；烦闷的"
choose,"vt. 选择，决定
vi. 选择，挑选"
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
composition,n. 作文，作曲，作品； 构成；合成物；成分
supper,n. 晚餐，晚饭；夜宵
diary,n. 日志，日记；日记簿
bird-brained,adj. 笨的，愚蠢的
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
eNews,
peacock,"n. 孔雀；雄孔雀；爱虚荣的人
vi. 炫耀；神气活现地走"
hopelessly,adv. 绝望地；无望地；无可救药地
fall in love,"v. 坠入情网
 坠入爱河；相爱；爱上"
petrol pump,"n. 汽油泵
 加油泵；加油机；抽油泵总成"
main road,"un. 干道；主道
 主干道；主路；大路"
tail feather,"un. 尾羽
 尾部的羽毛"
show off,"na. 卖弄；自以为是；趾高气扬；炫耀
 出风头；摆谱儿；使显眼"
