private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
angrily,adv. 愤怒地
attention,n. 注意力；关心；立正！（口令）
in the end,"na. 终于
 最后；最终；结果到头来"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
rudely,adv. 无礼地；粗暴地
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
donkey,n. 驴子；傻瓜；顽固的人
salty,adj. 咸的；含盐的
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
greedily,adv. 贪婪地；贪食地
beautifully,adv. 漂亮地；美好地
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
ring,"n. 戒指；铃声，钟声；拳击场；环形物
vi. 按铃；敲钟；回响；成环形
vt. 按铃；包围；敲钟；套住"
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
amusing,"adj. 有趣的，好玩的；引人发笑的
v. 逗乐；打发；使…高兴（amuse的ing形式）"
rarely,adv. 很少地；难得；罕有地
frequently,adv. 频繁地，经常地；时常，屡次
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
landlady,n. 女房东；女地主；女店主
hardly,adv. 几乎不，简直不；刚刚
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
at that moment, 在那时；就在那一刻；在那一瞬间
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
go out,"na. 出去；灭；辞职；下台
 熄灭；外出；过时"
run across sth.,
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
afraid,adj. 害怕的；恐怕；担心的
get out of sth.,
shopkeeper,n. 店主，老板
hand sb. sth.,
hand sth. to sb.,
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
curtain material, 窗帘材料；酒店管理公司求购窗帘材料；窗帘材质
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
owe sb. sth.,
owe sth. to sb.,
mustard,n. 芥末；芥菜；深黄色；强烈的兴趣
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
make sth. up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
make up one's mind,"na. 决心 (to do)
 下决心；下定决心；决定"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
a great number of,"det. 极多；许多
 大量的；许多的；可数名词复数"
pen-friend,"n. 通信朋友, 笔友"
information,n. 信息，资料；知识；情报；通知
tidy,"n. 椅子的背罩
adj. 整齐的；相当大的
vi. 整理；收拾
vt. 整理；收拾；弄整齐"
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
lately,adv. 近来，不久前
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
 到目前为止；迄今为止；至今"
in prison,"na. 在狱中
 坐牢；在坐牢；在监狱里"
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
The Globe,
society,n. 社会；交往；社团；社交界
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
factory,n. 工厂；制造厂；代理店
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
similar,"n. 类似物
adj. 相似的"
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
shortly,adv. 立刻；简短地；唐突地
pigeon,n. 鸽子
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
up to,"na. 干(着)；到；胜任；…的责任
 直到；多达；取决于"
a great many,"na. 很多的
 许多；大量；许许多多"
request,"n. 请求；需要
vt. 要求，请求"
spare part,"n. 备件；配件；零件
 零部件；零配件；备用零件"
landline,n. 陆上运输；地上通讯线；输送路线
opera,n. 歌剧；歌剧院；歌剧团
Kun Opera,
up till, 直到；到…为止
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
beg,"vi. 乞讨；请求
vt. 乞讨；恳求；回避正题"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
beggar,"n. 乞丐；穷人；家伙
vt. 使贫穷；使沦为乞丐"
ask sb. for sth.,
