aha,int. 啊哈（表示喜悦、轻蔑、惊讶等）
anatomy,n. 解剖；解剖学；剖析；骨骼
bureaucrat,n. 官僚；官僚主义者
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
cartoonist,n. 漫画家
clarification,n. 澄清，说明；净化
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
comedian,n. 喜剧演员；滑稽人物
cross-talk, 相互沟通联系，对话
double entendre,"n. （通常带有猥亵含意的）双关语
 一语双关；不当的双关意味；一箭双鵰"
entertaining,"v. 款待（entertain的ing形式）
adj. 令人愉快的"
familiarity,n. 熟悉，精通；亲密；随便
gathering,"n. 聚集；集会；收款
v. 聚集（gather的ing形式）"
grandma,n. 奶奶；外婆
humorist,n. 幽默作家；富于幽默感的人
humorless,adj. 非常严肃的；缺少幽默感的
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
idiot,n. 笨蛋，傻瓜；白痴
irritated,"v. 激怒；使…无效；使…兴奋（irritate的过去分词）
adj. 恼怒的，生气的"
laughable,adj. 有趣的，可笑的
laughter,n. 笑；笑声
misuse,"vt. 滥用；误用；虐待
n. 滥用；误用；虐待"
mutual,adj. 共同的；相互的，彼此的
prance,"n. 昂首阔步；（马）后足立地腾跃
vt. 使腾跃
vi. 腾跃；昂首阔步；欢跃"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
pun,"n. 双关语；俏皮话
vt. 捣实敲打
vi. 说双关语；说俏皮话"
riddle,"n. 谜语；粗筛；谜一般的人、东西、事情等
vt. 解谜；给...出谜；充满于
vi. 出谜"
riddler, 振动筛，摆动筛，筛工
selectively,adv. 有选择地
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
setup,n. 设置；机构；组织；调整；计划；装备
slap-stick,n. 趣剧；低俗的闹剧
sparkling,"adj. 闪闪发光的，闪烁的；起泡沫的
v. 闪耀；发出火花；起泡沫（sparkle的ing形式）"
string,n. 线，弦，细绳；一串，一行
suggestive,adj. 暗示的；提示的；影射的
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
beyond the reach of somebody,
fall in love with somebody, 爱上某人；开始爱上某人；和某人恋爱
flash a smile,
make an attempt to do something,
aristocracy,n. 贵族；贵族统治；上层社会；贵族政治
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
clockwork,n. 发条装置；钟表装置
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
construct,"n. 构想，概念
vt. 建造，构造；创立"
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
cosy,"n. 保温罩
adj. 舒适的；惬意的"
dated,"v. 注有日期（date的过去式和过去分词）
adj. 陈旧的；过时的；有日期的"
detection,n. 侦查，探测；发觉，发现；察觉
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
fiction,n. 小说；虚构，编造；谎言
fictional,adj. 虚构的；小说的
gardener,n. 园丁；花匠；园艺家
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
miscarriage,n.  流产；失败；误送
morally,adv. 道德上；有道德地；确实地
obsession,n. 痴迷；困扰； 强迫观念
penalty,n. 罚款，罚金；处罚
predictable,adj. 可预言的
shortage,n. 缺乏，缺少；不足
unsettle,"vt. 使动摇；使不安定；使心神不宁
vi. 不安；动荡不定"
whereabouts,"n. 下落；行踪；去向；所在之处
adv. 在何处；靠近什么地方"
whodunit,n. 侦探小说
whodunnit,侦探小说，犯罪小说
whydunit, 犯罪动机；为何犯罪；为何而做
whydunnit, 犯案动机
wrongly,adv. 错误地；不恰当地；不公正地
end with,"na. 以…完结
 以……结束；以……结尾；以……为结束"
like clockwork,"na. 有规律地；精确地；准确无误地
 象钟表一样准确；顺利地；分秒不差地"
loose end,"n. 未交代清楚的情节
 未扎紧的末端；松经；掏槽的采煤工祖"
loose ends,"un. 绳索不系物的一端
 零碎资料；尚待处理的枝节问题；松散的结尾"
miscarriage of justice,"n. 误判；错判；审判不公；司法不公
 冤狱；审判不当；误判案"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
without doubt,"na. 无疑
 毫无疑问；毫无疑问地；无疑地"
under arrest,"adv. 逮捕起来；禁闭
 被捕；被逮捕；被捕的"
announcement,n. 公告；宣告；发表；通告
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
arc,"n. 弧（度）；弧光（全称electric arc）；弧形物；天穹
adj. 圆弧的；反三角函数的
vt. 形成电弧；走弧线"
auditorium,n. 礼堂，会堂；观众席
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
bowling,"n. 滚木球戏；保龄球戏
v. 打保龄球（bowl的现在分词）"
cascade,"n. 小瀑布，瀑布状物；串联
vi. 像瀑布般大量倾泻下来
vi. 像瀑布般悬挂着"
crazily,adv. 发狂地；狂热地
elation,n. 兴高采烈，得意洋洋
entertainer,n. 演艺人员，表演者
hasten,"vt. 加速；使赶紧；催促
vi. 赶快；急忙"
hooked,"adj. 钩状的；吸毒成瘾的；入迷的
v. 用钩固定；捉住（hook的过去分词）"
juggle,"vi. 玩杂耍；欺骗；歪曲
vt. 歪曲；欺骗
n. 玩戏法；欺骗"
mom,n. 妈妈
shorts,n. 短裤
torch,"n. 火把，火炬；手电筒；启发之物
vt. 用火炬点燃
vi. 像火炬一样燃烧"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
unicycle,n. 单轮车；独轮脚踏车
vengeance,n. 复仇；报复；报仇
wow,"n. 极大的成功；一鸣惊人之举；魔兽世界(World of Warcraft)；失真
int. （表示极大的惊奇或钦佩）哇，呀"
back out,"na. 打退堂鼓；食言；退出；后退
 取消；收回；扭出"
catch on,"na. 流行；受欢迎；理解；懂得
 明白；流行起来；变得流行"
fill in,"na. 填充；填写；同“fill”
 填满；填入；过门"
get through,"na. 花光；了结；(使)通过(议案)；及格
 到达；度过；接通"
start over, 重新开始；重新来过；从头开始
try something out, 考验; 试验; 试用
with a vengeance,"na. 猛烈地；彻底地；过度地
 厉害地；纽约大劫案；虎胆龙威第三集"
aloof,"adj. 冷淡的；远离的；冷漠的
adv. 远离；避开地"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
column,n. 纵队，列；专栏；圆柱，柱形物
complimentary,adj. 赠送的；称赞的；问候的
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
deserve,"vi. 应受，应得
vt. 应受，应得"
drawback,n. 缺点，不利条件；退税
enterprise,n. 企业；事业；进取心；事业心
freshness,n. 新；新鲜；精神饱满
insincere,adj. 不诚实的；虚假的
inspiring,"v. 鼓舞；激发；使感悟（inspire的ing形式）
adj. 鼓舞人心的；灌输的；启发灵感的"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
investment,n. 投资；投入；封锁
long-distance,"adj.  长途的；长距离的
vt. 打长途电话给
adv. 通过长途电话"
mayor,n. 市长
memo,n. 备忘录
mentor,"n. 指导者，良师益友
vt. 指导"
milestone,n. 里程碑，划时代的事件
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
overdue,adj. 过期的；迟到的；未兑的
pad,"n. 衬垫；护具；便笺簿；填补
vi. 步行；放轻脚步走
vt. 填补；走"
poetic,"n. 诗学，诗论
adj. 诗的，诗歌的；诗意的；诗人的"
practitioner,n. 开业者，从业者，执业医生
precise,adj. 精确的；明确的；严格的
rag-eared,
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
reread,"n. 重读
vt. 重读；再读
vi. 重读，再读"
savor,"n. 滋味；气味；食欲
vt. 尽情享受；使有风味；加调味品于；品尝，欣赏
vi. 有…的滋味；带有…的性质"
scribble,"n. 潦草写成的东西；潦草的写法；杂文
vt. 乱写；滥写；潦草地书写
vi. 乱写；乱涂"
sentimental,adj. 伤感的；多愁善感的；感情用事的；寓有情感的
sincere,adj. 真诚的；诚挚的；真实的
spirit-lifting,adj. 激励的
spontaneous,adj. 自发的；自然的；无意识的
stationery,n. 文具；信纸
thrive,vi. 繁荣，兴旺；茁壮成长
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
typewriter,n. 打字机
unresponsive,adj. 反应迟钝的；无反应的
upbeat,"n. 兴旺；上升；弱拍
adj. 乐观的；上升的"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
virtually,adv. 事实上，几乎；实质上
well-wishing,n. 祝福，祝贺
a pat on the back,"na. 鼓励
 赞扬；赞扬或鼓励的表示；鼓励或赞美的话"
attach importance to,"na. 重视；把重点放在
 十分重视；认为重要；着重于"
be on to something, 认识到重要意义；会产生重要结果；知道意图
follow up,"v. 把…探究到底；回答
 跟进；追踪；跟踪"
lift up,"na. 同“lift”；提起来
 举起；抬起；提升"
make a habit of,"un. 一向；总得；动不动就；有…的习惯
 养成…的习惯；养成习惯；习惯于"
make somebody's day,使某人的日子过得快活
pass along,"v. 传
 传递；向前行；转嫁到"
shy away from, （由于羞怯等）躲开
turn ... round,
turn ... around,"na. 转身；使向好的方向转变
 回转；转过身；转过来"
walk of life,"na. 职业；身分；阶级
 行业；阶层；社会阶层"
album,n. 相簿；唱片集；集邮簿；签名纪念册
billfold,n. 皮夹子
blurt,vt. 未加思索地冲口说出；突然说出
coffin,"n. 棺材
断送"
delightful,adj. 可爱的，可喜的；讨人喜欢的；令人愉快的
edgy,adj. 急躁的；尖利的；刀口锐利的
farmhouse,n. 农家， 农舍
incessantly,adv. 不停地，不间断地
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
mischievousness,n. 恶作剧
novice,n. 初学者，新手
permission,n. 允许，许可
