triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
foundation,n. 基础；地基；基金会；根据；创立
resource,n. 资源，财力；办法；智谋
faculty,n. 科，系；能力；全体教员
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
facility,n. 设施；设备；容易；灵巧
community,n. 社区； 群落；共同体；团体
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
passion,n. 激情；热情；酷爱；盛怒
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
enthusiasm,n. 热心，热忱，热情
reap,"vt. 收获，获得；收割
vi. 收割，收获"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
opportunity,n. 时机，机会
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
available,adj. 可获得的；可购得的；可找到的；有空的
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
emerge,vi. 浮现；摆脱；暴露
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
draftsman,n.  绘图员；起草者；立案者
architect,"n. 建筑师
缔造者"
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
owl,n. 猫头鹰；枭；惯于晚上活动的人
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
virtually,adv. 事实上，几乎；实质上
enrich,vt. 使充实；使肥沃；使富足
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
abundant,adj. 丰富的；充裕的；盛产
responsibility,n. 责任，职责；义务
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
inheritor,n. 继承人；后继者
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
acquire,vt. 获得；取得；学到；捕获
prosperous,adj. 繁荣的；兴旺的
remind sb. of sb.,
remind sb. of sth.,
get by,"na. 走过；勉强混过去
 通过；过得去；勉强生存"
get on,"na. 上马；安上；过日子；相投 (with together)
 上车；进展；相处"
get with, 开始做；着手做
make the most of sth.,
reap the benefits, 获利；获得好处；者获得最大收益
in advance,"na. 预先；在先头
 事先；提前；事前"
stand a chance,"na. (很)有成功可能
 有希望；有机会；拥有机会"
stand a chance of doing sth.,
over time,"conj. 随着时间的过去
 三十拉警报；随着时间的推移；久而久之"
all at once,"na. 忽然；突然
 同时；一下子；突然地"
take pleasure in sth.,
take pleasure in doing sth.,
take delight in sth.,
take delight in doing sth.,
open the door to sth.,
Leonardo da Vinci,"(达)芬奇(1452-1519, 意大利文艺复兴时期伟大画家, 雕刻家, 建筑学家)"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
incredible,adj. 难以置信的，惊人的
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
undeniably,adv. 不可否认地；确凿无疑地
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
inquisitive,adj. 好奇的；好问的，爱打听的
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
capacity,n. 能力；容量；资格，地位；生产力
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
assured,"n. 被保险人
v. 保证；确实（assure的过去分词）
adj. 确定的；自信的"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
decent,adj. 正派的；得体的；相当好的
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
decade,n. 十年，十年期；十
genuine,adj. 真实的，真正的；诚恳的
instinct,"n. 本能，直觉；天性
adj. 充满着的"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
proactive,adj. 前摄的（前一活动中的因素对后一活动造成影响的）；有前瞻性的，先行一步的；积极主动的
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
comprehend,vt. 理解；包含；由…组成
cultivate,vt. 培养；陶冶；耕作
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
innocence,n. 清白，无罪；天真无邪
curiosity,n. 好奇，好奇心；珍品，古董，古玩
flexibility,n. 灵活性；弹性；适应性
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
enthusiastically,adv. 热心地；满腔热情地
talent,n. 才能；天才；天资
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
enormously,adv. 巨大地，庞大地；非常地，在极大程度上
be about to do sth.,
go off,"na. 进行得 (well； badly)；(话等)冒出
 爆炸；离开；离去"
open up,"na. (打)开；割开；开发(资源)；揭示
 打开；开辟；开放"
turn into sth.,
turn sb. into sth.,
turn sth. into sth.,
above all things,"na. 第一是
 尤其是；最最；万事之上"
take sb. seriously,"na. 重视；认真(想)；当真
 认真对待；认真看待；高度重视"
take sth. seriously,"na. 重视；认真(想)；当真
 认真对待；认真看待；高度重视"
sign up,"na. 同“sign”
 注册；报名；签约"
get to sb.,
give sb. the benefit of the doubt,"na. 对(某人的过错等)作善意解释
 善意推断"
reduce sb. to sth.,
as long as,"conj. 只要
 长达；如果；既然"
give back,"na. 归还；返回；往后站；凹陷
 恢复；送还；后退"
feel like sth.,
feel like doing sth.,
safe and sound,"na. 平安无恙
 安然无恙；平安无事；安全"
take sb. away,"adj. 买回去的
 拿走；带走；外带"
take sth. away,"adj. 买回去的
 拿走；带走；外带"
be born to be sth.,
be born to do sth.,
make it,"na. 赶到；办成功；规定时间；性交
 做到；达到目的，获得成功"
sb. can't wait,
Steve Jobs,
clutter,"n. 杂乱，混乱
vt. 使凌乱；胡乱地填满"
await,vt. 等候，等待；期待
efficiency,n. 效率；效能；功效
embarrassment,n. 窘迫，难堪；使人为难的人或事物；拮据
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
toothpaste,n. 牙膏
polish,
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
mismatched,"adj. 配错的
v. 配错（mismatch的过去分词）"
pants,n. 裤子
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
fiction,n. 小说；虚构，编造；谎言
historical,adj. 历史的；史学的；基于史实的
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
sack,"n. 麻布袋；洗劫
vt. 解雇；把……装入袋；劫掠"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
curler,n. 卷发的人；卷发夹子
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
donation,n. 捐款，捐赠物；捐赠
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
ridiculous,adj. 可笑的；荒谬的
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
emotional,adj. 情绪的；易激动的；感动人的
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
free of,"na. 无…的；离开；可自由进入并使用的
 摆脱了…的；没有；摆脱…的"
free from,"na. 无…的
 不受…影响的；免于；没有"
catch oneself doing sth.,
throw sth. away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
 扔掉；丢弃；丢掉"
deal with sth.,
at a time,"na. 一次(多少)；同时；曾经；连续
 每次；一下子；每一次"
after all,"na. 毕竟；终究；最后
 究竟；到底；终于"
reverse oneself,"完全改变主张,改弦易辙,逆转"
straighten up,"na. 改善；正派地过日子
 好转；清理；整理"
keep sth. back,"na. 隐瞒；阻止；阻止向前；忍住
 留下；留在后面；保留"
with open arms,"na. 张着手臂；伸开双手
 热烈欢迎；热情地；张开双臂"
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
chilly,adj. 寒冷的；怕冷的
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
melting,"adj. 融化的；溶解的；动人的；感伤的
v. 融化（melt的ing形式）"
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
immense,adj. 巨大的，广大的；无边无际的；非常好的
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
hut,"n. 小屋；临时营房
vt. 使住在小屋中；驻扎
vi. 住在小屋中；驻扎"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
shellfish,n. 甲壳类动物；贝类等有壳的水生动物
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
eel,n. 鳗鱼；鳝鱼
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
migration,n. 迁移；移民；移动
Dalmatian,
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
unwrap,vt. 打开
suspicious,adj. 可疑的；怀疑的；多疑的
suspiciously,adv. 怀疑地；猜疑地
pinch,"n. 匮乏；少量；夹痛
vt. 捏；勒索；使苦恼；掐掉某物，修剪
vi. 夹痛；节省"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
cracker,n. 爆竹；饼干；胡桃钳；解密高手
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
anticipate,vt. 预期，期望；占先，抢先；提前使用
reluctance,n.  磁阻；勉强；不情愿
stoop,"n. 弯腰，屈背；屈服
vt. 辱没，堕落；俯曲
vi. 弯腰；屈服；堕落"
restraint,n. 抑制，克制；约束
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
pureed,v. （将菜、水果等）煮成浓汤，面包的一种( puree的过去式和过去分词 )
tuna,n. 金枪鱼，鲔鱼
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
champagne,n. 香槟酒；香槟酒色
slow down,"na. 闲下来；减缓；放慢速度；减速
 慢下来；慢点；慢驶"
make sense,"na. (话等)有意义；合理；有道理；讲得通
 言之有理；使…有意义；好理解"
at least,"na. 至少
 最低限度；起码；最少"
lay sth. out,"n. 布局；设计；规划；安排
 布置；摆开；花费"
hang sth. up,"v. 挂断电话；挂机；悬挂；耽搁
 挂起；把…挂起来；挂电话"
once in a while,偶尔；有时（等于every once in a while）
not care for sth.,
not care for sb.,
Virginia,"n. 弗吉尼亚（女子名）；弗吉尼亚州
adj. 弗吉尼亚州的"
Chicago,n. 芝加哥（美国城市名）
the Sargasso,
the Mediterranean,
Mount Fuji,"n. 富士山
 日本富士山；富士山下；日本的富士山"
the Potomac,
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
deserve,"vi. 应受，应得
vt. 应受，应得"
plump,"n. 扑通声
adj. 圆胖的，丰满的；鼓起的
vt. 使丰满；使鼓起；突然放下
adv. 沉重地；突然地
vi. 变丰满；鼓起"
vigor,n.  活力，精力
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
crossbreed,"n. 杂种
vt. 使杂交繁育
vi. 杂交繁育"
domesticated,"adj. 家养的；驯服的；喜欢家庭生活的
v. 驯养（domesticate的过去分词）；使习惯于家庭生活"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
self-pollinator,n. 自花传粉种
offspring,n. 后代，子孙；产物
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
asteroid,"n.  小行星； 海盘车；小游星
adj. 星状的"
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
adulation,n. 奉承；谄媚
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
eradicate,vt. 根除，根绝；消灭
poverty,n. 贫困；困难；缺少；低劣
priority,n. 优先；优先权； 优先次序；优先考虑的事
graft,"n. 移植；嫁接；渎职
vt. 移植；嫁接；贪污
vi. 移植；嫁接；贪污
n. （非正式）脚踏实地地埋头苦干"
moonflower,n. 月光花
pumpkin,n. 南瓜
trait,n. 特性，特点；品质；少许
genetic,adj. 遗传的；基因的；起源的
genetics,n. 遗传学
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
miracle,n. 奇迹，奇迹般的人或物；惊人的事例
sterile,adj. 不育的；无菌的；贫瘠的；不毛的；枯燥乏味的
hybridize,"vt. 使杂交；混合生成
vi. 杂交；混合"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
tolerant,adj. 宽容的；容忍的；有耐药力的
nutritious,adj. 有营养的，滋养的
hectare,n. 公顷（等于1万平方米）
chrysanthemum,n. 菊花
mourn,v. 哀悼；忧伤；服丧
mourner,n. 哀悼者；悲伤者；送葬者；忏悔者
commemorate,vt. 庆祝，纪念；成为…的纪念
lie down,"v. 躺下；不反抗；屈服；顺从
 躺下不干；躺下来；躺倒"
speak for itself,"na. 不说自明
 不言而喻；显而易见；本身说话"
speak for themselves, 不言而喻；说出自己；代表其自身表意
as well as sth.,
as well as sb.,
name sb. after sb.,
name sb. after sth.,
name sth. after sb.,
name sth. after sth.,
devote oneself to,"na. 专心从事(研究)；一味贪玩
 献身于；致力于；致力于，献身于"
lift sb. out of sth.,
at first,"na. 首先
 起先；最初；起初"
work on sth.,
turn one's attention to sth.,
turn one's attention to sb.,
keep on doing sth.,
talk of,"na. 讲；说要
 谈论；谈到；议论"
Medal of the Republic,
World Food Prize,
World Food Prize Foundation,
Anjiang Agricultural School,
era,n. 时代；年代；纪元
victim,n. 受害人；牺牲品；牺牲者
survivor,n. 幸存者；生还者；残存物
tragedy,n. 悲剧；灾难；惨案
subsequent,adj. 后来的，随后的
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
hail,"n. 冰雹；致敬；招呼；一阵
vt. 致敬；招呼；向...欢呼；猛发；使像下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails）
int. 万岁；欢迎
vi. 招呼；下雹"
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
humanity,n. 人类；人道；仁慈；人文学科
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
instinctive,adj. 本能的；直觉的；天生的
instinctively,adv. 本能地
