education,n. 教育；培养；教育学
business,n. 商业； 生意； 交易；事情
extent,n. 程度；范围；长度
whatever,"conj. 无论什么
adj. 不管什么样的
pron. 无论什么；诸如此类"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
opportunity,n. 时机，机会
debt,n. 债务；借款；罪过
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
truly,adv. 真实地，不假；真诚地
have a great time,"na. 过得很愉快
 玩的愉快；玩得愉快；过得愉快"
have a good time,"na. 过得愉快；很愉快
 玩得高兴；玩得开心；玩得愉快"
have a wonderful time, 过得愉快；玩得高兴；玩个痛快
on the way,"na. 在路上；在旅行中；“on/along the way”的变体
 在途中；在去……路上；行车途中"
to a large extent,"na. “to a great extent”的变体
 在很大程度上；从很大的程度上；大范围来讲"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
 单独；靠自己；靠自己的力量"
decide on,"na. 决心
 决定；选定；决定某事"
decide upon,"na. 决定(采取某种行动)
 决定一个计划；选定；决心"
even though,"na. “even if”的变体
 即使；尽管；虽然"
even if,"na. 即使…也
 纵然；就算；甚至"
change one's mind,"na. 改变想法
 改变主意；变卦；改变心意"
step by step,"na. 一步一步；切切实实
 逐步地；循序渐进；一步一步地"
keep up,"na. 支持；保持；继续；停歇
 维持；坚持；持续"
from day one, 从一开始；从第一天开始
make the most of something, 充分利用一些东西
at hand,"na. 在手边；即将到来
 在附近；眼前；近在手边"
let someone down, 不支持，辜负，拆台
be true of,"un. 遵守诺言；适用；是这种情况
 适用于；对…适用；符合于"
make up one's mind,"na. 决心 (to do)
 下决心；下定决心；决定"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
responsibility,n. 责任，职责；义务
decision,n. 决定，决心；决议
responsible,adj. 负责的，可靠的；有责任的
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
saving,"n. 节约；挽救；存款
prep. 考虑到；除...之外
adj. 节约的；挽救的；补偿的；保留的"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
university,n. 大学；综合性大学；大学校舍
confuse,vt. 使混乱；使困惑
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
comfortable,"n. 盖被
adj. 舒适的，舒服的"
dorm,n. 宿舍（等于dormitory）
homesick,adj. 想家的；思乡病的
adjust to,"v. 适应
 调整；调节；调整以适应"
first of all,"na. 第一
 首先；首要；是首先的意思"
be supposed to do something, 本应该做某事；被期望或被要求做某事；动词片语
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
Marymount University,"音节分段：Marymount University; 2807 North Glebe Road, Arlington, VA 22207; Private; 1,992"
Virginia,"n. 弗吉尼亚（女子名）；弗吉尼亚州
adj. 弗吉尼亚州的"
New Gerard,
reality,n. 现实；实际；真实
within,"prep. 在…之内
n. 里面
adv. 在内部"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
fluent,adj. 流畅的，流利的；液态的；畅流的
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
award,"n. 奖品；判决
vt. 授予；判定"
embarrass,vt. 使局促不安；使困窘；阻碍
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
everyone,"n. 每个人
pron. 每个人；人人"
success,n. 成功，成就；胜利；大获成功的人或事物
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
