enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
foundation,n. 基础；地基；基金会；根据；创立
melody,n. 旋律；歌曲；美妙的音乐
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
accompaniment,n. 伴奏；伴随物
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
finely,adv. 非常地；细微地；美好地；雅致地
expertise,n. 专门知识；专门技术；专家的意见
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
numerous,adj. 许多的，很多的
conservatoire,n. 艺术学校；公立音乐学校
proceeds,n. 收入，收益；实收款项
foundation,n. 基础；地基；基金会；根据；创立
concerto,n. 协奏曲
debut,"n. 初次登台；开张
vi. 初次登台"
venue,n. 审判地；犯罪地点；发生地点；集合地点
heavyweight,"n. 重量级拳击手；有影响的人物；聪明绝顶的人
adj. 重量级的；特别厚重的"
anniversary,n. 周年纪念日
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
curriculum,"n. 课程
总课程"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
showcase,"n. 陈列橱， 陈列柜；显示优点的东西
vt. 使展现；在玻璃橱窗陈列"
seminar,n. 讨论会，研讨班
stick with, 坚持；继续支持；坚持做
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
mow,"n. 草堆；皱眉；谷堆
vt. 割草；收割庄稼
vi. 割草；收割庄稼"
lawn,n. 草地；草坪
precious,adj. 宝贵的；珍贵的；矫揉造作的
passionate,adj. 热情的；热烈的，激昂的；易怒的
demo,
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
hang out,"na. 同“hang”；把上身伸出(窗外)；挂出门外；拖延
 闲逛；闲荡；出去消遣"
throng,"n. 人群；众多
vt. 群集；挤满
vi. 蜂拥而至；群集
adj. 拥挤的"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
handcraft,"n. 手工艺，手艺
vt. 以手工做"
Hamburg,
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
attend to,"na. 照料(工作)
 照顾；注意；处理"
maintain,vt. 维持；继续；维修；主张；供养
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
harp,"n. 竖琴
vi. 弹奏竖琴；喋喋不休；不停地说"
incredible,adj. 难以置信的，惊人的
construction,n. 建设；建筑物；解释；造句
maple,n. 枫树；淡棕色
beech,"n. 山毛榉
adj. 山毛榉木材的"
massive,adj. 大量的；巨大的，厚重的；魁伟的
laminated,"adj. 层压的；层积的；薄板状的
v. 分成薄片；用薄片覆盖（laminate的过去分词）"
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
huntsman,n. 猎人；管猎犬者
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
carving,"n. 雕刻；雕刻品；雕刻术
v. 雕刻（carve的ing形式）"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
Assyria,n. 亚述
Mesopotamia,n. 美索不达米亚（亚洲西南部）
platform,n. 平台；月台，站台；坛；讲台
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
