identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identification,n. 鉴定，识别；认同；身份证明
identity,n. 身份；同一性，一致；特性；恒等式
construct,"n. 构想，概念
vt. 建造，构造；创立"
construction,n. 建设；建筑物；解释；造句
constructive,adj. 建设性的；推定的；构造上的；有助益的
destruction,n. 破坏，毁灭；摧毁
destructive,adj. 破坏的；毁灭性的；有害的，消极的
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
obstruction,n. 障碍；阻碍；妨碍
instruct,vt. 指导；通知；命令；教授
instruction,n. 指令，命令；指示；教导；用法说明
instructive,adj. 有益的；教育性的
instructor,n. 指导书；教员；指导者
author,"n. 作者；作家；创始人
vt. 创作出版"
authority,n. 权威；权力；当局
authoritarian,"n. 权力主义者；独裁主义者
adj. 独裁主义的；权力主义的"
authorize,vt. 批准，认可；授权给；委托代替
authentic,adj. 真正的，真实的；可信的
temperature,n. 温度；体温；气温；发烧
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
temperament,n. 气质，性情，性格；急躁
temperate,adj. 温和的；适度的；有节制的
tamper,"n. 填塞者；捣棒
vi. 篡改；干预；损害；削弱；玩弄；贿赂
vt. 篡改"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
compressor,n. 压缩机；压缩物；收缩肌； 压迫器
depress,vt. 压抑；使沮丧；使萧条
depressed,"adj. 沮丧的；萧条的；压低的
v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低"
depressing,adj. 压抑的；使人沮丧的
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
suppress,vt. 抑制；镇压；废止
suppression,n. 抑制；镇压； 压抑
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
expressive,adj. 表现的；有表现力的；表达…的
expressly,adv. 清楚地，明显地；特别地，专门地
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
oppression,n. 压抑；镇压；压迫手段；沉闷；苦恼
oppressive,adj. 压迫的；沉重的；压制性的；难以忍受的
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
skull,n. 头盖骨，脑壳
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
compile,vt. 编译；编制；编辑； 汇编
accumulate,"vt. 积攒
vi. 累积；积聚"
cumulative,adj. 累积的
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
tendency,n. 倾向，趋势；癖好
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
tendon,n.  腱
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
contention,n. 争论，争辩；争夺；论点
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
extended,"v. 延长；扩充（extend的过去分词）
adj. 延伸的；扩大的；长期的；广大的"
extensive,adj. 广泛的；大量的；广阔的
extension,n. 延长；延期；扩大；伸展；电话分机
extent,n. 程度；范围；长度
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
intend,"vi. 有打算
vt. 打算；想要；意指"
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
intention,n. 意图；目的；意向；愈合
intentional,adj. 故意的；蓄意的；策划的
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
pretentious,adj. 自命不凡的；炫耀的；做作的
unpretentious,adj. 谦逊的；含蓄的；不炫耀的；不铺张的
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
hypertension,n. 高血压；过度紧张
intense,adj. 强烈的；紧张的；非常的；热情的
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
intensity,n. 强度；强烈； 亮度；紧张
tensile,adj.  拉力的；可伸长的；可拉长的
ostensibly,adv. 表面上；外表
ostentatious,adj. 招摇的；卖弄的；夸耀的；铺张的；惹人注目的
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
speciality,n. 专业，专长；特性
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
specify,vt. 指定；详细说明；列举；把…列入说明书
species,"n.  物种；种类
adj. 物种上的"
specimen,n. 样品，样本；标本
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
arrangement,n. 布置；整理；准备
rearrange,vt. 重新排列；重新整理
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
ranger,n. 突击队员；漫游者；骑警；别动队员
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
high-ranking,adj. 职位高的；阶级高的
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
curtail,vt. 缩减；剪短；剥夺…特权等
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
retailer,n. 零售商；传播的人
alumnus,n. 男校友；男毕业生
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
cram,"n. 死记硬背；极度拥挤
adj. 填鸭式学的
vi. 狼吞虎咽地吃东西；死记硬背功课
vt. 填满，塞满；死记硬背；猛吃"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
exotic,adj. 异国的；外来的；异国情调的
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
entrepreneur,n. 企业家；承包人；主办者
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
crest,"n.  波峰；冠；山顶；顶饰
vi. 到达绝顶；形成浪峰"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
clatter,"n. 哗啦声；嘈杂的谈笑声；咔嗒声
vi. 发出哗啦声；喧闹的谈笑
vt. 使卡搭卡搭的响"
hunch,"n. 预感；大块；肉峰
vt. 耸肩；预感到；弯腰驼背
vi. 隆起；向前移动"
shuffle,"n. 洗牌，洗纸牌；混乱，蒙混；拖着脚走
v. 洗牌；推诿，推卸；拖曳，慢吞吞地走；搅乱"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
velvet,"adj. 天鹅绒的
n. 天鹅绒，丝绒；天鹅绒似的东西"
