approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
procedure,n. 程序，手续；步骤
presence,n. 存在；出席；参加；风度；仪态
emerge,vi. 浮现；摆脱；暴露
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
insurance,n. 保险；保险费；保险契约；赔偿金
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
acquire,vt. 获得；取得；学到；捕获
capacity,n. 能力；容量；资格，地位；生产力
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
perspective,"n. 观点；远景；透视图
adj. 透视的"
assess,vt. 评定；估价；对…征税
commitment,n. 承诺，保证；委托；承担义务；献身
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
conservative,
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
