meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
morning,n. 早晨；黎明；初期
classmate,n. 同班同学
her,pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
sit,"vi. 坐；位于
vt. 使就座"
afternoon,n. 午后，下午
his,pron. 他的
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
fast,"n. 斋戒；绝食
adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
vi. 禁食，斋戒"
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
welcome,"n. 欢迎
vt. 欢迎
adj. 受欢迎的
int. 欢迎"
woof,"n. 纬线；织物；低吠声
vi. 发出低吠声；发低音"
but,"conj. 但是；而是；然而
adv. 仅仅，只
prep. 除…以外"
happy,adj. 幸福的；高兴的；巧妙的
sad,adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）
tired,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的"
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整"
thirsty,adj. 口渴的，口干的；渴望的，热望的
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
bottle,"n. 瓶子；一瓶的容量
vt. 控制；把…装入瓶中
vi. （街头艺人演出后）收拢钱币"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
any,"adj. 任何的；所有的；丝毫
pron. 任何；任何一个；若干
adv. 稍微；少许"
cousin,n. 堂兄弟姊妹；表兄弟姊妹
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
parent,n. 父亲（或母亲）；父母亲；根源
grandparent,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
son,n. 儿子；孩子（对年轻人的称呼）；男性后裔
grandfather,"n. 祖父；始祖
vt. 不受新规定限制"
grandpa,n. 爷爷；外公
grandmother,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母"
grandma,n. 奶奶；外婆
uncle,n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
aunt,n. 阿姨；姑妈；伯母；舅妈
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
T-shirt,n. 短袖圆领汗衫
brown,"n. 褐色，棕色
adj. 棕色的，褐色的；太阳晒黑的
vt. 使变成褐色
vi. 变成褐色"
shorts,n. 短裤
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
