golden,adj. 金色的，黄金般的；珍贵的；金制的
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
Olympics,
agreement,n. 协议；同意，一致
confirmation,n. 确认；证实；证明；批准
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
real,"n. 现实；实数
adj. 实际的；真实的；实在的
adv. 真正地；确实地"
truth,n. 真理；事实；诚实；实质
seem,vi. 似乎；像是；装作
solve,"vt. 解决；解答；溶解
vi. 作解答"
fill,"n. 满足；填满的量；装填物
vt. 装满，使充满；满足；堵塞；任职
vi. 被充满，膨胀"
bowl,"n. 碗；木球；大酒杯
vt. 投球；旋转；平稳快速移动
vi. 玩保龄球；滑动；平稳快速移动"
displace,vt. 取代；置换；转移；把…免职；排水
less,"adv. 较少地；较小地；更小地
adj. 较少的；较小的
prep. 减去
n. 较少；较小"
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
boxing,"n. 拳击；装箱；围模；做箱的材料
v. 将…装入盒中（box的ing形式）"
racing,"n. 赛马；竞赛
adj. 比赛的
vi. 赛马（race的ing形式）；竞赛"
wrestling,"n. 摔跤；扭斗
v. 摔跤；格斗（wrestle的ing形式）；与…摔跤；使劲移动"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
punctuation,n. 标点；标点符号
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
be happy with, 对……感到满意；对…满意；高兴
fill ... with ...,
run over,"v. 轧过；碾过；演练；排练
 辗过；溢出；浏览"
send ... to prison,
make sure,"na. 尽力做到；深信；务必；务请
 确保；查明；确信"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
astronomer,n. 天文学家
genius,n. 天才，天赋；精神
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
humour,"n. 幽默（等于humor）；诙谐
vt. 迁就；使满足"
invitation,n. 邀请；引诱；请帖；邀请函
theory,n. 理论；原理；学说；推测
university,n. 大学；综合性大学；大学校舍
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
avoid,vt. 避免；避开，躲避；消除
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
tonight,"n. 今晚
adv. 在今晚"
audience,n. 观众；听众；读者；接见；正式会见；拜会
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
