appoint,"vt. 任命；指定；约定
vi. 任命；委派"
appointment,n. 任命；约定；任命的职位
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
arrangement,n. 布置；整理；准备
attention,n. 注意力；关心；立正！（口令）
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
attraction,n. 吸引，吸引力；引力；吸引人的事物
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
attractive,adj. 吸引人的；有魅力的；引人注目的
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
alter,"vt. 改变，更改
vi. 改变；修改"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
cultivate,vt. 培养；陶冶；耕作
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
lively,adj. 活泼的；生动的；真实的；生气勃勃的
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
continuous,adj. 连续的，持续的；继续的；连绵不断的
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
continual,adj. 持续不断的；频繁的
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
consistent,adj. 始终如一的，一致的；坚持的
considerate,adj. 体贴的；体谅的；考虑周到的
considering,"conj. 考虑到
prep. 考虑到；就...而论
v. 考虑到（consider的ing形式）"
optimistic,adj. 乐观的；乐观主义的
optional,"adj. 可选择的，随意的
n. 选修科目"
obvious,adj. 明显的；显著的；平淡无奇的
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
