hi,int. 嗨！（表示问候或用以唤起注意）
hello,"n. 表示问候， 惊奇或唤起注意时的用语
int. 喂；哈罗"
I,"n. 碘元素；英语字母I
pron. 我"
Nice to meet you!,
too,adv. 太；也；很；还；非常；过度
Ms,
What's your name?,
my,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷"
be,vt. 是； 有，存在； 做，成为； 发生
am,
is,"v. 是（be的三单形式）
n. 存在"
are,"v. 是（be的第二人称单复数现在式）
n. 公亩"
What's this?,
it,"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian"
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
goodbye,"int. 再见
放弃
告别"
bye,"n. 轮空；次要的东西
int. 再见
adj. 次要的"
a,"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. 安（ampere）"
an,art. 一（在元音音素前）
How are you?, 你身体好吗？
"I'm fine, thanks.",
Let's play a game!,
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
"Good morning, class.",
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
toy,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待"
turtle,n. 龟，甲鱼；海龟
no,"adv. 不
adj. 没有；不是
n. 不；否决票
abbr. 数字（number）；元素锘（nobelium）的符号"
have,"aux. 已经
vt. 有；让；拿；从事；允许"
has,v. 有，吃，得到，从事，允许，雇用，享有（have的第三人称单数）；（亲属关系中）接受；拿；买到
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
panda,n. 熊猫；猫熊
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
and,conj. 和，与；就；而且；但是；然后
leg,n. 腿；支柱
monkey,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄"
yes,"n. 是（表示肯定）
adv. 是, 是的"
Thank you.,
dad,n. 爸爸；爹爹
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
small,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地"
who,pron. 谁；什么人
she,"n. 女人；雌性动物
pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）"
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
teacher,n. 教师；导师
ruler,n. 尺；统治者； 划线板，划线的人
eraser,n. 橡皮；擦除器； 清除器
desk,"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的"
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
pupil,n. 学生； 瞳孔；未成年人
he,"n. 男孩，男人；它（雄性动物）
pron. 他"
Mr,abbr. 先生（Mister）
our,pron. 我们的
go to school,"na. 到校上课；上学去；开始求学
 去上学；去学校；到学校去"
OK,"adj. 好的；不错的
adv. 行；很好
int. 好；可以
vt. 对…表示同意
n. 同意"
where,"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里"
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
table,"n. 桌子；表格；平地层
vt. 制表；搁置；嵌合
adj. 桌子的"
red,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的"
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
colour,"n. 颜色；风格；气色，面色；外貌
vt. 把…涂颜色，粉饰；歪曲；使脸红
vi. 变色"
blue,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于"
Let's see.,
egg,"n. 蛋；卵子；家伙；鸡蛋
vt. 煽动；怂恿"
apple,n. 苹果，苹果树，苹果似的东西；炸弹，手榴弹，（棒球的）球；人，家伙。
Good evening.,
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
How many ...?,
How many ... are there?,
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
yellow,"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄"
mum,"adj. 沉默的
n. 妈妈（口语）；沉默；菊花
vi. 演哑剧
int. 别说话"
There are ...,
Happy birthday!,
How old are you?,
I'm ten years old.,
look at,"na. 看；考虑
 看着；注视；瞧"
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
for,"prep. 为，为了；因为；给；对于；至于；适合于
conj. 因为"
card,"n. 卡片；纸牌；明信片
vt. 记于卡片上"
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
basketball,n. 篮球；篮球运动
they,pron. 他们；它们；她们
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
PE,abbr. 体育课，体能训练（physical education）
physical education,"n. 体育教学
 体育教育；体育课；物理教育"
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
me,"pron. 我（宾格）
n. 自我；极端自私的人；自我的一部分"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
English,"n. 英语；英国人；英文；英格兰人
adj. 英国人的；英国的；英文的
vt. 把…译成英语"
Chinese,"n. 中文，汉语；中国人
adj. 中国的，中国人的；中国话的"
Music,
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
ugly,adj. 丑陋的；邪恶的；令人厌恶的
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
cat,n. 猫，猫科动物
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
dog,"n. 狗；丑女人；卑鄙的人；(俚)朋友
vt. 跟踪；尾随"
