can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
blackboard,n. 黑板
computer,n. 计算机；电脑；电子计算机
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
car,n. 汽车；车厢
but,"conj. 但是；而是；然而
adv. 仅仅，只
prep. 除…以外"
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
notebook,n. 笔记本，笔记簿；手册
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
sorry,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）"
any,"adj. 任何的；所有的；丝毫
pron. 任何；任何一个；若干
adv. 稍微；少许"
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确"
lesson,"n. 教训；课
vt. 教训；上课"
email,"n. 电子信函
vt. 给…发电子邮件"
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
good friends,"na. 好朋友
 我们从何时；不知不觉我们；好朋友们"
we,pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
play football,"na. 踢足球；对难办的事采取踢皮球的态度
 玩足球；玩橄榄球；踢球"
play basketball, 打篮球；玩篮球；篮球锻炼知多少
play ping-pong,
easy,"adj. 容易的；舒适的
vt. 发出停划命令
adv. 不费力地，从容地
vi. 停止划桨"
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起"
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
fast,"n. 斋戒；绝食
adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
vi. 禁食，斋戒"
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
May I have ...?,
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
some,"adj. 一些；某个；大约；相当多的
pron. 一些；若干；其中的一部分；（数量不确切时用）有些人
adv. 非常；相当；<美>稍微"
banana,n. 香蕉；喜剧演员；大鹰钩鼻
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了"
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
I'm home.,
Would you like ...?,
"Yes, please.",
thirsty,adj. 口渴的，口干的；渴望的，热望的
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐"
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
tomato,n. 番茄，西红柿
vegetable,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的"
juice,n. （水果）汁，液；果汁
shop,"n. 商店；店铺
vt. 购物
vi. 购物；买东西"
shirt,n. 衬衫；汗衫，内衣
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
May I help you?,
of course,"na. 当然
 自然；当然可以；当然了"
have a look at,"na. (仔细)看一看
 看一眼；看看；看一下"
sock,"vt. 重击；给……穿袜
n. 短袜；一击
adv. 正着地；不偏不倚地
adj. 非常成功的"
bookshop,n. 书店
clothes,n. 衣服
camera,n. 照相机；摄影机
picnic,"n. 野餐
vi. 去野餐"
a bottle of ...,
o'clock,abbr. …点钟（等于of the clock）
time to go to ...,
Winter Camp,
What time is it?,
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
backpack,"n. 双肩背包，背包；远足用的背包
vt. 挑运；把…放入背包
vi. 背负简便行李旅行；挑运"
Here it is.,这就是那件东西
have fun,"na. 作乐
 玩得开心；玩得高兴；玩的开心"
ticket,vt. 加标签于；指派；对…开出交通违规罚单
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
Excuse me!,
at,"prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于
n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素）
abbr. 密封的（airtight）；气温（air temperature）"
am,
a.m.,abbr. 上午，午前（ante meridiem）
pm,
p.m.,
from,prep. 来自，从；由于；今后
Canada,n. 加拿大（北美洲国家）
India,n. 印度（南亚国家）
UK,"n. 英国
abbr. 联合王国（United Kingdom）"
China,"n. 中国
n. china，瓷器
adj. 中国的；中国制造的
adj. china，瓷制的"
US,
Malaysia,n. 马来西亚；马来群岛
Japan,n. 日本（东亚国家名）
Italy,n. 意大利（欧洲南部国家）
