need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
make a list,"na. 在名册中
 列清单；列表；列个清单"
coat,"n. 外套
vt. 覆盖…的表面"
Why not ...?,
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
umbrella,n. 雨伞；保护伞；庇护；伞形结构
good idea, 好主意；好点子；好想法
What about ...?,
kite,"n. 风筝
vi. 使用空头支票；像风筝一样飞；轻快地移动
vt. 骗钱；涂改（支票）"
cloudy,adj. 多云的；阴天的；愁容满面的
shoe,"n. 鞋；蹄铁；外胎
vt. 给……穿上鞋；穿……鞋"
library,n. 图书馆，藏书室；文库
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
tree,"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树"
flower,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
uncle,n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
sunflower,n. 向日葵
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
potato,n.  土豆， 马铃薯
