5G era,
70-year term of land use,
A4 waist,
dark matter,"n. 暗物质（根据一些理论，指太空中不反射光的物质）
 黑暗物质；暗黑物质；宇宙暗物质"
hundred mark system,
Centenary Goal,
monthly subscription service,
nanny blacklist,
Conservative leadership race,
postgraduate recommendation,
cash deposit,"un. 现金存款
 保证金；现款押金；现金储蓄"
therapeutic massage, 保健按摩；治疗性按摩；治疗式按摩
shelf life,"n. 最佳食用日期
 保质期；保存期限；货架寿命"
off the charts, 好得没治了；破记录；智商高的惊人
mayhem,n. 故意的伤害罪；重伤罪；蓄意的破坏
backpack tour,
tragedy trump card,
Beijing repose,
endorse,vt. 背书；认可；签署；赞同；在背面签名
extortive donation,
disdain chain,
closed-book exam,
sidestep taxes,
compulsory course, 必修课；必修课程；妆造型必修
disguised inflation, 变相涨价be driven to drastic alternatives
lip service,"n. 空口的应酬话；口惠
 唇唇欲动；口惠而实不至；表面文章"
stay true to the mission,
unified real estate registration system,
inappropriate behavior, 行为不适当；不恰当与不雅的行为；不恰当的行为
ministers' passage,
asset declaration,
financial fraud,n. 金融诈骗
betrothal gifts, 彩礼；订婚时男方送给女方的彩礼；聘礼
color run, 甩色；彩色跑步；彩色赛跑
participatory poverty-reduction,
dining table pollution,
market manipulation,"un. 市场操纵
 操纵市场；市场操纵行为；操纵市场行为"
toilet revolution,
tea ceremony,"n. 茶道（日本沏茶和饮茶的礼仪）
 茶艺；茶道表演；茶艺表演"
sado,n. 茶道;   萨多
postpartum grooming,
maternity bed,
excess manufacturing capacity,
overcapacity,n. 生产能力过剩
the Long March,
long-haul flight,
put on a rival show,
excessive consumption,"un. 过度消耗
 超前消费；过度消费；消费行为"
outdo oneself,"na. 得到空前成绩；尽自己最大的努力
 超过原水平；超水平发挥；她超过她的所有同班同学"
supercomputer,n.  巨型计算机，超级计算机
Super Tuesday,"na. 超级星期二
 超级星期二初选；超级星期二之战；周二超级赛"
superdelegate,n. 超级代表（美国出席民主党全国代表大会的非初选中的党员挑选的代表）
residents of Chaoyang district,
auto show model,
traffic subsidy,
shirk,"vt. 逃避
vi. 推卸；逃避"
pass the buck,"na. 推卸责任
 踢皮球；扯皮；推诿责任"
sense of achievement, 成就感；有成就感；工作成就感
fuel pricing scheme,
urban management officer,
urban diseases,
city cluster,城市组团
inter-city high-speed rail,
urban air corridor,
urban housing fund,
rural-urban integration,城乡整合
urban growth boundary,
ready-to-wear line,
be given cold shoulder,
receive kickbacks,
sought-after,adj. 受欢迎的，很吃香的
impulse buy,"un. 不在事先计划内的购置
 冲动购买；冲动性购物；购买冲动"
rechargeable card, 充值卡；充值卡的英文是；充值卡是
appearance fee,＝ appearance money
enter the next round,
export duty,"na. 出口税
 出口关税；出口税救济；退场门税"
