first,"num. 第一
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
adv. 第一；首先；优先；宁愿"
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位"
third,"num. 第三；三分之一
adj. 第三的；三分之一的"
fourth,"num. 第四
n. 第四，月的第四日；四分之一
adj. 第四的，第四个的；四分之一的"
fifth,"num. 第五
n. 第五；五分之一
adj. 第五的；五分之一的"
sixth,"n. 月的第六日，（与the连用的）第六个；六分之一
adj. （与 the 连用）第六的，第六个的；六分之一的"
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
begin,"vi. 开始；首先
vt. 开始"
bring,vt. 带来；促使；引起；使某人处于某种情况或境地
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
zebra,"n.  斑马
adj. 有斑纹的"
crossing,"n. 十字路口；杂交；横渡；横道
v. 横越（cross的现在分词）"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
lights,"n. 灯光（light的复数）；（供食用的）家畜的肺脏
v. 点亮（light的三单形式）"
pavement,"n. 人行道
路面"
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
by,"prep. 通过；被；依据；经由；在附近；在……之前
adv. 通过；经过；附近； 白俄罗斯的国家代码顶级域名"
on foot,"na. 步行；在进行中；徒步
 走路；步行时；走路去"
arrive,vi. 到达；成功；达成；出生
arrive at,"v. 到达；得出
 抵达；达成；达到"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
worker,n. 工人；劳动者；职蚁
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
farmer,n. 农夫，农民
shop,"n. 商店；店铺
vt. 购物
vi. 购物；买东西"
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
help,"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待"
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
write an e-mail,
go shopping,"na. 去买东西
 去购物；逛街；逛商店"
play chess,"na. 下象棋
 下棋；下国际象棋；着棋"
once,"adv. 一次；曾经
conj. 一旦
n. 一次，一回"
twice,adv. 两次；两倍
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
Internet,
the Internet,
same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）"
different,adj. 不同的；个别的，与众不同的
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆"
all,"n. 全部
adj. 全部的
adv. 全然地；越发
pron. 全部"
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
each other,"pron. 彼此
 互相；相互；各自"
together,"adj. 新潮的；情绪稳定的，做事有效率的
adv. 一起；同时；相互；连续地；总共"
north,
south,"n. 南方，南边；南部
adj. 南的，南方的
adv. 在南方，向南方"
west,"n. 西；西方；西部
adj. 西方的；朝西的
adv. 在西方；向西方；自西方"
east,"n. 东方；东风；东方国家
adj. 东方的；向东的；从东方来的
adv. 向东方，在东方"
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
a lot of,"det. 许多
 大量；很多；大量的"
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
hospital,n. 医院
bakery,n. 面包店
museum,n. 博物馆
cinema,n. 电影；电影院；电影业，电影制作术
along,"prep. 沿着；顺着
adv. 一起；向前；来到"
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
zip,"n. 拉链; 精力，活力; 尖啸声; 一种程序压缩格式
vt. 给予…速度; 用拉链拉上或扣上
vt.& vi. 尖啸而过; （使沿某方向）快速移动"
pocket,"n. 口袋；钱；容器
adj. 小型的，袖珍的；金钱上的
vt. 隐藏；忍受；将…放入衣袋
vi. 形成袋或囊"
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
put on,"na. 假话
 穿上；上演；戴上"
try on,"na. 试穿；搞恶作剧(以试探能否被容忍)；耍花招
 试试看；试穿衣物；试衣服"
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
toothache,n.  牙痛
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
first,"num. 第一
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
adv. 第一；首先；优先；宁愿"
next,"adv. 然后；下次；其次
adj. 下一个的；其次的；贴近的
n. 下一个
prep. 靠近；居于…之后"
then,"conj. 然后，当时
n. 那时
adv. 然后；那么；于是；当时；此外"
finally,adv. 最后；终于；决定性地
tea,"n. 茶叶；茶树；茶点
vt. 给…沏茶
vi. 喝茶；进茶点"
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
gently,adv. 轻轻地；温柔地，温和地
strongly,adv. 强有力地；坚强地；激烈地；气味浓地
slowly,adv. 缓慢地，慢慢地
quickly,adv. 迅速地；很快地
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
happily,adv. 快乐地；幸福地；幸运地；恰当地
smoke,"n. 烟；抽烟；无常的事物
vt. 吸烟；抽
vi. 冒烟，吸烟；抽烟；弥漫"
start,"n. 开始；起点
vt. 开始；启动
vi. 出发"
campfire,n. 营火；营火会
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
careful,adj. 仔细的，小心的
safety,n. 安全；保险；安全设备；保险装置；安打
