watermelon,n. 西瓜
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
plum,"n. 李子；梅子；洋李；紫红色
adj. 人所希望的；有利的；上等的"
cherry,n. 樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
strawberry,n. 草莓；草莓色
a glass of,"det. 一杯
 一玻璃杯；表示一杯用；一杯的"
juice,n. （水果）汁，液；果汁
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
soft,"n. 柔性；柔软的东西；柔软部分
adj. 软的，柔软的；温柔的，温和的；软弱的；笨的
adv. 柔软地；温和地"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
thick,"n. 最拥挤部分；活动最多部分；事物的粗大浓密部分
adj. 厚的；浓的；粗大的
adv. 密集地；浓浓地，厚厚地"
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
pencil case,"n. 铅笔盒；铅笔袋
 文具盒；笔会用到笔袋；笔筒"
hill,n. 小山；丘陵；斜坡；山冈
lawn,n. 草地；草坪
path,n. 道路；小路；轨道
bench,"n. 长凳；工作台；替补队员
vt. 给…以席位；为…设置条凳"
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
the sun, 阳；东曦；太阳
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
at noon,"na. 在中午
 在正午；正午时；午间"
go down,"na. 下去；(飞机)坠落；继续到  (风,浪等)平静下来；消退
 下降；下沉；下降，降低"
play football,"na. 踢足球；对难办的事采取踢皮球的态度
 玩足球；玩橄榄球；踢球"
play table tennis, 打乒乓球；打桌球；玩乒乓球
play volleyball, 打排球；玩排球；排球比赛
play badminton, 打羽毛球；打羽球；玩羽毛球
play basketball, 打篮球；玩篮球；篮球锻炼知多少
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
poster,n. 海报，广告；招贴
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
cat food,"猫的食物
猫粮"
dog food, 狗粮；狗食；分文不值
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
tortoise,n. 龟， 乌龟（等于testudo）；迟缓的人
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
bedroom,"n. 卧室
adj. 两性关系的；城郊住宅区的"
living room,"n. 客厅；起居室
 客厅系列；起居定；小客厅"
bathroom,n. 浴室；厕所；盥洗室
kitchen,n. 厨房；炊具；炊事人员
homework,n. 家庭作业，课外作业
model plane, 模型飞机；飞机模型；一架飞机模型
wash,"n. 洗涤；洗的衣服；化妆水；冲积物
vt. 洗涤；洗刷；冲走；拍打
vi. 洗澡；被冲蚀"
dinner,n. 晚餐，晚宴；宴会；正餐
quiet,"n. 安静；和平
adj. 安静的；安定的；不动的；温顺的
vt. 使平息；安慰
vi. 平静下来"
loud,"adj. 大声的，高声的；不断的；喧吵的
adv. 大声地，高声地，响亮地"
bell,"n. 铃，钟；钟声，铃声；钟状物
vt. 装钟于，系铃于
vi. 鸣钟；成钟状鼓起"
television,n. 电视，电视机；电视业
TV,abbr. 电视（television）
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
noisy,adj. .嘈杂的；喧闹的；聒噪的
ring,"n. 戒指；铃声，钟声；拳击场；环形物
vi. 按铃；敲钟；回响；成环形
vt. 按铃；包围；敲钟；套住"
watch TV,
seven o'clock, 七点钟；七点；七点整
a quarter past seven,
half past seven,
a quarter to eight,
get up,"na. 起床；起身；站起来；叫…起床
 起立；打扮；安排"
brush my teeth, 刷牙；刷我的牙；我正在刷牙
wash my face,
have breakfast, 吃早饭；吃早餐；吃早点
always,adv. 永远，一直；总是；常常
usually,adv. 通常，经常
often,adv. 常常，时常
sometimes,adv. 有时，间或
never,adv. 从未；决不
Monday,n. 星期一
Tuesday,n. 星期二
Wednesday,n. 星期三
Thursday,n. 星期四
Friday,n. 星期五
Saturday,n. 星期六
Sunday,n. 星期日；礼拜日
Chinese chess,"n. 象棋
 中国象棋；棋路-中国象棋；棋路之中国象棋"
at weekends, 在周末；每逢周末；生在周末
piano,n. 钢琴
violin,n. 小提琴；小提琴手
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
music,n. 音乐，乐曲
the Spring Festival,
the Dragon Boat Festival,
the Mid-autumn Festival,
the Double Ninth Festival,
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
rice dumpling, 粽子；汤圆；肉粽
duckling,n. 小鸭子
swan,"n. 天鹅；天鹅星座
vi. 游荡，闲荡"
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
