feel estranged,
be inflected,
neural,adj. 神经的；神经系统的；背的；神经中枢的
circuitry,n. 电路；电路系统；电路学；一环路
icon,n. 图标；偶像；肖像，画像；圣像
patronize,vt. 以高人一等的态度对待；经常光顾，惠顾；资助；保护
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
quasi-robot,
filial,adj. 孝顺的；子女的，当做子女的
piety,n. 虔诚；孝敬；虔诚的行为或语言
deference,n. 顺从；尊重
servility,n. 奴性；奴态；卑屈
median,"n. n. 中值，中位数；三角形中线；梯形中位线
adj. 中值的；中央的"
ratify,vt. 批准；认可
burgeoning,"adj. 增长迅速的；生机勃勃的
v. 成长（burgeon的ing形式）；迅速发展"
laxity,n. 松驰；放纵
incite,vt. 煽动；激励；刺激
juggernaut,n. 世界主宰；强大的破坏力
manicurist,n. 指甲修饰师
nebulous,adj. 朦胧的；星云的，星云状的
meritocracy,n. 英才教育（制度）；精英管理的社会
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
cram,"n. 死记硬背；极度拥挤
adj. 填鸭式学的
vi. 狼吞虎咽地吃东西；死记硬背功课
vt. 填满，塞满；死记硬背；猛吃"
demographic,adj. 人口统计学的；人口学的
reshuffle,"n. 重新洗牌；改组
vt. 重新洗牌；改组；重作安排"
grooming,"n. 修饰
v. 喂马；整饰；推荐（groom的ing形式）"
décor,
phÔ,
jock,n. 苏格兰高原地方的士兵；（大学）运动员；乔克（男子名）
bide one's time,"na. 待机
 等待时机；待时而动；等机会"
nerd,n. 呆子；书呆子；讨厌的人
pinnacle,"n. 高峰；小尖塔；尖峰；极点
vt. 造小尖塔；置于尖顶上；置于高处"
affable,adj. 和蔼可亲的；友善的
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
jarring,"n. 辗轧声；冲突；震动
adj. 不和谐的；刺耳的；辗轧的
v. 震惊；冲突；发刺耳声（jar的现在分词）"
domesticity,n. 家庭生活；专心于家务；对家庭的挚爱
singe,"n. 烧焦；烤焦
vt. 烧焦；烤焦
vi. 烧焦；烤焦"
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
swaths,n. 细长的列；收割的刈痕；收割的宽度
acclimate,"vt. 使适应；使服水土
vi. 服水土；适应新环境"
demeanor,n. 风度；举止；行为
impeccably,"无可挑剔地
毋庸置疑地
无瑕疵地
完美地"
incubator,n.  孵卵器； 保温箱；早产儿保育器；细菌培养器
asymmetry,n. 不对称
succinct,adj. 简洁的；简明的；紧身的
evocation,n. 招魂；唤起；唤出
gig,"n. 旋转物；鱼叉；轻便双轮马车；现场演出；临时工作
vt. 使…起绒；用鱼叉叉；记过处分
vi. 乘轻便双轮马车；起绒；叉鱼"
pedigree,"n. 血统；家谱
adj. 纯种的"
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
overt,adj. 明显的；公然的；蓄意的
discrepancy,n. 不符；矛盾；相差
Caucasian-sounding,
rote,n. 死记硬背；生搬硬套
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
academe,n. 研究院；学院；学会（等于academy）
malaise,n. 不舒服；心神不安
polemic,"n. 争论；辩论者
adj. 好争论的"
self-incriminating,自证其罪的
jumble,"n. 混乱；杂乱的一堆东西
vi. 混杂；搀杂
vt. 使混乱；搞乱"
ride roughshod over,"na. 横行霸道；趾高气扬；对…大摆架子；对…横行霸道
 欺凌；为所欲为；欺负"
salutary,adj. 有益的，有用的；有益健康的
attest,"vt. 证明；证实；为…作证
vi. 证明；作证"
cotton gin,"n. 轧花机；轧棉机
 皮棉轧棉机；轧绵机；弹棉花机"
obliterate,vt. 消灭；涂去；冲刷；忘掉
coquettish,adj. 妖艳的；卖弄风情的；迷人的
remit,"n. 移交的事物
vt. 宽恕；免除；减轻；传送；使恢复原状
vi. 汇款；缓和"
dispensation,n. 分配；免除；豁免；天命
in perpetuity,"na. 永远
 永久；既已永久；无尽期地"
sheriff,n. 州长；郡治安官；执行吏
dank,adj. 潮湿的；阴湿的；透水的
parlor,"n. 客厅；会客室；业务室
adj. 客厅的"
sluggishly,adv. 懒怠地；慢吞吞地
mote,n. 尘埃；微粒；小错
tarnish,"n. 晦暗，无光泽；污点
vt. 玷污；使……失去光泽；使……变灰暗
vi. 失去光泽；被玷污；变灰暗"
gilt,"n. 镀金；小母猪；眩目的外表
v. 镀金（gild的过去式和过去分词）
adj. 镀金的"
