ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
ambiguous,adj. 模糊不清的；引起歧义的
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
ambivalent,adj. 矛盾的；好恶相克的
unambiguous,adj. 不含糊的；清楚的；明白的
cardiac,"n. 强心剂；强胃剂
adj. 心脏的；心脏病的；贲门的"
cardiovascular,adj.  心血管的
accede,vi. 加入；同意；就任
antecedent,"n. 前情；先行词；祖先
adj. 先行的；前驱的；先前的"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
precedence,n. 优先；居先
recede,"vi. 后退；减弱
vt. 撤回"
secede,"vt. 从…中脱离；割让
vi. 脱离；退出"
homicide,n. 过失杀人；杀人犯
insecticide,n. 杀虫剂
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
claimant,n. 原告； 索赔人；提出要求者
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
include,vt. 包含，包括
preclude,vt. 排除；妨碍；阻止
seclude,vt. 使隔离，使隔绝
secluded,"adj. 隐蔽的；隐退的，隐居的
v. 隔绝（seclude的过去式）"
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
concord,n. 和谐；和睦；一致；协调
concordance,n. 调和，一致；用语索引；著作或作家全集的重要用字索引
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
concur,vi. 同意；一致；互助
cursory,adj. 粗略的；草率的；匆忙的
incursion,n. 入侵；侵犯
precursor,n. 先驱，前导
recurrent,adj. 复发的；周期性的，经常发生的
abdicate,"vt. 退位；放弃
vi. 退位；放弃"
diction,n. 用语；措词
indict,vt. 控告，起诉； 揭发
indictment,n. 起诉书；控告
circumference,n. 圆周；周长；胸围
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
deference,n. 顺从；尊重
proffer,"n. 提供；提出；提议
vt. 提供；提出；奉献"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
informant,n. 被调查者；告密者；提供消息者
performing,"v. 表演（perform的ing形式）；履行
adj. 表演的；履行的"
abject,adj. 卑鄙的；可怜的；不幸的；（境况）凄惨的，绝望的
dejected,adj. 沮丧的，灰心的
eject,vt. 喷射；驱逐，逐出
objectionable,adj. 讨厌的；会引起反对的；有异议的
projectile,"adj. 抛射的；抛掷的；供抛射用的；（触角等）能伸出的
n. 射弹；抛射体；自动推进武器"
projector,n.  投影仪；放映机；探照灯；设计者
neglectful,adj. 疏忽的；忽略的；不小心的
