looter,n. 抢劫者
worsening,"n. 恶化；变坏
v. 恶化（worsen的ing形式）；使变得更坏
adj. 日益恶化的"
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
veiled,"adj. 隐藏的；含蓄的；蒙上面纱的；不清楚的
v. 戴面纱（veil的过去式和过去分词）"
anonymously,adv. 不具名地；化名地
tad,n. 少量；小孩子；小男孩
parenthood,n. 亲子关系；父母身份
scribe,"n. 抄写员；作家；划线器
vt. 写下，记下；用划线器划
vi. 写下，记下；担任抄写员"
chauffeur,"n. 司机
vt. 开车运送
vi. 当汽车司机"
hospitable,adj. 热情友好的；（环境）舒适的
brawl,"n. 争吵；打架
vt. 大声喊出；为…争吵
vi. 争吵；打架；大喊大叫"
smite,"vt. 打；重击；毁灭；侵袭；使神魂颠倒
vi. 打；重击
n. 打；重击"
chi-square,n. 卡方；卡方检验（法）
Federalist,
booking,n. 预订；预约；演出契约
hateful,adj. 可憎的；可恨的；可恶的
reigning,"adj. 统治的；在位的；本届的；起支配作用的
v. 统治；支配；盛行（reign的ing形式）"
adrift,"adj. 漂泊的；漂浮着的
adv. 随波逐流地；漂浮着"
passer,n. 过路人；旅客；考试合格者
backlog,"n.  积压的工作；积压待办的事务；大木材
vt. 储备；把…积压起来"
self-portrait,n. 自画像
obedient,adj. 顺从的，服从的；孝顺的
virulent,adj. 剧毒的；恶性的；有恶意的
subterranean,"n. 地下工作者
adj. 地下的；秘密的；隐蔽的"
meld,"vi. 合并；混合
vt. 使…合并；使…混合
n. 结合；融合"
nationalistic,adj. 民族主义的；国家的
trailing,"n. 拖尾；泥浆彩饰
v. 尾随（trail的ing形式）
adj. 后面的；拖尾的；牵引的；被拖动的；蔓延的"
daycare,n. 日托；日间照管儿童
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
revitalization,n. 复兴；复苏；新生
choreography,n. 编舞；舞蹈艺术；舞艺
tingle,"n. 刺痛感；激动；鸣响
vt. 刺痛；使激动
vi. 感到刺痛；（耳朵等）鸣响"
switching,"n.  开关；转换；整流；配电
v. 转换（switch的ing形式）"
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
dung,"n. 粪
vt. 施粪肥于"
forsake,vt. 放弃；断念
mozzarella,n. 马苏里拉奶酪
drumming,n. 发嗡声；击鼓声
harmonic,"n.  谐波；和声
adj. 和声的；谐和的；音乐般的"
brood,"n. 一窝；一伙
vt. 孵；沉思"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
punishing,"v. 惩罚；折磨（punish的ing形式）
adj. 严厉的；打击沉重的；精疲力尽的"
parched,"adj. 焦的；炎热的；炒过的；干透的
v. 烘干；使极渴（parch的过去分词）"
causality,n. 因果关系
woody,adj. 木质的；多树木的；木头似的
eyeglass,n. 眼镜；镜片
calling,"n. 职业；欲望；点名；召集；邀请
v. 召；呼唤（call的现在分词）；称之为"
displeasure,n. 不愉快；不满意；悲伤
consummate,"adj. 至上的；完美的；圆满的
vt. 完成；作成；使达到极点"
unorthodox,adj. 非正统的；异端的；异教的
unwise,adj. 不明智的；愚蠢的；轻率的
playmate,n. 玩伴；游伴
lawful,adj. 合法的；法定的；法律许可的
tarmac,n. 柏油碎石路面；铺有柏油碎石的飞机跑道
readership,n. 读者人数；读者们；读者的身分
caseload,n. 待处理案件之数量
like-minded,adj. 志趣相投的；具有相似意向或目的的
statehood,n. 国家地位；州的状态或地位
conjecture,"n. 推测；猜想
vt. 推测
vi. 推测；揣摩"
roaring,"n. 咆哮；怒吼；吼声
adj. 喧闹的；兴胜的；狂风暴雨的
v. 怒吼（uproar的现在分词）"
respecting,"prep. 关于；就…而言；鉴于
v. 尊敬；考虑（respect的ing形式）"
atypical,adj. 非典型的；不合规则的
duffel,n. 粗呢；露营用具
seethe,"n. 沸腾；感情等的迸发
vt. 使浸透；使煮沸
vi. 沸腾；冒泡；激动"
reek,"n. 臭气；水蒸汽；烟
vt. 散发；用烟熏
vi. 散发；冒烟；放出臭气"
whitetail,n. 白尾鹿
contraption,n. 奇妙的装置；精巧的设计
starboard,"n. 右舷
adj. 右舷的
vt. 向右转舵
vi. 向右转舵"
mistreat,vt. 虐待
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
palatable,adj. 美味的，可口的；愉快的
undisclosed,adj. 未泄露的；身分不明的；保持秘密的
absently,adv. 心不在焉地
barbarian,"n. 野蛮人
adj. 野蛮的；未开化的"
freighter,n.  货船；承运人
vestibule,"n. 前厅；门廊
vt. 为…设门廊"
sear,"n. 烙印；烧焦痕迹
adj. 枯萎的；烤焦的
vt. 烤焦；使…枯萎
vi. 干枯；烧焦；凋谢"
hitch,"n. 故障；钩；猛拉；急推；蹒跚
vt. 搭便车；钩住；套住；猛拉；使结婚
vi. 被钩住；急动；蹒跚；搭便车旅行；结婚"
penthouse,n. 阁楼；顶层公寓，屋顶房间
bistro,n. 小酒馆
spurt,"n. 冲刺；喷射
vi. 冲刺；喷出；迸发
vt. 喷射；喷出"
bog,"n. 沼泽；泥塘
vt. 使陷于泥沼；使动弹不得
vi. 陷于泥沼；动弹不得"
pretension,n. 自负；要求；主张；借口；骄傲
bohemian,"n. 波希米亚人；波希米亚语；放浪者
adj. 波希米亚的；放荡不羁的；波希米亚语的"
squat,"vt. 使蹲坐，使蹲下
vi. 蹲，蹲下；蹲坐；蹲伏
n. 蹲坐，蜷伏
adj. 蹲着的；矮胖的"
extant,adj. 现存的；显著的
zap,"n. 活力；意志；杀死；震击
vt. 攻击；打败；快速推动
int. 咝！；糟了！
vi. 快速移动"
deviant,"n. 不正常者；偏移值；变异物
adj. 不正常的；离经叛道的"
adequacy,n. 足够；适当；妥善性
exquisitely,adv. 精致地；精巧地；敏锐地
avian,"n. 鸟
adj. 鸟的；鸟类的"
resourceful,adj. 资源丰富的；足智多谋的；机智的
cuddle,"n. 搂抱，拥抱
vt. 拥抱；亲热地搂住；抚爱地拥抱
vi. 拥抱；偎依；舒服地贴著身睡"
connoisseur,n. 鉴赏家；内行
complacency,n. 自满；满足；自鸣得意
ethnography,n. 民族志；人种志；人种学
netting,"n. 网；网鱼；结网
v. 把…织成网；用网捕捉（net的现在分词）"
micro,"adj. 极小的；基本的；微小的
n. 微型计算机；微处理器"
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
swat,"n. 用劲打击；重拍；全垒打
vt. 重拍；猛击；用力击出（远距离球）"
emblazon,vt. 颂扬；用纹章装饰
lengthwise,"adj. 纵长的
adv. 纵长地"
taboo,"n. 禁忌；禁止
adj. 禁忌的；忌讳的
vt. 禁忌；禁止"
stimulant,"n.  兴奋剂；刺激物；酒精饮料
adj. 激励的；使人兴奋的"
somatic,adj. 躯体的；肉体的；体壁的
optic,"adj. 光学的；视觉的；眼睛的
n. 眼睛；镜片"
insertion,n. 插入；嵌入；插入物
inflatable,adj. 膨胀的，可充气的；得意的
lander,n. 着陆器；出铁槽；把钩工人
minus,"prep. 减，减去
n. 负号，减号；不足；负数
adj. 减的；负的"
judgement,n. 意见；判断力； 审判；评价
seawater,n. 海水
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
streamlined,"v. 使成流线型；使合理化（streamline的过去式和过去分词）
adj. 流线型的；改进的；最新型的"
jokingly,adv. 开玩笑地；打趣地
nomad,"n. 游牧民；流浪者
adj. 游牧的；流浪的"
sleepless,adj. 失眠的；不休息的；警觉的；永不停息的
gall,"n. 胆汁；五倍子；怨恨；苦味
vt. 烦恼；屈辱；磨伤
vi. 被磨伤"
skunk,"n. 臭鼬；臭鼬毛皮；讨厌鬼；卑鄙的人
vt. 使惨败；欺骗"
