bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
sneeze,"n. 喷嚏
vi. 打喷嚏"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
beast,n. 野兽；畜生，人面兽心的人
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
frozen,"v. 结冰（freeze的过去分词）；凝固；变得刻板
adj. 冻结的；冷酷的"
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
frigid,adj. 寒冷的，严寒的；冷淡的
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
bra,n. 胸罩
brass,n. 黄铜；黄铜制品；铜管乐器；厚脸皮
braze,"n. 铜焊
vt. 用黄铜制；使成黄铜色"
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
zebra,"n.  斑马
adj. 有斑纹的"
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
devote,vt. 致力于；奉献
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
orphan,"adj. 孤儿的；无双亲的
n. 孤儿
vt. 使成孤儿"
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
infancy,n. 初期；婴儿期；幼年
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
charming,"adj. 迷人的；可爱的
v. 使陶醉（charm的现在分词）"
siren,"n. 汽笛；迷人的女人；歌声动人的女歌手
adj. 迷人的
vt. 引诱
vi. 响着警报器行驶"
chant,"n. 圣歌；赞美诗
vt. 唱；诵扬
vi. 唱歌；反复地唱歌"
enchant,vt. 使迷惑；施魔法
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
undesirable,"n. 不良分子；不受欢迎的人
adj. 不良的；不受欢迎的；不合需要的"
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
