actual,adj. 真实的，实际的；现行的，目前的
action,n. 行动；活动；功能；战斗；情节
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
activity,n. 活动；行动；活跃
inactive,adj. 不活跃的；不活动的；怠惰的；闲置的
radioactive,adj.  放射性的；有辐射的
actor,n. 男演员；行动者；作用物
actress,n. 女演员
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
transact,"vt. 办理；处理
vi. 交易；谈判"
transaction,n. 交易；事务；办理；会报，学报
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
reaction,n. 反应，感应；反动，复古；反作用
reactor,n.  反应器； 反应堆；起反应的人
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
interaction,"n. 相互作用； 交互作用
n. 互动"
agenda,n. 议程；日常工作事项；日程表
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
agency,n. 代理，中介；代理处，经销处
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
agony,n. 苦恼；极大的痛苦；临死的挣扎
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
baggage,n. 行李； 辎重（军队的）
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
zigzag,"n. 之字形；Z字形
vt. 使成之字形；使曲折行进
vi. 曲折行进；作之字形行进
adj. 曲折的；锯齿形的；之字形的
adv. 曲折地；之字形地；Z字形地"
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
air-conditioning,n. 空调系统；空气调节
aircraft,n. 飞机，航空器
airline,"n. 航空公司；航线
adj. 航线的"
airport,n. 机场；航空站
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
fairly,adv. 相当地；公平地；简直
fairy,"n. 仙女，小精灵；漂亮姑娘
adj. 虚构的；仙女的"
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
pair,"n. 一对，一双，一副
vt. 把…组成一对"
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
impair,vt. 损害；削弱；减少
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
stair,n. 楼梯，阶梯；梯级
downstairs,"n. 楼下
adj. 楼下的
adv. 在楼下"
staircase,n. 楼梯
upstairs,"n. 楼上
adj. 楼上的
adv. 在楼上，向楼上；上楼；往楼上"
anybody,"n. 重要人物
pron. 任何人"
anyhow,adv. 总之；无论如何；不管怎样
anyone,pron. 任何人；任何一个
anything,pron. 任何事
anyway,adv. 无论如何，不管怎样；总之
anywhere,"n. 任何地方
adv. 在任何地方；无论何处"
animal,"n. 动物
动物的"
unanimous,adj. 全体一致的；意见一致的；无异议的
one,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个"
once,"adv. 一次；曾经
conj. 一旦
n. 一次，一回"
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
zone,  地带、地区（德语）
ozone,n.  臭氧；新鲜的空气
colony,n. 殖民地；移民队；种群；动物栖息地
colonel,n. 陆军上校
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
whole,"n. 整体；全部
adj. 完整的；纯粹的"
wholly,adv. 完全地；全部；统统
wholesome,adj. 健全的；有益健康的；合乎卫生的；审慎的
artery,n. 动脉；干道；主流
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
artist,n. 艺术家；美术家（尤指画家）；大师
artistic,adj. 艺术的；风雅的；有美感的
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
quart,n. 夸脱（容量单位）；一夸脱的容器
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
quarterly,"n. 季刊
adj. 季度的，按季度的；一年四次的
adv. 按季度， 一季一次地；纵横四分地"
headquarters,n. 总部；指挥部；司令部
quartz,n. 石英
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
start,"n. 开始；起点
vt. 开始；启动
vi. 出发"
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
drawback,n. 缺点，不利条件；退税
feedback,n. 反馈；成果，资料；回复
paperback,"n. 平装本；廉价本
adj. 纸面装订的；纸面平装本书籍的
vt. 以平装本出版"
setback,n. 挫折；退步；逆流
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
