"short, poor and ugly-looking men",
patriotic united front,
settling-in allowance,安家费
Comfortable Housing Project,
Affordable Housing Project,
fair-skinned and attractive ladies from a decent family,
Spring Festival shopping,
ensure the wellbeing of the people and improve their lives,
low-income housing, 保障性住房；低收入住房；平价住宅
a tear-inducing misery,
marry-upon-graduation,
permanent staff,"un. 长期职工
 编内职工；常额人员；固定人员"
staff size," 人员规模, 工作人员规模"
license-plate lottery,
urban management staff,
run-down neighborhoods,
low-income urban families,
low-income city dwellers,
rural-urban divide,
the city-country dualistic economic structure,
urban and rural systems for providing public employment services,
urban and rural emergency aid system,
basic old-age insurance system for urban workers,
time-travel TV play,
innovation-oriented nation,
Spring Festival couplets,
extensive mode of growth,
inefficient model of growth,
Internet celebrity,
hired queuers,
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
unruffled,"v. 使平整；变得平静（unruffle的过去分词）
adj. 平静的；不骚动的；镇定的"
subsistence security system,
low-income household,
low-income family,低收入户
regional protectionism,
short-term housing,
video spoof,
vicious circle,"n. 恶性循环
 循环论法；怪圈；循环不已"
pre-owned house,
second-hand housing,
second-hand housing transactions,
law-based government,
mortgage slave,"n. 影响正常消费的购房者
 房奴；房奴车奴；房奴仅仅是抵押贷款的奴隶"
"apartment, car and well-paid job",
"apartment, car and well-paid savings",
"house, car and well-paid job",
"house, car and well-paid savings",
pyramid schemes, 传销；金字塔系统；金字塔计划
multi-level marketing,n. 多层次直销
illegal earnings, 不法盈余
illicit income, 非法收入
hush money,"n. 封口费（用于防止某人透露令人尴尬或有损害的消息）
 堵嘴的贿赂；赌别人嘴的钱；封口钱"
service-oriented government,
welfare lottery, 福利彩票；天朝福利彩票；福彩
senior staff, 高级职员；高级人员；高级员工
"second-generation rich, silver-spoon generation",
scheming,adj. 腹黑
further reform in difficult areas,
tackle hard issues in the reform,
pilot reform program,
high-caliber personnel,
high-end residential compound,
"men who are tall, rich, handsome, and very popular among females",
highly skilled personnel,高技能人才
Brother is only a legend.,
individual pension account,
the self-employed,
public participation,群众参与
communal participation,
give gifts by using public funds,
state-financed vehicle,
civil servant,"n. 公务员；政府官员
 文职人员；文官；行政能力倾向测试是公务员"
public servant,"n. 公务员；公仆
 公务人员；公职人员；人民公仆"
public Internet, 公用互联网；公众互联网；公众网路
shopping card,
fixed-line telephone network,
clear-your-plate campaign,
close friends,"na. 心腹朋友
 密友；亲密的朋友；好朋友"
best friends, 最好的朋友；好朋友；好友
bosom buddies,
Outline of the National Development Program,
government staff size,
overseas returnee,
harmonious society, 和谐社会；社会和谐；高举和谐社会大旗
unlicensed cab,
Mafia-like gangs,
registered permanent residence, 户口；户籍；户籍所在地
spend money thoughtlessly and flaunt one's wealth,
luxury clubs,
grassroots community,
improve macro control,
domestic service,"un. 国内业务；国内航班
 家政服务；家庭服务；国内航线"
domestic help firms,
fake diplomas,
uphold the basic program,
downsize the staff to improve efficiency,
makeshift shelter,
affordable housing, 经济适用房；经适房；可负担住房
budget husband,
budget wife,
ambivalent,adj. 矛盾的；好恶相克的
designated driver,"n. 代驾司机
 指定驾驶；好命司机；指定专责驾驶"
employment guidance,
an open economy,
corkage fee,
efforts to combat disasters and provide relief,
scientific outlook on development, 科学发展观；科学发展观的要求；社会科学发展观
staff member,"n. 职员
 科员；属员；属吏"
the reverse of one's expectation,
empty-nest family,
childless family,
low-rent housing,
house of two limits,
