Break a leg!,
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
break even,"na. 扯平；不赔不赚；(球赛)不分胜负
 收支平衡；收支相抵；不赚不赔"
break ground for sth.,
break ground,"na. 破土；耕田；破土(动工)；开工
 破土动工；锚破土；开业"
break in on ...,
break in,"na. 闯入；插嘴；驯(马)；训练(人)
 打断；强行进入；插话"
break into sth.,
break ... in,"na. 闯入；插嘴；驯(马)；训练(人)
 打断；强行进入；插话"
break loose from ...,
break loose,"na. 脱出；迸发出来；逃出；“break/cut loose”的变体
 摆脱；挣脱；摆脱防守"
break new ground,"na. “break fresh ground”的变体
 有了新的突破；开辟新天地；开垦处女地"
break off with sb.,
break off sth.,
break one's neck,"na. 折断颈骨(致死)
 拼命做某事；痛打一顿；努力地拼命地做事"
break one's back, 辛勤工作
break one's heart, 为之心碎
break ... down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
break down ...,
break ... up,"v. 拆散；打碎；剖割(兽体等)；破坏
 分手；结束；分解"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
 分手；结束；分解"
break the ice,"na. 带个头；使气氛活跃；起头；打破沉闷
 打破沉默；打破僵局；破冰"
break the news to sb.,
break away from ...,
break away,"v. 逃脱；突然离开；突然离去；挣脱
 脱离；逃跑；摆脱"
break camp, 打好背包，离开露营地
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；起(锚)
 爆发；突然发生；逃出"
break out in sth.,
break out into tears,
break into tears, 突然大哭；突然哭起来；放声大哭
break out in tears,
break out of sth.,
break one's fall, 阻止摔倒
break sth. off,"v. 断绝；摘；把…折断；使脱落
 中断；突然停止；打断"
break off sth.,
break sth. to pieces,
break the back of sth.,
break through sth.,
break through,"na. 突破(点)；(科技等的)重大发现；关键问题的解决
 突围；冲破；冲垮"
bring home the bacon,"na. 成功；得胜；谋生；如愿以偿
 养家糊口；维持生计；获得成功"
bring ... around,"na. 说服；使恢复知觉；把(某人)作为客人带来
 使信服；使复苏；使改变观点"
bring ... back,"na. 送回；使恢复；使回忆起
 拿回来；带回；带回来"
bring back ...,
bring ... out,"na. 公布；说出；出版；上演
 生产；阐明；说明"
bring out ...,
bring ... up,"na. 抚养；教导；教育；在…长大
 培养；提出；养育"
bring up ...,
bring sb. to account,
call sb. to account,"na. 质问
 追究责任；责问；要求说明"
bring sb. up to date on ...,
bring sb. up to date,
bring sth. about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
bring about sth.,
bring sth. into question,
bring sth. to a halt,
bring sb. to,"na. 使恢复知觉；使停船
 使复苏；使苏醒；加进"
bring sth. crashing down around sb.,
bring sth. crashing down,
bring sth. off,"na. 办完；(从失事船只上)救出
 完成；圆满完成；获得成功"
bring off sth.,
call a halt to sth.,
call a halt,"na. 喝令停止；命令停止；命令立定
 中途休息；让停止；予以制止"
call a meeting,"na. 召集会议；召集大会
 召集一次会议；开会；召开会议"
call a spade a spade,"na. 直言不讳；是什么说什么
 实话实说；据实而言；有话直说"
call it a day,"na. 今天就这样算了
 今天到此为止；收工；就此结束"
call it quits,"na. 就此罢休；就此算了；辞职；停止
 叫停；算了吧；不干了"
