the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
a,"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. 安（ampere）"
an,art. 一（在元音音素前）
to,"prep. 到；向；（表示时间、方向）朝…方向
adv. 向前；（门等）关上"
be,vt. 是； 有，存在； 做，成为； 发生
is,"v. 是（be的三单形式）
n. 存在"
of,prep. 关于；属于；…的；由…组成的
and,conj. 和，与；就；而且；但是；然后
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
I,"n. 碘元素；英语字母I
pron. 我"
have,"aux. 已经
vt. 有；让；拿；从事；允许"
am,
are,"v. 是（be的第二人称单复数现在式）
n. 公亩"
it,"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian"
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
for,"prep. 为，为了；因为；给；对于；至于；适合于
conj. 因为"
do,"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情"
with,prep. 用；随着；支持；和…在一起
what,"pron. 什么；多么；多少
adv. 到什么程度，在哪一方面
adj. 什么；多么；何等
int. 什么；多么"
you,pron. 你；你们
much,"adv. 非常，很
adj. 大量的
n. 许多，大量
pron. 许多，大量"
many,"pron. 许多；许多人
adj. 许多的"
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
not,"adv. 表示否定，不
n. “非”（计算机中逻辑运算的一种）"
they,pron. 他们；它们；她们
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
at,"prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于
n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素）
abbr. 密封的（airtight）；气温（air temperature）"
more,"adv. 更多；此外；更大程度地
adj. 更多的；附加的
pron. 更多的数量
n. 更多"
as,"conj. 因为；随着；虽然；依照；当…时
prep. 如同；当作；以…的身份
adv. 同样地；和…一样的"
he,"n. 男孩，男人；它（雄性动物）
pron. 他"
people,"n. 人；人类；民族；公民
vt. 居住于；使住满人"
her,pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）
but,"conj. 但是；而是；然而
adv. 仅仅，只
prep. 除…以外"
we,pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
she,"n. 女人；雌性动物
pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）"
this,"adj. 这；本；这个；今
pron. 这；这个；这里
adv. 这样地；这么"
being,"n. 存在；生命；本质；品格
adj. 存在的；现有的"
person,n. 人；身体；容貌，外表；人称
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
from,prep. 来自，从；由于；今后
by,"prep. 通过；被；依据；经由；在附近；在……之前
adv. 通过；经过；附近； 白俄罗斯的国家代码顶级域名"
their,pron. 他们的，她们的；它们的
good,"n. 好处；善行；慷慨的行为
adj. 好的；优良的；愉快的；虔诚的
adv. 好"
my,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷"
when,"conj. 考虑到；既然；当…时；在…时；如果
n. 时间，时候；日期；场合
adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时
pron. 那时；什么时侯"
his,pron. 他的
