abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
abnormal,adj. 反常的，不规则的；变态的
abolish,vt. 废除，废止；取消，革除
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
adjacent,adj. 邻近的，毗连的
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
advent,n. 到来；出现；基督降临；基督降临节
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
affirm,"vt. 肯定；断言
vi. 确认；断言"
afflict,vt. 折磨；使痛苦；使苦恼
agenda,n. 议程；日常工作事项；日程表
aggravate,vt. 加重；使恶化；激怒
agitation,n. 激动；搅动；煽动；烦乱
agony,n. 苦恼；极大的痛苦；临死的挣扎
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
allege,vt. 宣称，断言；提出…作为理由
alleviate,vt. 减轻，缓和
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
ambiguous,adj. 模糊不清的；引起歧义的
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
ample,adj. 丰富的；足够的；宽敞的
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
analogy,n. 类比；类推；类似
analytical,adj. 分析的；解析的；善于分析的
anonymous,adj. 匿名的，无名的；无个性特征的
antarctic,"adj.南极的, 南极地带的"
appendix,n. 附录；阑尾；附加物
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
application,n. 应用；申请；应用程序；敷用
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
appreciable,adj. 可感知的；可评估的；相当可观的
apprehension,n. 理解；恐惧；逮捕；忧惧
apt,adj. 恰当的；有…倾向的；灵敏的
arc,"n. 弧（度）；弧光（全称electric arc）；弧形物；天穹
adj. 圆弧的；反三角函数的
vt. 形成电弧；走弧线"
arctic,"n. 北极圈；御寒防水套鞋
adj. 北极的；极寒的"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
