in class,"na. 在上课；在上课中
 在课堂上；在课上；上课时"
Stand up.,
Mr,abbr. 先生（Mister）
Sit down.,
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
door,n. 门；家，户；门口；通道
sorry,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）"
come in,"na. 进入；当选；上台；(党派)组阁
 进来；请进；流行起来"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
window,n. 窗；窗口；窗户
blackboard,n. 黑板
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
rubber,"n. 橡胶；橡皮；合成橡胶；按摩师
adj. 橡胶制成的
vt. 涂橡胶于；用橡胶制造
vi. 扭转脖子看；好奇地引颈而望"
don't,"n. 禁忌（等于do not）
aux. 表示否定（等于do not）"
do not,
listen to,"v. 听
 倾听；收听；听从"
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
library,n. 图书馆，藏书室；文库
shh,int. 嘘；安静一点
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
eat,"vt. 吃，喝；腐蚀；烦扰
vi. 进食；腐蚀，侵蚀"
here,"n. 这里
adv. 在这里；此时
int. 嘿！；喂！"
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
sleep,"n. 睡眠
vi. 睡，睡觉"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
English,"n. 英语；英国人；英文；英格兰人
adj. 英国人的；英国的；英文的
vt. 把…译成英语"
your,pron. 你的，你们的
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
isn't,不是（等于is not）
is not,
that's,那是（等于That is）
that is,"na. 即；用于纠正之前说过的内容
 也就是说；那是；那就是说"
schoolbag,n. 书包
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
crayon,"n. 蜡笔，有色粉笔
vt. 以蜡笔作画，用颜色粉笔画"
ruler,n. 尺；统治者； 划线板，划线的人
pencil case,"n. 铅笔盒；铅笔袋
 文具盒；笔会用到笔袋；笔筒"
lunch box,"n. 饭盒；“饭盒”
 午餐盒；便当；便当盒"
where,"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里"
where's, 在哪里；威力现在在哪里；是哪里
where is,
over there,"na. 在那边；在欧洲；在战地
 在那里；在那儿；那时那地"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方"
desk,"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的"
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
tree,"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树"
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
one,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个"
two,"num. 二
n. 两个
adj. 两个的"
three,"num. 三
n. 三，三个
adj. 三的，三个的"
oh,int. 哦；哎呀（表示惊讶或恐惧等）
wow,"n. 极大的成功；一鸣惊人之举；魔兽世界(World of Warcraft)；失真
int. （表示极大的惊奇或钦佩）哇，呀"
How old are you?,
lovely,"adj. 可爱的；令人愉快的；爱恋的；秀丽的，优美的
n. 美女；可爱的东西"
nine,"n. 九，九个
num. 九；九个
adj. 九的，九个的"
eight,"num. 八；八个；第八
n. 八字形
adj. 八的"
four,"num. 四；四个
adj. 四的；四个的"
five,"num. 五，五个
n. 五，五个；五美元钞票
adj. 五的；五个的"
six,"num. 六，六个
n. 六，六个"
seven,"num. 七个，七
n. 七个，七
adj. 七的；七个的"
ten,num. 十个，十
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
out,"adv. 出现；在外；出局；出声地；不流行地
adj. 外面的；出局的；下台的
n. 出局
prep. 向；离去
vi. 出来；暴露
vt. 使熄灭；驱逐"
What a nice cake!,
Make a wish.,
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
It's time for ...,
What time is it?,
wake up,"na. 同“wake”；叫醒；醒来；振作起来
 唤醒；起床；醒醒"
mum,"adj. 沉默的
n. 妈妈（口语）；沉默；菊花
vi. 演哑剧
int. 别说话"
o'clock,abbr. …点钟（等于of the clock）
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
Hurry up.,
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
dinner,n. 晚餐，晚宴；宴会；正餐
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
OK,"adj. 好的；不错的
adv. 行；很好
int. 好；可以
vt. 对…表示同意
n. 同意"
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐"
eleven,"num. 十一；十一个
n. 十一；十一个
adj. 十一的；十一个的"
twelve,"num. 十二；十二个
n. 十二；十二个
adj. 十二的；十二个的"
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
these,"adj. 这些的
pron. 这些"
here's, =here is
here is, 这是；是简单的倒装句；在这里
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
Welcome to ...,
they,pron. 他们；它们；她们
they're,= they are
they are,
pig,"n. 猪；猪肉
vi. 生小猪；像猪一样过活
n. 警察（俚语，带有攻击性）"
those,"adj. 那些的
pron. 那些（that的复数）"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
apple,n. 苹果，苹果树，苹果似的东西；炸弹，手榴弹，（棒球的）球；人，家伙。
pear,n.  梨树；梨子
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
who,pron. 谁；什么人
who's,abbr. 谁是（who is，who has）
who is, 谁是；是谁；谁是呢
we,pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
we're,（等于we are）
we are,
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
aunt,n. 阿姨；姑妈；伯母；舅妈
girl,"n. 女孩；姑娘，未婚女子；女职员，女演员；（男人的）女朋友
n. （捷）吉尔"
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
woman,n. 妇女；女性；成年女子
boy,n. 男孩；男人
baby,"n. 婴儿，婴孩；孩子气的人
adj. 婴儿的；幼小的
vt. 纵容，娇纵；把……当婴儿般对待"
cousin,n. 堂兄弟姊妹；表兄弟姊妹
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
