past,"n. 过去；往事
prep. 越过；晚于
adj. 过去的；结束的
adv. 过；经过"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
used to,"modalv. （用于过去持续或经常发生的事）曾经
v. 过去常常
 习惯于；过去经常；的用法"
since,"conj. 因为；由于；既然；自…以来；自…以后
prep. 自…以来；自…以后
adv. 后来"
ever,adv. 永远；曾经；究竟
northern,"adj. 北部的；北方的
n. 北部方言"
married,"adj. 已婚的，有配偶的；婚姻的，夫妇的；密切结合的
n. 已婚者
v. 结婚，与…结婚（marry的过去式）"
wife,n. 妻子，已婚妇女；夫人
wives,n. 妻子（wife的复数）
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
since,"conj. 因为；由于；既然；自…以来；自…以后
prep. 自…以来；自…以后
adv. 后来"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
turn ... into ...,
pollution,"n. 污染
污染物"
factory,n. 工厂；制造厂；代理店
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
situation,n. 情况；形势；处境；位置
in some ways, 在某些方面；在某种程度上；在一些方面
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
from time to time,"na. 时时
 有时；不时；不时地"
anyway,adv. 无论如何，不管怎样；总之
husband,"n. 丈夫
vt. 节约地使用（或管理）"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
all one's life,"na. 毕生；终生
 一生；一辈子；终身"
yet,"conj. 但是；然而
adv. 还；但是；已经"
recently,adv. 最近；新近
past,"n. 过去；往事
prep. 越过；晚于
adj. 过去的；结束的
adv. 过；经过"
environment,n. 环境，外界
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
return,"vi. 返回；报答
adj. 报答的；回程的；返回的
vt. 返回；报答
n. 返回；归还；回球"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
keep in touch, 保持联系；保持联络；再联系
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
communication,n. 通讯， 通信；交流；信函
exactly,adv. 恰好地；正是；精确地；正确地
be used to,"na. 惯于
 习惯于；适应；被用来"
get used to,"na. 变得习惯于
 习惯於；适应；习惯一件事情的过程"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
open space,"n. 开放的区域
 开放空间；空地；开敞空间"
travelling,"v. 旅行（travel的现在分词形式）
adj. 旅行的；移动的；旅行用的"
traveling,"adj. 旅行（用）的；移动的
v. 旅行（travel的现在分词形式）
n. 走步（等于walking）"
hey,"n. 干草（等于hay）
int. 喂！（引起注意等）；你好！（表示问候）"
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
